inputfile,time,round_trip_time,packet_loss,voltage,rio_cpu,robot_disabled,robot_auto,robot_tele,ds_disabled,ds_auto,ds_tele,watchdog,brownout,can_usage,wifi_db,bandwidth,pdp_id,pdp_0,pdp_1,pdp_2,pdp_3,pdp_4,pdp_5,pdp_6,pdp_7,pdp_8,pdp_9,pdp_10,pdp_11,pdp_12,pdp_13,pdp_14,pdp_15,pdp_total_current
/mnt/tmp/00_DSLOGS/2019_03_14 20_03_47 Thu.dslog,0.0,2.5,1.0,255.99609375,0.9550000000000001,False,False,False,True,False,False,False,False,0.405,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/mnt/tmp/00_DSLOGS/2019_03_14 20_03_47 Thu.dslog,20.0,2.5,1.0,255.99609375,0.9550000000000001,False,False,False,True,False,False,False,False,0.405,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/mnt/tmp/00_DSLOGS/2019_03_14 20_03_47 Thu.dslog,40.0,2.5,1.0,255.99609375,0.9550000000000001,False,False,False,True,False,False,False,False,0.405,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/mnt/tmp/00_DSLOGS/2019_03_14 20_03_47 Thu.dslog,60.0,2.5,1.0,255.99609375,0.9550000000000001,False,False,False,True,False,False,False,False,0.405,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/mnt/tmp/00_DSLOGS/2019_03_14 20_03_47 Thu.dslog,80.0,2.5,1.0,255.99609375,0.9550000000000001,False,False,False,True,False,False,False,False,0.405,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/mnt/tmp/00_DSLOGS/2019_03_14 20_03_47 Thu.dslog,100.0,2.5,1.0,255.99609375,0.9550000000000001,False,False,False,True,False,False,False,False,0.405,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/mnt/tmp/00_DSLOGS/2019_03_14 20_03_47 Thu.dslog,120.0,2.5,1.0,255.99609375,0.9550000000000001,False,False,False,True,False,False,False,False,0.405,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/mnt/tmp/00_DSLOGS/2019_03_14 20_03_47 Thu.dslog,140.0,2.5,1.0,255.99609375,0.9550000000000001,False,False,False,True,False,False,False,False,0.405,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/mnt/tmp/00_DSLOGS/2019_03_14 20_03_47 Thu.dslog,160.0,2.5,1.0,255.99609375,0.9550000000000001,False,False,False,True,False,False,False,False,0.405,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/mnt/tmp/00_DSLOGS/2019_03_14 20_03_47 Thu.dslog,180.0,2.5,1.0,255.99609375,0.9550000000000001,False,False,False,True,False,False,False,False,0.405,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/mnt/tmp/00_DSLOGS/2019_03_14 20_03_47 Thu.dslog,200.0,2.5,1.0,255.99609375,0.9550000000000001,False,False,False,True,False,False,False,False,0.405,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/mnt/tmp/00_DSLOGS/2019_03_14 20_03_47 Thu.dslog,220.0,2.5,1.0,255.99609375,0.9550000000000001,False,False,False,True,False,False,False,False,0.405,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/mnt/tmp/00_DSLOGS/2019_03_14 20_03_47 Thu.dslog,240.0,2.5,1.0,255.99609375,0.9550000000000001,False,False,False,True,False,False,False,False,0.405,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/mnt/tmp/00_DSLOGS/2019_03_14 20_03_47 Thu.dslog,260.0,2.5,1.0,255.99609375,0.9550000000000001,False,False,False,True,False,False,False,False,0.405,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/mnt/tmp/00_DSLOGS/2019_03_14 20_03_47 Thu.dslog,280.0,2.5,1.0,255.99609375,0.9550000000000001,False,False,False,True,False,False,False,False,0.405,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
