dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.455331,3.594897,0.000199,0.019940,0.997020,49.851000,3.139509
0.020000,5.455442,3.594897,0.000310,0.005547,-0.719659,-85.833963,3.139946
0.020000,5.455664,3.594897,0.000532,0.011102,0.277728,49.869371,3.140820
0.020000,5.455013,3.594897,0.001183,0.032545,1.072144,39.720790,3.142133
0.020000,5.452269,3.594893,0.003927,0.137209,5.233240,208.054803,3.143888
0.020000,5.448840,3.594881,0.007356,0.171438,1.711433,-176.090368,3.146090
0.020000,5.444728,3.594857,0.011468,0.205597,1.707964,-0.173418,3.148745
0.020000,5.439936,3.594815,0.016261,0.239633,1.701780,-0.309194,3.151858
0.020000,5.434465,3.594749,0.021732,0.273576,1.697135,-0.232287,3.155438
0.020000,5.428317,3.594652,0.027880,0.307405,1.691455,-0.283996,3.159493
0.020000,5.421496,3.594514,0.034703,0.341143,1.686929,-0.226289,3.164034
0.020000,5.414003,3.594327,0.042198,0.374734,1.679547,-0.369101,3.169071
0.020000,5.405845,3.594080,0.050360,0.408121,1.669334,-0.510669,3.174617
0.020000,5.397023,3.593762,0.059188,0.441393,1.663579,-0.287736,3.180686
0.020000,5.387542,3.593360,0.068677,0.474436,1.652175,-0.570180,3.187292
0.020000,5.377409,3.592860,0.078823,0.507300,1.643207,-0.448422,3.194450
0.020000,5.366628,3.592248,0.089622,0.539926,1.631265,-0.597067,3.202178
0.020000,5.355204,3.591508,0.101069,0.572368,1.622134,-0.456587,3.210495
0.020000,5.343146,3.590622,0.113159,0.604513,1.607265,-0.743421,3.219418
0.020000,5.330461,3.589572,0.125888,0.636441,1.596370,-0.544768,3.228969
0.020000,5.317156,3.588338,0.139250,0.668090,1.582467,-0.695139,3.239168
0.020000,5.303242,3.586900,0.153238,0.699429,1.566956,-0.775554,3.250037
0.020000,5.288726,3.585235,0.167849,0.730536,1.555309,-0.582343,3.261599
0.020000,5.273621,3.583320,0.183075,0.761320,1.539223,-0.804296,3.273877
0.020000,5.257936,3.581129,0.198912,0.791842,1.526090,-0.656660,3.286893
0.020000,5.241686,3.578637,0.215353,0.822028,1.509318,-0.838614,3.300671
0.020000,5.224881,3.575816,0.232392,0.851973,1.497219,-0.604939,3.315232
0.020000,5.207538,3.572636,0.250025,0.881615,1.482143,-0.753783,3.330598
0.020000,5.189670,3.569069,0.268246,0.911046,1.471524,-0.530951,3.346788
0.020000,5.171293,3.565081,0.287050,0.940214,1.458394,-0.656536,3.363819
0.020000,5.152424,3.560640,0.306435,0.969251,1.451863,-0.326510,3.381706
0.020000,5.133079,3.555712,0.326398,0.998153,1.445084,-0.338982,3.400458
0.020000,5.113277,3.550260,0.346937,1.026936,1.439150,-0.296704,3.420081
0.020000,5.093035,3.544248,0.368052,1.055786,1.442535,0.169240,3.440574
0.020000,5.072372,3.537638,0.389747,1.084714,1.446383,0.192406,3.461930
0.020000,5.051308,3.530389,0.412023,1.113826,1.455597,0.460740,3.484133
0.020000,5.029861,3.522462,0.434888,1.143266,1.471999,0.820075,3.507158
0.020000,5.008050,3.513815,0.458351,1.173134,1.493414,1.070769,3.530970
0.020000,4.985893,3.504404,0.482424,1.203619,1.524226,1.540602,3.555524
0.020000,4.963410,3.494186,0.507120,1.234803,1.559208,1.749095,3.580761
0.020000,4.940618,3.483117,0.532457,1.266883,1.604014,2.240293,3.606613
0.020000,4.917535,3.471152,0.558457,1.300000,1.655850,2.591813,3.632996
0.020000,4.894178,3.458245,0.585143,1.334304,1.715183,2.966629,3.659818
0.020000,4.870563,3.444350,0.612542,1.369936,1.781615,3.321584,3.686976
0.020000,4.846709,3.429424,0.640682,1.407000,1.853201,3.579336,3.714354
0.020000,4.822629,3.413421,0.669594,1.445613,1.930639,3.871867,3.741833
0.020000,4.798341,3.396299,0.699311,1.485835,2.011080,4.022070,3.769284
0.020000,4.773859,3.378017,0.729865,1.527715,2.094033,4.147628,3.796578
0.020000,4.749200,3.358537,0.761291,1.571263,2.177392,4.167966,3.823583
0.020000,4.724377,3.337825,0.793620,1.616459,2.259800,4.120420,3.850170
0.020000,4.699406,3.315847,0.826885,1.663253,2.339710,3.995467,3.876213
0.020000,4.674299,3.292578,0.861116,1.711571,2.415887,3.808838,3.901591
0.020000,4.649069,3.267995,0.896343,1.761317,2.487311,3.571249,3.926192
0.020000,4.623727,3.242079,0.932590,1.812380,2.553147,3.291775,3.949913
0.020000,4.598281,3.214816,0.969883,1.864639,2.612952,2.990248,3.972660
0.020000,4.572736,3.186200,1.008242,1.917970,2.666536,2.679225,3.994348
0.020000,4.547095,3.156225,1.047687,1.972249,2.713947,2.370524,4.014902
0.020000,4.521359,3.124893,1.088235,2.027361,2.755620,2.083662,4.034258
0.020000,4.495521,3.092208,1.129899,2.083207,2.792288,1.833371,4.052356
0.020000,4.469572,3.058179,1.172692,2.139688,2.824053,1.588248,4.069148
0.020000,4.443498,3.022818,1.216627,2.196741,2.852640,1.429388,4.084588
0.020000,4.417278,2.986140,1.261713,2.254303,2.878087,1.272346,4.098635
0.020000,4.390887,2.948163,1.307960,2.312343,2.902035,1.197382,4.111254
0.020000,4.364293,2.908906,1.355377,2.370843,2.924993,1.147923,4.122406
0.020000,4.337458,2.868391,1.403973,2.429808,2.948246,1.162629,4.132056
0.020000,4.310336,2.826642,1.453758,2.489253,2.972267,1.201044,4.140165
0.020000,4.282874,2.783685,1.504743,2.549235,2.999065,1.339916,4.146693
0.020000,4.255011,2.739548,1.556939,2.609805,3.028525,1.473006,4.151591
0.020000,4.226678,2.694260,1.610360,2.671048,3.062158,1.681620,4.154807
0.020000,4.197796,2.647852,1.665021,2.733064,3.100775,1.930852,4.156280
0.020000,4.168276,2.600359,1.720941,2.795972,3.145385,2.230515,4.155941
0.020000,4.138019,2.551819,1.778139,2.859910,3.196921,2.576802,4.153706
0.020000,4.106913,2.502274,1.836640,2.925037,3.256336,2.970734,4.149484
0.020000,4.074833,2.451770,1.896470,2.991521,3.324215,3.393955,4.143167
0.020000,4.041642,2.400363,1.957661,3.059559,3.401918,3.885174,4.134633
0.020000,4.007185,2.348115,2.020248,3.129344,3.489203,4.364220,4.123743
0.020000,3.971292,2.295101,2.084270,3.201091,3.587376,4.908680,4.110344
0.020000,3.933776,2.241410,2.149770,3.274986,3.694753,5.368856,4.094265
0.020000,3.894430,2.187150,2.216794,3.351222,3.811809,5.852776,4.075323
0.020000,3.853033,2.132450,2.285393,3.429925,3.935118,6.165438,4.053321
0.020000,3.809345,2.077472,2.355616,3.511172,4.062376,6.362899,4.028062
0.020000,3.763112,2.022409,2.427514,3.594888,4.185776,6.170014,3.999348
0.020000,3.714076,1.967501,2.501131,3.680856,4.298410,5.631682,3.967002
0.020000,3.661976,1.913035,2.576503,3.768598,4.387131,4.436063,3.930884
0.020000,3.606567,1.859355,2.653650,3.857351,4.437608,2.523850,3.890914
0.020000,3.547635,1.806864,2.732570,3.945981,4.431501,-0.305333,3.847100
0.020000,3.485016,1.756023,2.813229,4.032971,4.349514,-4.099352,3.799572
0.020000,3.418622,1.707341,2.895558,4.116460,4.174442,-8.753616,3.748606
0.020000,3.348462,1.661357,2.979445,4.194361,3.895083,-13.967928,3.694640
0.020000,3.268768,1.616489,3.070901,4.572788,18.921338,751.312725,3.607348
0.020000,3.186142,1.578969,3.161647,4.537289,-1.774951,-1034.814430,3.532620
0.020000,3.106542,1.548575,3.246853,4.260294,-13.849747,-603.739796,3.482888
0.020000,3.028867,1.522536,3.328776,4.096147,-8.207368,282.118947,3.449243
0.020000,2.952492,1.499268,3.408617,3.992055,-5.204595,150.138621,3.426943
0.020000,2.877088,1.477753,3.487030,3.920636,-3.570967,81.681418,3.413409
0.020000,2.802535,1.457265,3.564347,3.865863,-2.738638,41.616443,3.407332
0.020000,2.728880,1.437227,3.640679,3.816592,-2.463551,13.754367,3.408274
0.020000,2.656349,1.417140,3.715940,3.763086,-2.675296,-10.587267,3.416570
0.020000,2.585398,1.396539,3.789822,3.694066,-3.450972,-38.783807,3.433437
0.020000,2.516850,1.374984,3.861678,3.592831,-5.061768,-80.539809,3.461410
0.020000,2.452337,1.352172,3.930106,3.421397,-8.571696,-175.496393,3.505225
0.020000,2.394900,1.328257,3.992324,3.110858,-15.526956,-347.762983,3.573755
0.020000,2.349768,1.304742,4.043214,2.544502,-28.317805,-639.542455,3.685049
0.020000,2.325865,1.287875,4.072469,1.462759,-54.087127,-1288.466084,3.878620
0.020000,2.331383,1.297020,4.083150,0.534060,-46.434965,382.608081,4.226309
0.020000,2.342135,1.340593,4.128030,2.243991,85.496542,6596.575345,4.707257
0.020000,2.340021,1.358664,4.146224,0.909697,-66.714715,-7610.562859,5.078583
0.020000,2.350417,1.339932,4.167647,1.071175,8.073938,3739.432659,5.290459
0.020000,2.376255,1.305866,4.210403,2.137798,53.331141,2262.860176,5.415220
0.020000,2.412367,1.266846,4.263569,2.658307,26.025425,-1365.285803,5.495906
0.020000,2.454912,1.226632,4.322112,2.927125,13.440930,-629.224778,5.552309
0.020000,2.501568,1.186618,4.383577,3.073248,7.306138,-306.739600,5.594081
0.020000,2.550919,1.147337,4.446652,3.153772,4.026191,-163.997337,5.626377
0.020000,2.602065,1.108983,4.510582,3.196475,2.135132,-94.552921,5.652178
0.020000,2.654405,1.071609,4.574895,3.215668,0.959696,-58.771828,5.673324
0.020000,2.707526,1.035207,4.639292,3.219843,0.208735,-37.548023,5.691014
0.020000,2.761125,0.999748,4.703559,3.213354,-0.324473,-26.660440,5.706060
0.020000,2.814989,0.965186,4.767558,3.199953,-0.670015,-17.277076,5.719036
0.020000,2.868946,0.931480,4.831177,3.180964,-0.949479,-13.973210,5.730358
0.020000,2.922870,0.898586,4.894342,3.158242,-1.136069,-9.329487,5.740334
0.020000,2.642765,0.473622,5.403315,25.448657,1114.520736,55782.840247,2.627388
0.020000,2.594972,0.499425,5.457629,2.715666,-1136.649556,-112558.514628,2.665918
0.020000,2.547037,0.522951,5.511026,2.669852,-2.290722,56717.941729,2.704916
0.020000,2.498996,0.544240,5.563573,2.627345,-2.125323,8.269937,2.744119
0.020000,2.450882,0.563342,5.615340,2.588349,-1.949822,8.775068,2.783253
0.020000,2.402728,0.580319,5.666399,2.552949,-1.769984,8.991873,2.822036
0.020000,2.354565,0.595241,5.716820,2.521068,-1.594072,8.795603,2.860189
0.020000,2.306426,0.608188,5.766670,2.492517,-1.427531,8.327047,2.897450
0.020000,2.258340,0.619244,5.816010,2.466991,-1.276278,7.562677,2.933582
0.020000,2.210343,0.628501,5.864892,2.444092,-1.144992,6.564270,2.968377
0.020000,2.162468,0.636053,5.913359,2.423361,-1.036518,5.423716,3.001666
0.020000,2.114750,0.642000,5.961446,2.404330,-0.951564,4.247699,3.033314
0.020000,2.067227,0.646442,6.009176,2.386510,-0.891005,3.027954,3.063225
0.020000,2.019935,0.649481,6.056565,2.369469,-0.852020,1.949270,3.091339
0.020000,1.972911,0.651220,6.103621,2.352808,-0.833090,0.946487,3.117626
0.020000,1.926191,0.651762,6.150345,2.336183,-0.831211,0.093956,3.142082
0.020000,1.879808,0.651208,6.196731,2.319315,-0.843419,-0.610434,3.164727
0.020000,1.833795,0.649657,6.242771,2.301977,-0.866885,-1.173273,3.185597
0.020000,1.788180,0.647205,6.288451,2.284002,-0.898791,-1.595311,3.204744
0.020000,1.742993,0.643945,6.333756,2.265262,-0.936975,-1.909181,3.222226
0.020000,1.698256,0.639966,6.378670,2.245678,-0.979183,-2.110440,3.238110
0.020000,1.653991,0.635355,6.423174,2.225196,-1.024128,-2.247204,3.252467
0.020000,1.610219,0.630191,6.467250,2.203796,-1.070005,-2.293851,3.265369
0.020000,1.566956,0.624550,6.510879,2.181470,-1.116287,-2.314145,3.276889
0.020000,1.524216,0.618506,6.554044,2.158231,-1.161929,-2.282078,3.287099
0.020000,1.482014,0.612124,6.596726,2.134100,-1.206565,-2.231814,3.296070
0.020000,1.440360,0.605468,6.638908,2.109105,-1.249776,-2.160533,3.303868
0.020000,1.399266,0.598595,6.680573,2.083281,-1.291161,-2.069234,3.310559
0.020000,1.358738,0.591560,6.721707,2.056663,-1.330896,-1.986785,3.316206
0.020000,1.318787,0.584413,6.762292,2.029289,-1.368731,-1.891734,3.320869
0.020000,1.279418,0.577200,6.802316,2.001193,-1.404815,-1.804204,3.324603
0.020000,1.240640,0.569963,6.841765,1.972411,-1.439088,-1.713671,3.327464
0.020000,1.202457,0.562740,6.880624,1.942975,-1.471772,-1.634159,3.329503
0.020000,1.164877,0.555567,6.918882,1.912919,-1.502831,-1.552992,3.330767
0.020000,1.127906,0.548476,6.956528,1.882269,-1.532481,-1.482490,3.331305
0.020000,1.091549,0.541495,6.993549,1.851052,-1.560840,-1.417938,3.331161
0.020000,1.055813,0.534651,7.029935,1.819292,-1.587995,-1.357759,3.330377
0.020000,1.020703,0.527966,7.065675,1.787010,-1.614100,-1.305225,3.328995
0.020000,0.986227,0.521461,7.100759,1.754226,-1.639232,-1.256621,3.327054
0.020000,0.952390,0.515155,7.135179,1.720956,-1.663498,-1.213303,3.324593
0.020000,0.919201,0.509061,7.168923,1.687214,-1.687081,-1.179162,3.321648
0.020000,0.886665,0.503195,7.201983,1.653016,-1.709908,-1.141331,3.318256
0.020000,0.854791,0.497565,7.234351,1.618371,-1.732233,-1.116261,3.314451
0.020000,0.823586,0.492183,7.266016,1.583291,-1.753999,-1.088298,3.310268
0.020000,0.793058,0.487054,7.296972,1.547787,-1.775205,-1.060279,3.305741
0.020000,0.763216,0.482184,7.327209,1.511864,-1.796147,-1.047123,3.300902
0.020000,0.734067,0.477576,7.356720,1.475531,-1.816656,-1.025451,3.295784
0.020000,0.705621,0.473232,7.385496,1.438799,-1.836586,-0.996504,3.290418
0.020000,0.677886,0.469152,7.413529,1.401669,-1.856536,-0.997475,3.284835
0.020000,0.650871,0.465335,7.440812,1.364151,-1.875885,-0.967435,3.279066
0.020000,0.624586,0.461777,7.467337,1.326250,-1.895032,-0.957385,3.273141
0.020000,0.599039,0.458475,7.493097,1.287979,-1.913576,-0.927203,3.267090
0.020000,0.574239,0.455423,7.518084,1.249336,-1.932120,-0.927189,3.260941
0.020000,0.550196,0.452615,7.542290,1.210335,-1.950058,-0.896914,3.254723
0.020000,0.526918,0.450043,7.565710,1.170983,-1.967637,-0.878930,3.248463
0.020000,0.504414,0.447700,7.588336,1.131286,-1.984834,-0.859834,3.242188
0.020000,0.482692,0.445576,7.610161,1.091253,-2.001620,-0.839306,3.235926
0.020000,0.461762,0.443661,7.631179,1.050899,-2.017703,-0.804145,3.229701
0.020000,0.441630,0.441945,7.651383,1.010227,-2.033639,-0.796828,3.223538
0.020000,0.422306,0.440417,7.670768,0.969251,-2.048783,-0.757172,3.217462
0.020000,0.403795,0.439065,7.689328,0.927981,-2.063518,-0.736779,3.211494
0.020000,0.386106,0.437878,7.707057,0.886431,-2.077458,-0.696982,3.205659
0.020000,0.369246,0.436844,7.723949,0.844610,-2.091082,-0.681227,3.199976
0.020000,0.353220,0.435952,7.739999,0.802532,-2.103906,-0.641171,3.194466
0.020000,0.338035,0.435189,7.755204,0.760210,-2.116098,-0.609624,3.189148
0.020000,0.323696,0.434543,7.769557,0.717656,-2.127697,-0.579916,3.184041
