dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.456389,4.102896,0.000199,0.019940,0.997020,49.851000,3.139509
0.020000,5.456279,4.102896,0.000310,0.005547,-0.719659,-85.833963,3.139946
0.020000,5.456056,4.102897,0.000532,0.011102,0.277728,49.869371,3.140820
0.020000,5.454738,4.102897,0.001850,0.065900,2.739905,123.108856,3.142133
0.020000,5.451103,4.102891,0.005486,0.181782,5.794083,152.708867,3.143888
0.020000,5.446555,4.102876,0.010033,0.227369,2.279390,-175.734608,3.146090
0.020000,5.441095,4.102844,0.015494,0.273026,2.282843,0.172622,3.148745
0.020000,5.434721,4.102789,0.021868,0.318713,2.284333,0.074488,3.151858
0.020000,5.427431,4.102701,0.029158,0.364503,2.289525,0.259620,3.155438
0.020000,5.419224,4.102570,0.037366,0.410404,2.295027,0.275074,3.159493
0.020000,5.410097,4.102386,0.046496,0.456480,2.303783,0.437828,3.164034
0.020000,5.400046,4.102135,0.056550,0.502689,2.310458,0.333738,3.169071
0.020000,5.389071,4.101803,0.067529,0.548990,2.315063,0.230250,3.174617
0.020000,5.377168,4.101374,0.079440,0.595538,2.327412,0.617459,3.180686
0.020000,5.364335,4.100830,0.092285,0.642216,2.333911,0.324939,3.187292
0.020000,5.350570,4.100151,0.106067,0.689125,2.345437,0.576329,3.194450
0.020000,5.335869,4.099316,0.120791,0.736218,2.354653,0.460764,3.202178
0.020000,5.320230,4.098302,0.136464,0.783606,2.369382,0.736479,3.210495
0.020000,5.303651,4.097084,0.153087,0.831163,2.377879,0.424815,3.219418
0.020000,5.286130,4.095634,0.170667,0.879030,2.393324,0.772266,3.228969
0.020000,5.267667,4.093922,0.189210,0.927150,2.406007,0.634178,3.239168
0.020000,5.248260,4.091916,0.208720,0.975502,2.417610,0.580137,3.250037
0.020000,5.227909,4.089581,0.229205,1.024213,2.435526,0.895810,3.261599
0.020000,5.206616,4.086881,0.250668,1.073170,2.447853,0.616332,3.273877
0.020000,5.184383,4.083776,0.273117,1.122460,2.464527,0.833689,3.286893
0.020000,5.161214,4.080223,0.296557,1.171975,2.475736,0.560466,3.300671
0.020000,5.137115,4.076177,0.320993,1.221828,2.492661,0.846221,3.315232
0.020000,5.112094,4.071590,0.346431,1.271902,2.503666,0.550255,3.330598
0.020000,5.086160,4.066411,0.372877,1.322272,2.518530,0.743218,3.346788
0.020000,5.059329,4.060589,0.400333,1.372795,2.526162,0.381607,3.363819
0.020000,5.031615,4.054066,0.428804,1.423568,2.538621,0.622960,3.381706
0.020000,5.003039,4.046786,0.458293,1.474460,2.544611,0.299503,3.400458
0.020000,4.973626,4.038688,0.488800,1.525343,2.544152,-0.022983,3.420081
0.020000,4.943405,4.029712,0.520326,1.576308,2.548219,0.203357,3.440574
0.020000,4.912410,4.019795,0.552869,1.627147,2.541989,-0.311475,3.461930
0.020000,4.880680,4.008876,0.586425,1.677767,2.530971,-0.550937,3.484133
0.020000,4.848262,3.996894,0.620986,1.728091,2.516208,-0.738113,3.507158
0.020000,4.815206,3.983788,0.656545,1.777948,2.492835,-1.168686,3.530970
0.020000,4.781569,3.969501,0.693091,1.827270,2.466106,-1.336437,3.555524
0.020000,4.747415,3.953980,0.730607,1.875811,2.427059,-1.952346,3.580761
0.020000,4.712810,3.937174,0.769077,1.923485,2.383693,-2.168293,3.606613
0.020000,4.677828,3.919041,0.808479,1.970120,2.331760,-2.596677,3.632996
