dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.400914,4.135896,0.000199,0.019884,0.994176,49.708815,3.143724
0.020000,5.400806,4.135896,0.000307,0.005421,-0.723132,-85.865391,3.143297
0.020000,5.400589,4.135896,0.000524,0.010850,0.271453,49.729212,3.142443
0.020000,5.399457,4.135896,0.001656,0.056587,2.286850,100.769850,3.141159
0.020000,5.395841,4.135901,0.005273,0.180831,6.212188,196.266937,3.139443
0.020000,5.391317,4.135915,0.009797,0.226196,2.268255,-197.196660,3.137290
0.020000,5.385885,4.135946,0.015228,0.271584,2.269415,0.058000,3.134692
0.020000,5.379543,4.135999,0.021571,0.317125,2.277029,0.380693,3.131644
0.020000,5.372291,4.136084,0.028823,0.362627,2.275134,-0.094743,3.128137
0.020000,5.364123,4.136210,0.036992,0.408441,2.290658,0.776192,3.124161
0.020000,5.355039,4.136389,0.046077,0.454263,2.291122,0.023186,3.119705
0.020000,5.345037,4.136632,0.056082,0.500258,2.299756,0.431691,3.114757
0.020000,5.334113,4.136955,0.067012,0.546455,2.309827,0.503560,3.109304
0.020000,5.322263,4.137374,0.078869,0.592862,2.320366,0.526958,3.103329
0.020000,5.309485,4.137904,0.091658,0.639443,2.329072,0.435317,3.096818
0.020000,5.295776,4.138567,0.105383,0.686249,2.340294,0.561063,3.089751
0.020000,5.281133,4.139383,0.120049,0.733304,2.352711,0.620885,3.082110
0.020000,5.265552,4.140375,0.135661,0.780618,2.365707,0.649767,3.073874
0.020000,5.249030,4.141569,0.152226,0.828262,2.382231,0.826240,3.065019
0.020000,5.231564,4.142992,0.169750,0.876175,2.395634,0.670140,3.055524
0.020000,5.213153,4.144675,0.188237,0.924381,2.410290,0.732766,3.045362
0.020000,5.193795,4.146649,0.207697,0.972968,2.429388,0.954911,3.034506
0.020000,5.173487,4.148951,0.228134,1.021880,2.445566,0.808906,3.022930
0.020000,5.152230,4.151618,0.249558,1.071182,2.465104,0.976887,3.010605
0.020000,5.130025,4.154691,0.271974,1.120813,2.481537,0.821689,2.997500
0.020000,5.106874,4.158214,0.295392,1.170881,2.503431,1.094668,2.983586
0.020000,5.082782,4.162235,0.319817,1.221272,2.519542,0.805548,2.968833
0.020000,5.057753,4.166804,0.345260,1.272108,2.541796,1.112715,2.953211
0.020000,5.031798,4.171974,0.371725,1.323277,2.558450,0.832682,2.936690
0.020000,5.004926,4.177802,0.399221,1.374819,2.577096,0.932309,2.919243
0.020000,4.977155,4.184350,0.427754,1.426644,2.591245,0.707474,2.900845
0.020000,4.948502,4.191678,0.457329,1.478753,2.605478,0.711630,2.881475
0.020000,4.918992,4.199854,0.487951,1.531063,2.615478,0.499983,2.861115
0.020000,4.888654,4.208945,0.519622,1.583575,2.625607,0.506489,2.839754
0.020000,4.857522,4.219020,0.552344,1.636080,2.625235,-0.018621,2.817389
0.020000,4.825638,4.230151,0.586115,1.688569,2.624439,-0.039791,2.794023
0.020000,4.793050,4.242407,0.620931,1.740801,2.611602,-0.641868,2.769673
0.020000,4.759814,4.255858,0.656786,1.792748,2.597367,-0.711724,2.744365
0.020000,4.725992,4.270571,0.693669,1.844157,2.570476,-1.344560,2.718140
0.020000,4.691656,4.286609,0.731566,1.894845,2.534382,-1.804700,2.691054
0.020000,4.656884,4.304031,0.770459,1.944649,2.490210,-2.208608,2.663177
0.020000,4.621759,4.322889,0.810326,1.993332,2.434137,-2.803647,2.634598
0.020000,4.586372,4.343225,0.851140,2.040730,2.369899,-3.211904,2.605418
0.020000,4.550817,4.365074,0.892872,2.086598,2.293380,-3.825949,2.575757
0.020000,4.515190,4.388460,0.935488,2.130792,2.209720,-4.183003,2.545747
0.020000,4.479591,4.413394,0.978951,2.173159,2.118333,-4.569347,2.515532
0.020000,4.444113,4.439877,1.023223,2.213578,2.020979,-4.867712,2.485266
0.020000,4.408851,4.467897,1.068263,2.251984,1.920279,-5.034986,2.455107
0.020000,4.373891,4.497433,1.114029,2.288333,1.817472,-5.140353,2.425217
0.020000,4.339312,4.528452,1.160483,2.322664,1.716512,-5.047997,2.395755
0.020000,4.305184,4.560913,1.207583,2.355024,1.618010,-4.925096,2.366877
0.020000,4.271565,4.594767,1.255293,2.385518,1.524703,-4.665333,2.338729
0.020000,4.238504,4.629959,1.303579,2.414281,1.438160,-4.327160,2.311448
0.020000,4.206036,4.666430,1.352408,2.441466,1.359258,-3.945093,2.285158
0.020000,4.174185,4.704119,1.401753,2.467242,1.288815,-3.522148,2.259970
0.020000,4.142963,4.742962,1.451589,2.491790,1.227391,-3.071201,2.235981
0.020000,4.112371,4.782896,1.501894,2.515271,1.174039,-2.667601,2.213274
0.020000,4.082399,4.823859,1.552652,2.537857,1.129280,-2.237974,2.191921
0.020000,4.053029,4.865790,1.603845,2.559680,1.091160,-1.905992,2.171982
0.020000,4.024234,4.908629,1.655462,2.580869,1.059449,-1.585538,2.153505
0.020000,3.995977,4.952318,1.707493,2.601528,1.032966,-1.324164,2.136534
0.020000,3.968219,4.996802,1.759927,2.621716,1.009408,-1.177898,2.121105
0.020000,3.940911,5.042027,1.812757,2.641501,0.989235,-1.008628,2.107249
0.020000,3.913999,5.087939,1.865975,2.660890,0.969462,-0.988677,2.094999
0.020000,3.887425,5.134485,1.919573,2.679886,0.949795,-0.983340,2.084384
0.020000,3.861127,5.181614,1.973542,2.698464,0.928896,-1.044935,2.075438
0.020000,3.835038,5.229271,2.027873,2.716563,0.904938,-1.197946,2.068198
0.020000,3.809086,5.277402,2.082556,2.734118,0.877737,-1.360010,2.062708
0.020000,3.783196,5.325951,2.137576,2.751022,0.845208,-1.626449,2.059018
0.020000,3.757289,5.374856,2.192919,2.767156,0.806714,-1.924735,2.057189
0.020000,3.731283,5.424053,2.248567,2.782374,0.760895,-2.290943,2.057293
0.020000,3.705090,5.473470,2.304497,2.796506,0.706609,-2.714309,2.059415
0.020000,3.678619,5.523032,2.360684,2.809361,0.642764,-3.192230,2.063657
0.020000,3.651775,5.572650,2.417099,2.820726,0.568216,-3.727400,2.070135
0.020000,3.624460,5.622231,2.473706,2.830354,0.481416,-4.340018,2.078985
0.020000,3.596569,5.671666,2.530466,2.838006,0.382583,-4.941624,2.090363
0.020000,3.567998,5.720836,2.587334,2.843408,0.270090,-5.624666,2.104447
0.020000,3.538638,5.769606,2.644260,2.846290,0.144116,-6.298680,2.121435
0.020000,3.508379,5.817826,2.701188,2.846415,0.006274,-6.892094,2.141542
0.020000,3.477108,5.865329,2.758060,2.843577,-0.141900,-7.408707,2.165003
0.020000,3.444716,5.911930,2.814813,2.837667,-0.295501,-7.680070,2.192059
0.020000,3.411095,5.957431,2.871387,2.828716,-0.447561,-7.602967,2.222949
0.020000,3.376141,6.001617,2.927727,2.816985,-0.586566,-6.950278,2.257892
0.020000,3.339756,6.044266,2.983788,2.803031,-0.697676,-5.555479,2.297061
0.020000,3.301847,6.085152,3.039545,2.787847,-0.759207,-3.076578,2.340554
0.020000,3.262324,6.124057,3.095003,2.772897,-0.747494,0.585685,2.388353
0.020000,3.221101,6.160773,3.150206,2.760180,-0.635845,5.582423,2.440279
0.020000,3.178086,6.195116,3.205249,2.752150,-0.401517,11.716381,2.495966
0.020000,3.133184,6.226930,3.260279,2.751511,-0.031940,18.478875,2.554832
0.020000,3.087703,6.255263,3.313864,2.679223,-3.614430,-179.124502,2.614989
0.020000,3.037147,6.282677,3.371374,2.875504,9.814059,671.424452,2.670357
0.020000,2.980977,6.309826,3.433761,3.119354,12.192497,118.921898,2.709669
0.020000,2.920520,6.336616,3.499888,3.306362,9.350428,-142.103430,2.737393
0.020000,2.856630,6.363183,3.569081,3.459650,7.664408,-84.301018,2.756184
0.020000,2.789866,6.389779,3.640947,3.593309,6.682947,-49.073055,2.767584
0.020000,2.720588,6.416735,3.715285,3.716899,6.179490,-25.172864,2.772385
0.020000,2.649010,6.444453,3.792042,3.837843,6.047215,-6.613750,2.770794
