dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.400373,4.389896,0.000199,0.019884,0.994176,49.708815,3.143724
0.020000,5.400373,4.389896,0.000994,0.059651,1.988353,49.708815,3.143297
0.020000,5.400373,4.389896,0.002585,0.099418,1.988353,0.000000,3.142443
0.020000,5.399567,4.389896,0.004971,0.139185,1.988353,0.000000,3.141159
0.020000,5.396387,4.389900,0.008152,0.178952,1.988353,-0.000000,3.139443
0.020000,5.392410,4.389913,0.012129,0.218719,1.988353,0.000000,3.137290
0.020000,5.387638,4.389940,0.016901,0.258486,1.988353,-0.000000,3.134692
0.020000,5.382070,4.389987,0.022468,0.298253,1.988353,0.000000,3.131644
0.020000,5.375708,4.390061,0.028831,0.338020,1.988353,0.000000,3.128137
0.020000,5.368550,4.390172,0.035989,0.377787,1.988353,0.000000,3.124161
0.020000,5.360599,4.390328,0.043943,0.417554,1.988353,-0.000000,3.119705
0.020000,5.351853,4.390541,0.052691,0.457321,1.988353,0.000000,3.114757
0.020000,5.342313,4.390823,0.062235,0.497088,1.988353,-0.000000,3.109304
0.020000,5.331980,4.391188,0.072575,0.536855,1.988353,0.000000,3.103329
0.020000,5.320854,4.391650,0.083710,0.576622,1.988353,0.000000,3.096818
0.020000,5.308938,4.392226,0.095640,0.616389,1.988353,0.000000,3.089751
0.020000,5.296233,4.392934,0.108365,0.656156,1.988353,0.000000,3.082110
0.020000,5.282740,4.393793,0.121886,0.695923,1.988353,0.000000,3.073874
0.020000,5.268461,4.394825,0.136202,0.735690,1.988353,0.000000,3.065019
0.020000,5.253399,4.396052,0.151314,0.775458,1.988353,0.000000,3.055524
0.020000,5.237558,4.397500,0.167220,0.815225,1.988353,0.000000,3.045362
0.020000,5.220943,4.399194,0.183923,0.854992,1.988353,0.000000,3.034506
0.020000,5.203557,4.401165,0.201420,0.894759,1.988353,0.000000,3.022930
0.020000,5.185406,4.403442,0.219713,0.934526,1.988353,0.000000,3.010605
0.020000,5.166498,4.406059,0.238801,0.974293,1.988353,-0.000000,2.997500
0.020000,5.146841,4.409050,0.258685,1.014060,1.988353,0.000000,2.983586
0.020000,5.126445,4.412454,0.279364,1.053827,1.988353,-0.000000,2.968833
0.020000,5.105320,4.416310,0.300838,1.093594,1.988353,0.000000,2.953211
0.020000,5.083480,4.420660,0.323107,1.133361,1.988353,-0.000000,2.936690
0.020000,5.060939,4.425550,0.346172,1.173128,1.988353,0.000000,2.919243
0.020000,5.037716,4.431024,0.370032,1.212895,1.988353,0.000000,2.900845
0.020000,5.013829,4.437134,0.394688,1.252662,1.988353,0.000000,2.881475
0.020000,4.989303,4.443929,0.420139,1.292429,1.988353,-0.000000,2.861115
0.020000,4.964162,4.451462,0.446385,1.332196,1.988353,0.000000,2.839754
0.020000,4.938435,4.459788,0.473427,1.371963,1.988353,0.000000,2.817389
0.020000,4.912153,4.468963,0.501264,1.411730,1.988353,-0.000000,2.794023
0.020000,4.885355,4.479041,0.529896,1.451497,1.988353,0.000000,2.769673
0.020000,4.858077,4.490080,0.559324,1.491264,1.988353,0.000000,2.744365
0.020000,4.830363,4.502136,0.589547,1.531032,1.988353,0.000000,2.718140
0.020000,4.802261,4.515263,0.620565,1.570799,1.988353,0.000000,2.691054
0.020000,4.773819,4.529514,0.652378,1.610566,1.988353,-0.000000,2.663177
0.020000,4.745089,4.544937,0.684987,1.650333,1.988353,-0.000000,2.634598
0.020000,4.716128,4.561581,0.718392,1.690100,1.988353,0.000000,2.605418
0.020000,4.686992,4.579486,0.752591,1.729867,1.988353,0.000000,2.575757
0.020000,4.657737,4.598689,0.787586,1.769634,1.988353,0.000000,2.545747
0.020000,4.628424,4.619221,0.823377,1.809401,1.988353,0.000000,2.515532
0.020000,4.599107,4.641105,0.859963,1.849168,1.988353,0.000000,2.485266
0.020000,4.569842,4.664361,0.897344,1.888935,1.988353,0.000000,2.455107
0.020000,4.540682,4.688998,0.935520,1.928702,1.988353,0.000000,2.425217
0.020000,4.511673,4.715021,0.974492,1.968469,1.988353,0.000000,2.395755
0.020000,4.482860,4.742427,1.014259,2.008236,1.988353,0.000000,2.366877
0.020000,4.454280,4.771208,1.054821,2.048003,1.988353,0.000000,2.338729
