dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.399832,4.643895,0.000199,0.019884,0.994176,49.708815,3.143724
0.020000,5.399940,4.643895,0.000307,0.005421,-0.723132,-85.865391,3.143297
0.020000,5.400157,4.643896,0.000524,0.010850,0.271453,49.729212,3.142443
0.020000,5.399678,4.643896,0.001004,0.023985,0.656730,19.263885,3.141159
0.020000,5.396932,4.643900,0.003749,0.137254,5.663467,250.336810,3.139443
0.020000,5.393503,4.643911,0.007179,0.171491,1.711840,-197.581340,3.137290
0.020000,5.389390,4.643934,0.011291,0.205613,1.706131,-0.285454,3.134692
0.020000,5.384597,4.643974,0.016085,0.239692,1.703942,-0.109452,3.131644
0.020000,5.379126,4.644038,0.021556,0.273556,1.693178,-0.538177,3.128137
0.020000,5.372978,4.644133,0.027705,0.307439,1.694140,0.048095,3.124161
0.020000,5.366158,4.644267,0.034527,0.341084,1.682292,-0.592392,3.119705
0.020000,5.358668,4.644450,0.042018,0.374587,1.675123,-0.358445,3.114757
0.020000,5.350513,4.644691,0.050177,0.407937,1.667507,-0.380795,3.109304
0.020000,5.341696,4.645002,0.058999,0.441111,1.658682,-0.441275,3.103329
0.020000,5.332223,4.645395,0.068480,0.474049,1.646916,-0.588283,3.096818
0.020000,5.322100,4.645884,0.078615,0.506757,1.635427,-0.574457,3.089751
0.020000,5.311332,4.646484,0.089400,0.539222,1.623206,-0.611052,3.082110
0.020000,5.299927,4.647211,0.100828,0.571417,1.609789,-0.670878,3.073874
0.020000,5.287891,4.648080,0.112895,0.603364,1.597332,-0.622834,3.065019
0.020000,5.275233,4.649112,0.125595,0.634984,1.581005,-0.816361,3.055524
0.020000,5.261963,4.650324,0.138920,0.666266,1.564079,-0.846271,3.045362
0.020000,5.248091,4.651739,0.152865,0.697244,1.548914,-0.758240,3.034506
0.020000,5.233626,4.653379,0.167422,0.727851,1.530329,-0.929273,3.022930
0.020000,5.218582,4.655266,0.182584,0.758111,1.513008,-0.866026,3.010605
0.020000,5.202971,4.657426,0.198344,0.787963,1.492598,-1.020504,2.997500
0.020000,5.186808,4.659886,0.214693,0.817472,1.475454,-0.857214,2.983586
0.020000,5.170108,4.662673,0.231624,0.846553,1.454083,-1.068565,2.968833
0.020000,5.152886,4.665816,0.249130,0.875300,1.437308,-0.838727,2.953211
0.020000,5.135162,4.669347,0.267203,0.903651,1.417596,-0.985622,2.936690
0.020000,5.116952,4.673297,0.285837,0.931671,1.400951,-0.832232,2.919243
0.020000,5.098277,4.677699,0.305024,0.959347,1.383844,-0.855381,2.900845
0.020000,5.079157,4.682589,0.324759,0.986756,1.370442,-0.670086,2.881475
0.020000,5.059614,4.688003,0.345037,1.013937,1.359046,-0.569800,2.861115
0.020000,5.039670,4.693979,0.365858,1.041015,1.353904,-0.257095,2.839754
0.020000,5.019348,4.700556,0.387218,1.068005,1.349505,-0.219960,2.817389
0.020000,4.998669,4.707774,0.409120,1.095087,1.354093,0.229430,2.794023
0.020000,4.977660,4.715675,0.431566,1.122322,1.361749,0.382772,2.769673
0.020000,4.956340,4.724303,0.454565,1.149942,1.381016,0.963351,2.744365
0.020000,4.934735,4.733702,0.478126,1.178066,1.406155,1.256975,2.718140
0.020000,4.912865,4.743917,0.502264,1.206880,1.440735,1.728964,2.691054
0.020000,4.890753,4.754996,0.526996,1.236609,1.486437,2.285105,2.663177
0.020000,4.868420,4.766986,0.552345,1.267436,1.541333,2.744840,2.634598
0.020000,4.845884,4.779937,0.578337,1.299590,1.607724,3.319548,2.605418
0.020000,4.823166,4.793898,0.605001,1.333235,1.682230,3.725284,2.575757
0.020000,4.800285,4.808918,0.632373,1.368567,1.766627,4.219869,2.545747
0.020000,4.777257,4.825047,0.660487,1.405734,1.858329,4.585086,2.515532
0.020000,4.754101,4.842334,0.689384,1.444846,1.955585,4.862801,2.485266
0.020000,4.730833,4.860824,0.719104,1.485980,2.056697,5.055577,2.455107
0.020000,4.707472,4.880562,0.749687,1.529154,2.158743,5.102307,2.425217
