dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.590639,3.305074,0.000198,0.019841,0.992075,49.603734,0.015093
0.020000,0.590644,3.305074,0.000204,0.000261,-0.979022,-98.554820,0.015076
0.020000,0.590654,3.305075,0.000214,0.000522,0.013042,49.603199,0.015041
0.020000,0.592833,3.305107,0.002393,0.108964,5.422086,270.452175,0.014989
0.020000,0.596028,3.305155,0.005589,0.159774,2.540521,-144.078239,0.014920
0.020000,0.600022,3.305215,0.009583,0.199716,1.997096,-27.171224,0.014833
0.020000,0.604815,3.305285,0.014376,0.239657,1.997041,-0.002794,0.014729
0.020000,0.610406,3.305367,0.019968,0.279596,1.996979,-0.003093,0.014608
0.020000,0.616796,3.305460,0.026359,0.319534,1.996904,-0.003735,0.014470
0.020000,0.623985,3.305564,0.033548,0.359471,1.996817,-0.004374,0.014315
0.020000,0.631972,3.305677,0.041536,0.399405,1.996722,-0.004719,0.014143
0.020000,0.640758,3.305801,0.050323,0.439337,1.996614,-0.005407,0.013955
0.020000,0.650343,3.305934,0.059909,0.479267,1.996497,-0.005835,0.013750
0.020000,0.660725,3.306075,0.070292,0.519195,1.996369,-0.006442,0.013529
0.020000,0.671907,3.306225,0.081475,0.559119,1.996230,-0.006916,0.013292
0.020000,0.683887,3.306383,0.093456,0.599041,1.996080,-0.007508,0.013039
0.020000,0.696665,3.306548,0.106235,0.638959,1.995920,-0.007992,0.012770
0.020000,0.710241,3.306719,0.119812,0.678874,1.995748,-0.008596,0.012486
0.020000,0.724616,3.306897,0.134188,0.718786,1.995567,-0.009083,0.012186
0.020000,0.739789,3.307079,0.149362,0.758693,1.995373,-0.009662,0.011872
0.020000,0.755759,3.307266,0.165334,0.798597,1.995172,-0.010046,0.011543
0.020000,0.772528,3.307457,0.182104,0.838496,1.994956,-0.010819,0.011199
0.020000,0.790095,3.307650,0.199672,0.878390,1.994732,-0.011226,0.010842
0.020000,0.808460,3.307846,0.218037,0.918280,1.994497,-0.011714,0.010470
0.020000,0.827622,3.308043,0.237200,0.958165,1.994250,-0.012388,0.010085
0.020000,0.847582,3.308240,0.257161,0.998045,1.993994,-0.012800,0.009687
0.020000,0.868339,3.308437,0.277920,1.037920,1.993725,-0.013416,0.009276
0.020000,0.889894,3.308633,0.299476,1.077789,1.993447,-0.013921,0.008853
0.020000,0.912246,3.308826,0.321829,1.117652,1.993157,-0.014471,0.008418
0.020000,0.935396,3.309015,0.344979,1.157509,1.992857,-0.014993,0.007971
0.020000,0.959342,3.309201,0.368926,1.197360,1.992546,-0.015584,0.007513
0.020000,0.984086,3.309381,0.393670,1.237204,1.992226,-0.016010,0.007044
0.020000,1.009626,3.309555,0.419211,1.277042,1.991892,-0.016681,0.006565
0.020000,1.035963,3.309721,0.445548,1.316873,1.991550,-0.017119,0.006076
0.020000,1.063096,3.309879,0.472682,1.356697,1.991195,-0.017749,0.005578
0.020000,1.091026,3.310028,0.500613,1.396514,1.990831,-0.018189,0.005071
0.020000,1.119752,3.310166,0.529339,1.436323,1.990455,-0.018807,0.004555
0.020000,1.149275,3.310293,0.558861,1.476124,1.990069,-0.019290,0.004031
0.020000,1.179593,3.310407,0.589180,1.515918,1.989671,-0.019889,0.003500
0.020000,1.210707,3.310508,0.620294,1.555703,1.989264,-0.020377,0.002963
0.020000,1.242616,3.310593,0.652203,1.595480,1.988845,-0.020942,0.002419
0.020000,1.275321,3.310664,0.684908,1.635248,1.988416,-0.021455,0.001869
0.020000,1.308821,3.310717,0.718409,1.675008,1.987975,-0.022029,0.001314
0.020000,1.343116,3.310752,0.752704,1.714758,1.987524,-0.022542,0.000755
0.020000,1.378206,3.310769,0.787794,1.754499,1.987062,-0.023101,0.000192
0.020000,1.414091,3.310766,0.823678,1.794231,1.986590,-0.023602,6.282811
0.020000,1.450770,3.310741,0.860357,1.833953,1.986106,-0.024187,6.282242
0.020000,1.488243,3.310695,0.897831,1.873665,1.985613,-0.024694,6.281670
0.020000,1.526510,3.310626,0.936098,1.913368,1.985108,-0.025248,6.281098
0.020000,1.565571,3.310534,0.975159,1.953059,1.984592,-0.025774,6.280525
0.020000,1.605426,3.310416,1.015014,1.992741,1.984066,-0.026323,6.279953
0.020000,1.646074,3.310273,1.055662,2.032411,1.983529,-0.026844,6.279381
0.020000,1.687515,3.310103,1.097104,2.072071,1.982981,-0.027400,6.278810
0.020000,1.729749,3.309907,1.139338,2.111719,1.982422,-0.027921,6.278242
0.020000,1.772776,3.309682,1.182365,2.151356,1.981853,-0.028465,6.277677
0.020000,1.816595,3.309428,1.226185,2.190982,1.981273,-0.028999,6.277116
0.020000,1.861206,3.309145,1.270797,2.230596,1.980682,-0.029534,6.276559
0.020000,1.906608,3.308831,1.316201,2.270197,1.980081,-0.030072,6.276008
0.020000,1.952803,3.308487,1.362396,2.309787,1.979469,-0.030604,6.275463
0.020000,1.999789,3.308112,1.409384,2.349364,1.978846,-0.031141,6.274926
0.020000,2.047565,3.307704,1.457162,2.388928,1.978213,-0.031674,6.274396
0.020000,2.096133,3.307265,1.505732,2.428479,1.977568,-0.032208,6.273875
