dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.599694,2.705143,0.000198,0.019841,0.992075,49.603734,0.015093
0.020000,0.599689,2.705143,0.000204,0.000261,-0.979022,-98.554820,0.015076
0.020000,0.599679,2.705143,0.000214,0.000522,0.013042,49.603199,0.015041
0.020000,0.601826,2.705175,0.002362,0.107399,5.343854,266.540566,0.014989
0.020000,0.604980,2.705222,0.005516,0.157690,2.514543,-141.465514,0.014920
0.020000,0.608922,2.705281,0.009458,0.197114,1.971204,-27.166953,0.014833
0.020000,0.613652,2.705350,0.014189,0.236539,1.971255,0.002549,0.014729
0.020000,0.619171,2.705431,0.019708,0.275965,1.971322,0.003315,0.014608
0.020000,0.625478,2.705523,0.026016,0.315393,1.971396,0.003743,0.014470
0.020000,0.632574,2.705625,0.033113,0.354823,1.971480,0.004176,0.014315
0.020000,0.640458,2.705737,0.040998,0.394255,1.971578,0.004897,0.014143
0.020000,0.649131,2.705859,0.049671,0.433688,1.971683,0.005281,0.013955
0.020000,0.658592,2.705990,0.059134,0.473124,1.971802,0.005921,0.013750
0.020000,0.668843,2.706130,0.069385,0.512563,1.971930,0.006386,0.013529
0.020000,0.679882,2.706278,0.080425,0.552004,1.972069,0.006982,0.013292
0.020000,0.691710,2.706434,0.092254,0.591449,1.972218,0.007461,0.013039
0.020000,0.704327,2.706597,0.104872,0.630896,1.972379,0.008048,0.012770
0.020000,0.717732,2.706766,0.118279,0.670347,1.972550,0.008517,0.012486
0.020000,0.731927,2.706941,0.132475,0.709802,1.972732,0.009102,0.012186
0.020000,0.746912,2.707121,0.147460,0.749260,1.972924,0.009596,0.011872
0.020000,0.762685,2.707306,0.163235,0.788723,1.973129,0.010284,0.011543
0.020000,0.779248,2.707494,0.179799,0.828190,1.973341,0.010587,0.011199
0.020000,0.796600,2.707686,0.197152,0.867661,1.973566,0.011253,0.010842
0.020000,0.814742,2.707879,0.215295,0.907137,1.973803,0.011839,0.010470
0.020000,0.833673,2.708074,0.234227,0.946618,1.974048,0.012241,0.010085
0.020000,0.853394,2.708269,0.253949,0.986104,1.974306,0.012903,0.009687
0.020000,0.873905,2.708463,0.274461,1.025596,1.974573,0.013365,0.009276
0.020000,0.895206,2.708656,0.295763,1.065093,1.974852,0.013935,0.008853
0.020000,0.917297,2.708847,0.317855,1.104595,1.975141,0.014462,0.008418
0.020000,0.940178,2.709034,0.340737,1.144104,1.975441,0.015017,0.007971
0.020000,0.963850,2.709218,0.364409,1.183619,1.975752,0.015503,0.007513
0.020000,0.988312,2.709396,0.388872,1.223141,1.976075,0.016154,0.007044
0.020000,1.013565,2.709568,0.414125,1.262669,1.976406,0.016562,0.006565
0.020000,1.039609,2.709732,0.440169,1.302204,1.976750,0.017200,0.006076
0.020000,1.066443,2.709889,0.467004,1.341746,1.977103,0.017649,0.005578
0.020000,1.094069,2.710036,0.494630,1.381295,1.977469,0.018287,0.005071
0.020000,1.122485,2.710172,0.523047,1.420852,1.977844,0.018748,0.004555
0.020000,1.151693,2.710298,0.552256,1.460417,1.978230,0.019342,0.004031
0.020000,1.181693,2.710411,0.582255,1.499989,1.978627,0.019823,0.003500
0.020000,1.212484,2.710510,0.613047,1.539570,1.979035,0.020412,0.002963
0.020000,1.244067,2.710595,0.644630,1.579159,1.979454,0.020925,0.002419
0.020000,1.276442,2.710665,0.677005,1.618757,1.979883,0.021491,0.001869
0.020000,1.309610,2.710717,0.710172,1.658363,1.980323,0.021994,0.001314
0.020000,1.343569,2.710752,0.744132,1.697979,1.980774,0.022559,0.000755
0.020000,1.378321,2.710769,0.778884,1.737604,1.981236,0.023077,0.000192
0.020000,1.413866,2.710766,0.814429,1.777238,1.981709,0.023653,6.282811
0.020000,1.450204,2.710742,0.850766,1.816882,1.982192,0.024145,6.282242
0.020000,1.487334,2.710696,0.887897,1.856535,1.982686,0.024714,6.281670
0.020000,1.525258,2.710628,0.925821,1.896199,1.983191,0.025235,6.281098
0.020000,1.563975,2.710536,0.964539,1.935873,1.983707,0.025785,6.280525
0.020000,1.603486,2.710419,1.004050,1.975558,1.984233,0.026311,6.279953
