dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.096723,1.079806,0.000198,0.019819,0.990927,49.546368,0.011769
0.020000,0.096724,1.079806,0.000199,0.000021,-0.989897,-99.041238,0.011768
0.020000,0.096725,1.079806,0.000199,0.000041,0.001023,49.546003,0.011766
0.020000,0.097934,1.079820,0.001409,0.060488,3.022336,151.065664,0.011763
0.020000,0.101107,1.079857,0.004582,0.158629,4.907077,94.237060,0.011758
0.020000,0.105072,1.079904,0.008547,0.198286,1.982812,-146.213274,0.011753
0.020000,0.109831,1.079960,0.013306,0.237941,1.982775,-0.001824,0.011747
0.020000,0.115382,1.080025,0.018858,0.277596,1.982731,-0.002188,0.011740
0.020000,0.121727,1.080100,0.025203,0.317249,1.982680,-0.002560,0.011733
0.020000,0.128864,1.080183,0.032341,0.356902,1.982622,-0.002916,0.011724
0.020000,0.136795,1.080276,0.040272,0.396553,1.982556,-0.003286,0.011715
0.020000,0.145518,1.080378,0.048996,0.436203,1.982483,-0.003649,0.011705
0.020000,0.155035,1.080490,0.058513,0.475851,1.982403,-0.004019,0.011695
0.020000,0.165344,1.080610,0.068823,0.515497,1.982315,-0.004376,0.011684
0.020000,0.176446,1.080740,0.079926,0.555141,1.982220,-0.004747,0.011672
0.020000,0.188341,1.080879,0.091822,0.594784,1.982118,-0.005110,0.011661
0.020000,0.201028,1.081027,0.104510,0.634424,1.982009,-0.005474,0.011649
0.020000,0.214509,1.081184,0.117991,0.674062,1.981892,-0.005842,0.011637
0.020000,0.228782,1.081350,0.132265,0.713697,1.981768,-0.006203,0.011626
0.020000,0.243847,1.081525,0.147332,0.753330,1.981636,-0.006571,0.011614
0.020000,0.259705,1.081709,0.163191,0.792960,1.981498,-0.006935,0.011603
0.020000,0.276356,1.081902,0.179843,0.832587,1.981352,-0.007299,0.011593
0.020000,0.293799,1.082104,0.197287,0.872211,1.981198,-0.007667,0.011583
0.020000,0.312034,1.082315,0.215524,0.911831,1.981038,-0.008028,0.011574
0.020000,0.331062,1.082535,0.234553,0.951449,1.980870,-0.008396,0.011566
0.020000,0.350882,1.082764,0.254374,0.991063,1.980695,-0.008760,0.011559
0.020000,0.371494,1.083003,0.274987,1.030673,1.980512,-0.009126,0.011553
0.020000,0.392898,1.083250,0.296393,1.070279,1.980322,-0.009489,0.011549
0.020000,0.415094,1.083506,0.318591,1.109882,1.980125,-0.009856,0.011547
0.020000,0.438083,1.083772,0.341580,1.149480,1.979921,-0.010220,0.011547
0.020000,0.461862,1.084046,0.365362,1.189075,1.979709,-0.010585,0.011549
0.020000,0.486434,1.084330,0.389935,1.228664,1.979490,-0.010951,0.011553
0.020000,0.511797,1.084623,0.415300,1.268250,1.979264,-0.011314,0.011560
0.020000,0.537952,1.084926,0.441457,1.307830,1.979030,-0.011681,0.011570
0.020000,0.564899,1.085238,0.468405,1.347406,1.978789,-0.012046,0.011583
0.020000,0.592636,1.085559,0.496144,1.386977,1.978541,-0.012409,0.011599
0.020000,0.621165,1.085890,0.524675,1.426543,1.978286,-0.012778,0.011619
0.020000,0.650485,1.086232,0.553997,1.466103,1.978023,-0.013137,0.011643
0.020000,0.680596,1.086583,0.584110,1.505658,1.977753,-0.013508,0.011671
0.020000,0.711498,1.086944,0.615015,1.545208,1.977475,-0.013870,0.011704
0.020000,0.743191,1.087315,0.646710,1.584751,1.977191,-0.014235,0.011741
0.020000,0.775675,1.087697,0.679195,1.624289,1.976899,-0.014603,0.011783
0.020000,0.808949,1.088090,0.712472,1.663821,1.976599,-0.014965,0.011831
0.020000,0.843013,1.088494,0.746539,1.703347,1.976293,-0.015330,0.011884
0.020000,0.877868,1.088909,0.781396,1.742867,1.975979,-0.015697,0.011943
0.020000,0.913513,1.089336,0.817044,1.782380,1.975657,-0.016064,0.012009
0.020000,0.949948,1.089775,0.853481,1.821886,1.975329,-0.016421,0.012081
0.020000,0.987173,1.090226,0.890709,1.861386,1.974993,-0.016795,0.012160
0.020000,1.025188,1.090690,0.928727,1.900879,1.974650,-0.017158,0.012246
