dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.101357,0.686133,0.000199,0.019858,0.992921,49.646052,0.011868
0.020000,0.101357,0.686133,0.000993,0.059575,1.985842,49.646052,0.011845
0.020000,0.101357,0.686133,0.002582,0.099292,1.985842,-0.000000,0.011800
0.020000,0.102463,0.686146,0.004965,0.139009,1.985842,0.000000,0.011733
0.020000,0.105640,0.686183,0.008142,0.178726,1.985842,0.000000,0.011643
0.020000,0.109611,0.686229,0.012114,0.218443,1.985842,-0.000000,0.011532
0.020000,0.114377,0.686284,0.016880,0.258159,1.985842,0.000000,0.011398
0.020000,0.119937,0.686347,0.022440,0.297876,1.985842,0.000000,0.011244
0.020000,0.126291,0.686418,0.028795,0.337593,1.985842,0.000000,0.011068
0.020000,0.133440,0.686496,0.035944,0.377310,1.985842,0.000000,0.010872
0.020000,0.141383,0.686582,0.043887,0.417027,1.985842,0.000000,0.010656
0.020000,0.150120,0.686674,0.052625,0.456744,1.985842,-0.000000,0.010420
0.020000,0.159652,0.686772,0.062157,0.496461,1.985842,0.000000,0.010165
0.020000,0.169977,0.686875,0.072483,0.536177,1.985842,0.000000,0.009892
0.020000,0.181098,0.686984,0.083604,0.575894,1.985842,-0.000000,0.009602
0.020000,0.193012,0.687096,0.095519,0.615611,1.985842,0.000000,0.009294
0.020000,0.205721,0.687212,0.108228,0.655328,1.985842,0.000000,0.008971
0.020000,0.219224,0.687331,0.121732,0.695045,1.985842,-0.000000,0.008632
0.020000,0.233522,0.687452,0.136030,0.734762,1.985842,-0.000000,0.008280
0.020000,0.248614,0.687574,0.151123,0.774478,1.985842,0.000000,0.007914
0.020000,0.264500,0.687697,0.167009,0.814195,1.985842,-0.000000,0.007536
0.020000,0.281181,0.687820,0.183690,0.853912,1.985842,0.000000,0.007147
0.020000,0.298656,0.687941,0.201166,0.893629,1.985842,0.000000,0.006748
0.020000,0.316925,0.688060,0.219436,0.933346,1.985842,0.000000,0.006340
0.020000,0.335989,0.688177,0.238500,0.973063,1.985842,0.000000,0.005925
0.020000,0.355847,0.688291,0.258358,1.012779,1.985842,0.000000,0.005504
0.020000,0.376499,0.688400,0.279011,1.052496,1.985842,-0.000000,0.005078
0.020000,0.397946,0.688504,0.300458,1.092213,1.985842,0.000000,0.004649
0.020000,0.420187,0.688603,0.322699,1.131930,1.985842,-0.000000,0.004217
0.020000,0.443223,0.688695,0.345735,1.171647,1.985842,0.000000,0.003786
0.020000,0.467053,0.688780,0.369565,1.211364,1.985842,0.000000,0.003355
0.020000,0.491677,0.688857,0.394190,1.251081,1.985842,0.000000,0.002928
0.020000,0.517096,0.688926,0.419608,1.290797,1.985842,-0.000000,0.002505
0.020000,0.543309,0.688987,0.445822,1.330514,1.985842,0.000000,0.002088
0.020000,0.570316,0.689037,0.472829,1.370231,1.985842,0.000000,0.001679
0.020000,0.598118,0.689079,0.500631,1.409948,1.985842,-0.000000,0.001281
0.020000,0.626714,0.689110,0.529227,1.449665,1.985842,0.000000,0.000894
0.020000,0.656105,0.689130,0.558617,1.489382,1.985842,0.000000,0.000521
0.020000,0.686289,0.689141,0.588802,1.529098,1.985842,-0.000000,0.000164
0.020000,0.717268,0.689140,0.619781,1.568815,1.985842,0.000000,6.283010
0.020000,0.749042,0.689130,0.651555,1.608532,1.985842,0.000000,6.282690
0.020000,0.781610,0.689109,0.684123,1.648249,1.985842,-0.000000,6.282393
0.020000,0.814972,0.689078,0.717485,1.687966,1.985842,0.000000,6.282121
0.020000,0.849128,0.689037,0.751641,1.727683,1.985842,0.000000,6.281875
0.020000,0.884079,0.688987,0.786592,1.767399,1.985842,-0.000000,6.281658
0.020000,0.919824,0.688929,0.822337,1.807116,1.985842,0.000000,6.281473
0.020000,0.956364,0.688864,0.858877,1.846833,1.985842,0.000000,6.281321
0.020000,0.993697,0.688792,0.896211,1.886550,1.985842,-0.000000,6.281206
0.020000,1.031826,0.688715,0.934339,1.926267,1.985842,0.000000,6.281130
0.020000,1.070748,0.688634,0.973261,1.965984,1.985842,-0.000000,6.281095
0.020000,1.110465,0.688551,1.012978,2.005701,1.985842,0.000000,6.281105
0.020000,1.150976,0.688468,1.053489,2.045417,1.985842,-0.000000,6.281162
0.020000,1.192281,0.688386,1.094795,2.085134,1.985842,0.000000,6.281268
