dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.105990,0.292460,0.000198,0.019819,0.990927,49.546368,0.011769
0.020000,0.105990,0.292460,0.000199,0.000021,-0.989897,-99.041238,0.011768
0.020000,0.105989,0.292460,0.000199,0.000041,0.001023,49.546003,0.011766
0.020000,0.107196,0.292475,0.001407,0.060365,3.016215,150.759596,0.011763
0.020000,0.110365,0.292512,0.004576,0.158467,4.905105,94.444512,0.011758
0.020000,0.114327,0.292558,0.008538,0.198085,1.980898,-146.210354,0.011753
0.020000,0.119080,0.292614,0.013292,0.237704,1.980934,0.001826,0.011747
0.020000,0.124626,0.292679,0.018838,0.277324,1.980978,0.002193,0.011740
0.020000,0.130965,0.292754,0.025177,0.316944,1.981029,0.002550,0.011733
0.020000,0.138096,0.292837,0.032309,0.356566,1.981088,0.002925,0.011724
0.020000,0.146019,0.292930,0.040232,0.396189,1.981153,0.003284,0.011715
0.020000,0.154735,0.293032,0.048949,0.435814,1.981226,0.003651,0.011705
0.020000,0.164243,0.293144,0.058457,0.475440,1.981307,0.004011,0.011695
0.020000,0.174543,0.293264,0.068759,0.515068,1.981394,0.004385,0.011684
0.020000,0.185637,0.293394,0.079853,0.554697,1.981489,0.004743,0.011672
0.020000,0.197522,0.293532,0.091739,0.594329,1.981591,0.005110,0.011661
0.020000,0.210201,0.293680,0.104419,0.633963,1.981701,0.005476,0.011649
0.020000,0.223672,0.293837,0.117891,0.673600,1.981818,0.005838,0.011637
0.020000,0.237936,0.294003,0.132155,0.713238,1.981942,0.006207,0.011626
0.020000,0.252992,0.294178,0.147213,0.752880,1.982073,0.006569,0.011614
0.020000,0.268842,0.294362,0.163063,0.792524,1.982212,0.006935,0.011603
0.020000,0.285484,0.294555,0.179707,0.832171,1.982358,0.007301,0.011593
0.020000,0.302919,0.294757,0.197143,0.871821,1.982511,0.007663,0.011583
0.020000,0.321147,0.294968,0.215373,0.911475,1.982672,0.008032,0.011574
0.020000,0.340169,0.295188,0.234395,0.951132,1.982840,0.008394,0.011566
0.020000,0.359983,0.295417,0.254211,0.990792,1.983015,0.008760,0.011559
0.020000,0.380591,0.295655,0.274820,1.030456,1.983197,0.009125,0.011553
0.020000,0.401992,0.295902,0.296223,1.070124,1.983387,0.009491,0.011549
0.020000,0.424187,0.296159,0.318419,1.109795,1.983584,0.009855,0.011547
0.020000,0.447174,0.296424,0.341408,1.149471,1.983789,0.010220,0.011547
0.020000,0.470956,0.296699,0.365191,1.189151,1.984000,0.010585,0.011549
0.020000,0.495531,0.296983,0.389768,1.228836,1.984219,0.010950,0.011553
0.020000,0.520900,0.297276,0.415138,1.268524,1.984446,0.011316,0.011560
0.020000,0.547062,0.297579,0.441303,1.308218,1.984679,0.011680,0.011570
0.020000,0.574019,0.297891,0.468261,1.347916,1.984920,0.012045,0.011583
0.020000,0.601769,0.298212,0.496013,1.387620,1.985168,0.012412,0.011599
0.020000,0.630314,0.298544,0.524560,1.427328,1.985424,0.012773,0.011619
0.020000,0.659653,0.298885,0.553901,1.467042,1.985687,0.013144,0.011643
0.020000,0.689786,0.299236,0.584036,1.506761,1.985957,0.013503,0.011671
0.020000,0.720714,0.299598,0.614966,1.546486,1.986234,0.013871,0.011704
0.020000,0.752436,0.299970,0.646690,1.586216,1.986519,0.014237,0.011741
0.020000,0.784953,0.300352,0.679209,1.625952,1.986811,0.014598,0.011783
0.020000,0.818264,0.300745,0.712523,1.665695,1.987110,0.014967,0.011831
0.020000,0.852371,0.301150,0.746632,1.705443,1.987417,0.015332,0.011884
0.020000,0.887272,0.301566,0.781536,1.745198,1.987731,0.015695,0.011943
0.020000,0.922969,0.301993,0.817235,1.784959,1.988052,0.016059,0.012009
0.020000,0.959461,0.302433,0.853730,1.824726,1.988381,0.016432,0.012081
0.020000,0.996748,0.302885,0.891020,1.864501,1.988716,0.016789,0.012160
0.020000,1.034831,0.303349,0.929105,1.904282,1.989059,0.017156,0.012246
0.020000,1.073709,0.303827,0.967987,1.944070,1.989410,0.017527,0.012340
0.020000,1.113383,0.304319,1.007664,1.983865,1.989768,0.017882,0.012443
0.020000,1.153854,0.304825,1.048137,2.023668,1.990133,0.018259,0.012553
0.020000,1.195120,0.305345,1.089407,2.063478,1.990505,0.018614,0.012672
0.020000,1.237182,0.305881,1.131473,2.103296,1.990885,0.018983,0.012801
0.020000,1.280041,0.306432,1.174335,2.143121,1.991272,0.019354,0.012939
