dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.111993,0.926241,0.000199,0.019872,0.993590,49.679487,0.012737
0.020000,0.112002,0.926241,0.000208,0.000447,-0.971234,-98.241193,0.012702
0.020000,0.112613,0.926249,0.000819,0.030553,1.505278,123.825616,0.012631
0.020000,0.115024,0.926279,0.003230,0.120558,4.500284,149.750308,0.012527
0.020000,0.118239,0.926319,0.006444,0.160729,2.008507,-124.588863,0.012389
0.020000,0.122256,0.926368,0.010462,0.200885,2.007816,-0.034542,0.012218
0.020000,0.127076,0.926427,0.015283,0.241024,2.006958,-0.042921,0.012016
0.020000,0.132699,0.926494,0.020905,0.281143,2.005932,-0.051290,0.011785
0.020000,0.139123,0.926569,0.027330,0.321237,2.004727,-0.060234,0.011526
0.020000,0.146349,0.926651,0.034556,0.361304,2.003358,-0.068471,0.011242
0.020000,0.154375,0.926740,0.042583,0.401341,2.001810,-0.077409,0.010934
0.020000,0.163201,0.926835,0.051410,0.441342,2.000095,-0.085760,0.010606
0.020000,0.172827,0.926935,0.061036,0.481307,1.998213,-0.094098,0.010261
0.020000,0.183251,0.927040,0.071461,0.521230,1.996152,-0.103033,0.009902
0.020000,0.194473,0.927149,0.082683,0.561108,1.993927,-0.111224,0.009532
0.020000,0.206491,0.927262,0.094702,0.600939,1.991524,-0.120147,0.009155
0.020000,0.219305,0.927377,0.107516,0.640718,1.988955,-0.128462,0.008776
0.020000,0.232913,0.927493,0.121125,0.680442,1.986220,-0.136782,0.008398
0.020000,0.247315,0.927612,0.135527,0.720108,1.983306,-0.145691,0.008026
0.020000,0.262508,0.927731,0.150721,0.759713,1.980228,-0.153880,0.007665
0.020000,0.278493,0.927850,0.166706,0.799252,1.976974,-0.162726,0.007320
0.020000,0.295267,0.927971,0.183481,0.838723,1.973553,-0.171039,0.006996
0.020000,0.312829,0.928091,0.201043,0.878123,1.969963,-0.179470,0.006700
0.020000,0.331178,0.928211,0.219392,0.917447,1.966199,-0.188248,0.006437
0.020000,0.350311,0.928332,0.238526,0.956692,1.962267,-0.196570,0.006213
0.020000,0.370228,0.928454,0.258443,0.995855,1.958162,-0.205270,0.006034
0.020000,0.390926,0.928577,0.279142,1.034933,1.953887,-0.213746,0.005908
0.020000,0.412404,0.928704,0.300620,1.073922,1.949440,-0.222332,0.005842
0.020000,0.434660,0.928833,0.322877,1.112818,1.944821,-0.230972,0.005842
0.020000,0.457692,0.928969,0.345909,1.151619,1.940029,-0.239576,0.005916
0.020000,0.481498,0.929111,0.369715,1.190320,1.935064,-0.248248,0.006073
0.020000,0.506076,0.929263,0.394294,1.228919,1.929925,-0.256959,0.006320
0.020000,0.531424,0.929428,0.419642,1.267411,1.924611,-0.265696,0.006665
0.020000,0.557539,0.929607,0.445758,1.305793,1.919122,-0.274448,0.007117
0.020000,0.584420,0.929806,0.472639,1.344062,1.913456,-0.283310,0.007686
0.020000,0.612063,0.930028,0.500283,1.382215,1.907611,-0.292263,0.008379
0.020000,0.640467,0.930277,0.528688,1.420246,1.901587,-0.301201,0.009208
0.020000,0.669628,0.930560,0.557851,1.458154,1.895388,-0.309951,0.010181
0.020000,0.699545,0.930881,0.587770,1.495934,1.888999,-0.319435,0.011309
0.020000,0.730215,0.931247,0.618442,1.533583,1.882439,-0.327990,0.012601
0.020000,0.761634,0.931666,0.649864,1.571097,1.875684,-0.337753,0.014070
0.020000,0.793800,0.932145,0.682033,1.608472,1.868752,-0.346610,0.015724
0.020000,0.826709,0.932692,0.714947,1.645704,1.861642,-0.355508,0.017577
0.020000,0.860359,0.933318,0.748603,1.682791,1.854335,-0.365341,0.019639
0.020000,0.894747,0.934032,0.782998,1.719728,1.846858,-0.373836,0.021921
0.020000,0.929867,0.934846,0.818128,1.756512,1.839188,-0.383509,0.024437
0.020000,0.965718,0.935771,0.853991,1.793139,1.831344,-0.392209,0.027198
0.020000,1.002295,0.936821,0.890583,1.829605,1.823327,-0.400860,0.030217
0.020000,1.039595,0.938009,0.927901,1.865908,1.815128,-0.409914,0.033507
0.020000,1.077612,0.939351,0.965942,1.902043,1.806773,-0.417761,0.037081
0.020000,1.116342,0.940862,1.004702,1.938009,1.798253,-0.426025,0.040953
0.020000,1.155782,0.942560,1.044178,1.973800,1.789588,-0.433257,0.045136
0.020000,1.195925,0.944463,1.084366,2.009416,1.780788,-0.439973,0.049643
0.020000,1.236767,0.946590,1.125263,2.044853,1.771865,-0.446143,0.054490
