dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.115228,0.672261,0.000198,0.019840,0.991993,49.599669,0.011752
0.020000,0.115228,0.672261,0.000992,0.059520,1.983987,49.599669,0.012163
0.020000,0.115861,0.672269,0.002579,0.099199,1.983987,0.000000,0.012985
0.020000,0.118242,0.672302,0.004960,0.138879,1.983987,-0.000000,0.014217
0.020000,0.121416,0.672350,0.008134,0.178559,1.983987,0.000000,0.015858
0.020000,0.125383,0.672417,0.012102,0.218239,1.983987,0.000000,0.017905
0.020000,0.130144,0.672508,0.016864,0.257918,1.983987,0.000000,0.020357
0.020000,0.135698,0.672629,0.022419,0.297598,1.983987,0.000000,0.023210
0.020000,0.142045,0.672786,0.028768,0.337278,1.983987,-0.000000,0.026460
0.020000,0.149184,0.672988,0.035910,0.376957,1.983987,0.000000,0.030105
0.020000,0.157116,0.673243,0.043846,0.416637,1.983987,0.000000,0.034139
0.020000,0.165840,0.673560,0.052576,0.456317,1.983987,0.000000,0.038557
0.020000,0.175355,0.673950,0.062099,0.495997,1.983987,-0.000000,0.043352
0.020000,0.185661,0.674424,0.072416,0.535676,1.983987,0.000000,0.048517
0.020000,0.196756,0.674994,0.083526,0.575356,1.983987,0.000000,0.054045
0.020000,0.208641,0.675672,0.095430,0.615036,1.983987,-0.000000,0.059926
0.020000,0.221313,0.676472,0.108127,0.654716,1.983987,0.000000,0.066151
0.020000,0.234772,0.677408,0.121618,0.694395,1.983987,-0.000000,0.072709
0.020000,0.249015,0.678494,0.135903,0.734075,1.983987,0.000000,0.079587
0.020000,0.264041,0.679747,0.150981,0.773755,1.983987,-0.000000,0.086772
0.020000,0.279848,0.681182,0.166853,0.813435,1.983987,0.000000,0.094250
0.020000,0.296433,0.682815,0.183519,0.853114,1.983987,0.000000,0.102005
0.020000,0.313794,0.684662,0.200978,0.892794,1.983987,-0.000000,0.110019
0.020000,0.331928,0.686742,0.219231,0.932474,1.983987,0.000000,0.118274
0.020000,0.350832,0.689069,0.238277,0.972154,1.983987,0.000000,0.126750
0.020000,0.370501,0.691663,0.258117,1.011833,1.983987,0.000000,0.135426
0.020000,0.390933,0.694539,0.278750,1.051513,1.983987,0.000000,0.144279
0.020000,0.412123,0.697716,0.300177,1.091193,1.983987,0.000000,0.153285
0.020000,0.434067,0.701209,0.322398,1.130872,1.983987,-0.000000,0.162417
