dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.119855,0.278589,0.000198,0.019840,0.991993,49.599669,0.011752
0.020000,0.120017,0.278590,0.000360,0.008097,-0.587146,-78.956979,0.012163
0.020000,0.120973,0.278603,0.001317,0.047827,1.986495,128.682055,0.012985
0.020000,0.123839,0.278642,0.004183,0.143291,4.773205,139.335524,0.014217
0.020000,0.127659,0.278699,0.008003,0.191011,2.386004,-119.360061,0.015858
0.020000,0.132432,0.278780,0.012777,0.238698,2.384364,-0.082024,0.017905
0.020000,0.138158,0.278889,0.018504,0.286338,2.381970,-0.119665,0.020357
0.020000,0.144835,0.279035,0.025182,0.333919,2.379087,-0.144167,0.023210
0.020000,0.152461,0.279224,0.032811,0.381432,2.375603,-0.174179,0.026460
0.020000,0.161035,0.279467,0.041388,0.428867,2.371778,-0.191289,0.030105
0.020000,0.170554,0.279773,0.050912,0.476205,2.366913,-0.243239,0.034139
0.020000,0.181016,0.280153,0.061381,0.523435,2.361501,-0.270575,0.038557
0.020000,0.192417,0.280620,0.072792,0.570546,2.355518,-0.299167,0.043352
0.020000,0.204754,0.281187,0.085142,0.617519,2.348668,-0.342492,0.048517
0.020000,0.218024,0.281868,0.098429,0.664329,2.340481,-0.409355,0.054045
0.020000,0.232220,0.282678,0.112648,0.710970,2.332049,-0.421629,0.059926
0.020000,0.247338,0.283633,0.127796,0.757411,2.322053,-0.499763,0.066151
0.020000,0.263372,0.284748,0.143869,0.803639,2.311403,-0.532534,0.072709
0.020000,0.280315,0.286041,0.160862,0.849629,2.299493,-0.595457,0.079587
0.020000,0.298161,0.287528,0.178769,0.895353,2.286229,-0.663231,0.086772
0.020000,0.316899,0.289229,0.197585,0.940794,2.272058,-0.708545,0.094250
0.020000,0.336523,0.291161,0.217303,0.985921,2.256315,-0.787151,0.102005
0.020000,0.357021,0.293343,0.237917,1.030711,2.239526,-0.839429,0.110019
0.020000,0.378384,0.295792,0.259420,1.075134,2.221129,-0.919864,0.118274
0.020000,0.400600,0.298528,0.281803,1.119166,2.201591,-0.976894,0.126750
0.020000,0.423656,0.301568,0.305059,1.162776,2.180529,-1.053130,0.135426
0.020000,0.447539,0.304930,0.329177,1.205936,2.158014,-1.125731,0.144279
0.020000,0.472235,0.308632,0.354150,1.248622,2.134288,-1.186283,0.153285
0.020000,0.497730,0.312691,0.379966,1.290802,2.108982,-1.265311,0.162417
0.020000,0.524008,0.317122,0.406615,1.332453,2.082542,-1.321994,0.171650
0.020000,0.551053,0.321940,0.434086,1.373545,2.054638,-1.395226,0.180954
0.020000,0.578849,0.327161,0.462367,1.414057,2.025571,-1.453355,0.190301
