dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.142901,7.848275,0.000199,0.019872,0.993590,49.679487,0.000278
0.020000,0.142915,7.848275,0.000213,0.000696,-0.958794,-97.619163,0.000223
0.020000,0.142943,7.848275,0.000241,0.001394,0.034912,49.685285,0.000113
0.020000,0.143731,7.848275,0.001029,0.039408,1.900692,93.288966,6.283134
0.020000,0.146967,7.848274,0.004264,0.161780,6.118608,210.895823,6.282913
0.020000,0.151012,7.848273,0.008309,0.202246,2.023272,-204.766797,6.282635
0.020000,0.155866,7.848269,0.013164,0.242718,2.023628,0.017804,6.282300
0.020000,0.161531,7.848263,0.018828,0.283213,2.024763,0.056750,6.281905
0.020000,0.168005,7.848253,0.025302,0.323715,2.025074,0.015529,6.281451
0.020000,0.175290,7.848239,0.032587,0.364244,2.026450,0.068833,6.280936
0.020000,0.183385,7.848218,0.040683,0.404790,2.027283,0.041633,6.280357
0.020000,0.192293,7.848190,0.049590,0.445362,2.028615,0.066592,6.279712
0.020000,0.202012,7.848153,0.059309,0.485960,2.029886,0.063547,6.279001
0.020000,0.212543,7.848105,0.069841,0.526589,2.031456,0.078525,6.278219
0.020000,0.223888,7.848044,0.081186,0.567249,2.033034,0.078869,6.277366
0.020000,0.236047,7.847967,0.093345,0.607947,2.034894,0.093001,6.276437
0.020000,0.249020,7.847873,0.106319,0.648679,2.036580,0.084332,6.275431
0.020000,0.262809,7.847759,0.120108,0.689450,2.038577,0.099855,6.274343
0.020000,0.277414,7.847621,0.134713,0.730273,2.041137,0.128005,6.273171
0.020000,0.292835,7.847457,0.150136,0.771131,2.042908,0.088541,6.271911
0.020000,0.309075,7.847263,0.166377,0.812050,2.045946,0.151894,6.270559
0.020000,0.326134,7.847035,0.183437,0.853014,2.048178,0.111611,6.269110
0.020000,0.344013,7.846770,0.201318,0.894034,2.050991,0.140653,6.267561
0.020000,0.362712,7.846462,0.220020,0.935118,2.054237,0.162285,6.265906
0.020000,0.382234,7.846108,0.239545,0.976261,2.057120,0.144151,6.264141
0.020000,0.402580,7.845701,0.259895,1.017474,2.060647,0.176338,6.262260
0.020000,0.423750,7.845237,0.281070,1.058753,2.063956,0.165444,6.260259
0.020000,0.445746,7.844709,0.303072,1.100107,2.067723,0.188373,6.258130
0.020000,0.468569,7.844111,0.325903,1.141536,2.071435,0.185581,6.255869
0.020000,0.492220,7.843437,0.349564,1.183063,2.076337,0.245096,6.253468
0.020000,0.516702,7.842678,0.374057,1.224659,2.079805,0.173418,6.250921
0.020000,0.542014,7.841827,0.399384,1.266354,2.084747,0.247094,6.248219
