dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.143081,7.200575,0.000199,0.019872,0.993590,49.679487,0.000278
0.020000,0.143060,7.200575,0.000220,0.001079,-0.939656,-96.662267,0.000223
0.020000,0.143017,7.200575,0.000264,0.002161,0.054114,49.688474,0.000113
0.020000,0.143698,7.200575,0.000945,0.034060,1.594971,77.042858,6.283134
0.020000,0.146790,7.200574,0.004037,0.154622,6.028080,221.655466,6.282913
0.020000,0.150655,7.200573,0.007902,0.193252,1.931507,-204.828651,6.282635
0.020000,0.155293,7.200569,0.012539,0.231859,1.930348,-0.057957,6.282300
0.020000,0.160702,7.200564,0.017948,0.270452,1.929629,-0.035978,6.281905
0.020000,0.166882,7.200554,0.024129,0.309008,1.927815,-0.090697,6.281451
0.020000,0.173833,7.200540,0.031079,0.347542,1.926709,-0.055304,6.280936
0.020000,0.181553,7.200521,0.038800,0.386038,1.924770,-0.096948,6.280357
0.020000,0.190043,7.200494,0.047290,0.424497,1.922989,-0.089015,6.279712
0.020000,0.199301,7.200459,0.056548,0.462914,1.920829,-0.108032,6.279001
0.020000,0.209327,7.200413,0.066574,0.501286,1.918626,-0.110132,6.278219
0.020000,0.220119,7.200355,0.077366,0.539608,1.916097,-0.126470,6.277366
0.020000,0.231676,7.200282,0.088924,0.577878,1.913496,-0.130014,6.276437
0.020000,0.243998,7.200193,0.101246,0.616086,1.910385,-0.155597,6.275431
0.020000,0.257082,7.200084,0.114330,0.654230,1.907213,-0.158572,6.274343
0.020000,0.270928,7.199954,0.128176,0.692314,1.904212,-0.150059,6.273171
0.020000,0.285533,7.199798,0.142783,0.730316,1.900089,-0.206135,6.271911
0.020000,0.300897,7.199615,0.158148,0.768252,1.896783,-0.165295,6.270559
0.020000,0.317018,7.199399,0.174270,0.806098,1.892319,-0.223207,6.269110
0.020000,0.333893,7.199149,0.191147,0.843858,1.887997,-0.216099,6.267561
0.020000,0.351521,7.198859,0.208778,0.881531,1.883662,-0.216780,6.265906
0.020000,0.369900,7.198525,0.227160,0.919102,1.878547,-0.255712,6.264141
0.020000,0.389028,7.198143,0.246291,0.956574,1.873587,-0.248015,6.262260
0.020000,0.408902,7.197707,0.266170,0.993933,1.867952,-0.281773,6.260259
0.020000,0.429519,7.197212,0.286793,1.031178,1.862258,-0.284669,6.258130
