dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.126170,7.834386,0.000199,0.019851,0.992540,49.626990,0.011537
0.020000,0.126156,7.834386,0.000212,0.000685,-0.958267,-97.540339,0.011591
0.020000,0.126129,7.834386,0.000240,0.001369,0.034179,49.622283,0.011699
0.020000,0.127508,7.834402,0.001619,0.068969,3.380004,167.291291,0.011860
0.020000,0.130630,7.834439,0.004741,0.156083,4.355715,48.785520,0.012075
0.020000,0.134532,7.834487,0.008643,0.195118,1.951747,-120.198394,0.012342
0.020000,0.139214,7.834546,0.013326,0.234163,1.952226,0.023951,0.012660
0.020000,0.144678,7.834616,0.018791,0.273219,1.952783,0.027842,0.013030
0.020000,0.150924,7.834698,0.025036,0.312288,1.953455,0.033591,0.013449
0.020000,0.157950,7.834795,0.032064,0.351372,1.954196,0.037084,0.013917
0.020000,0.165759,7.834905,0.039873,0.390472,1.955046,0.042472,0.014432
0.020000,0.174350,7.835032,0.048465,0.429593,1.956003,0.047864,0.014993
0.020000,0.183724,7.835175,0.057840,0.468733,1.957019,0.050788,0.015598
0.020000,0.193880,7.835337,0.067998,0.507896,1.958165,0.057316,0.016246
0.020000,0.204820,7.835518,0.078939,0.547084,1.959384,0.060937,0.016934
0.020000,0.216545,7.835721,0.090665,0.586298,1.960710,0.066309,0.017661
0.020000,0.229053,7.835947,0.103176,0.625540,1.962094,0.069215,0.018423
0.020000,0.242347,7.836197,0.116472,0.664813,1.963628,0.076659,0.019220
0.020000,0.256427,7.836474,0.130555,0.704117,1.965214,0.079307,0.020047
0.020000,0.271293,7.836778,0.145424,0.743455,1.966907,0.084651,0.020904
0.020000,0.286946,7.837112,0.161080,0.782829,1.968696,0.089445,0.021786
0.020000,0.303387,7.837478,0.177525,0.822240,1.970559,0.093165,0.022691
0.020000,0.320616,7.837877,0.194759,0.861691,1.972536,0.098852,0.023615
0.020000,0.338634,7.838311,0.212783,0.901183,1.974604,0.103385,0.024557
0.020000,0.357443,7.838782,0.231597,0.940718,1.976742,0.106904,0.025511
0.020000,0.377042,7.839292,0.251203,0.980298,1.979006,0.113213,0.026475
0.020000,0.397433,7.839842,0.271601,1.019924,1.981326,0.115995,0.027445
0.020000,0.418617,7.840434,0.292793,1.059600,1.983769,0.122145,0.028417
0.020000,0.440594,7.841069,0.314780,1.099325,1.986290,0.126054,0.029387
0.020000,0.463366,7.841749,0.337562,1.139103,1.988880,0.129498,0.030351
0.020000,0.486933,7.842476,0.361141,1.178935,1.991611,0.136542,0.031305
0.020000,0.511298,7.843251,0.385517,1.218823,1.994391,0.139017,0.032244
0.020000,0.536460,7.844074,0.410693,1.258769,1.997273,0.144104,0.033163
0.020000,0.562420,7.844947,0.436668,1.298774,2.000257,0.149179,0.034059
0.020000,0.589181,7.845871,0.463445,1.338840,2.003317,0.153039,0.034927
0.020000,0.616743,7.846845,0.491024,1.378970,2.006480,0.158112,0.035760
0.020000,0.645108,7.847872,0.519408,1.419164,2.009721,0.162061,0.036555
0.020000,0.674277,7.848949,0.548596,1.459425,2.013063,0.167095,0.037306
0.020000,0.704251,7.850079,0.578591,1.499755,2.016502,0.171937,0.038007
0.020000,0.735031,7.851259,0.609394,1.540155,2.020006,0.175238,0.038653
0.020000,0.766620,7.852490,0.641007,1.580628,2.023633,0.181352,0.039238
0.020000,0.799018,7.853771,0.673430,1.621175,2.027338,0.185233,0.039757
0.020000,0.832227,7.855100,0.706666,1.661798,2.031132,0.189680,0.040204
0.020000,0.866249,7.856475,0.740716,1.702498,2.035030,0.194915,0.040572
0.020000,0.901086,7.857894,0.775582,1.743278,2.039012,0.199080,0.040854
0.020000,0.936739,7.859355,0.811265,1.784140,2.043097,0.204250,0.041046
0.020000,0.973210,7.860855,0.847766,1.825086,2.047272,0.208793,0.041139
0.020000,1.010501,7.862390,0.885089,1.866117,2.051547,0.213718,0.041128
0.020000,1.048613,7.863957,0.923233,1.907235,2.055919,0.218611,0.041005
0.020000,1.087549,7.865550,0.962202,1.948443,2.060390,0.223536,0.040764
0.020000,1.127311,7.867165,1.001997,1.989742,2.064961,0.228585,0.040397
0.020000,1.167901,7.868795,1.042620,2.031135,2.069630,0.233454,0.039897
0.020000,1.209321,7.870436,1.084072,2.072623,2.074415,0.239225,0.039256
0.020000,1.251574,7.872079,1.126356,2.114209,2.079286,0.243534,0.038466
0.020000,1.294660,7.873718,1.169474,2.155894,2.084273,0.249381,0.037521
0.020000,1.338584,7.875343,1.213428,2.197681,2.089361,0.254390,0.036411
0.020000,1.383347,7.876945,1.258219,2.239573,2.094569,0.260399,0.035129
0.020000,1.428951,7.878515,1.303851,2.281570,2.099863,0.264716,0.033666
0.020000,1.475400,7.880041,1.350324,2.323676,2.105290,0.271344,0.032014
0.020000,1.522694,7.881513,1.397642,2.365892,2.110818,0.276387,0.030163
0.020000,1.570838,7.882917,1.445807,2.408221,2.116442,0.281223,0.028106
0.020000,1.619834,7.884239,1.494820,2.450665,2.122198,0.287800,0.025833
0.020000,1.669683,7.885466,1.544684,2.493226,2.128043,0.292242,0.023335
0.020000,1.720389,7.886581,1.595402,2.535906,2.134010,0.298352,0.020602
0.020000,1.771954,7.887567,1.646977,2.578707,2.140068,0.302871,0.017625
0.020000,1.824380,7.888407,1.699409,2.621632,2.146244,0.308794,0.014394
0.020000,1.877669,7.889082,1.752703,2.664682,2.152493,0.312449,0.010900
0.020000,1.931824,7.889572,1.806860,2.707859,2.158858,0.318284,0.007132
0.020000,1.986847,7.889854,1.861883,2.751165,2.165292,0.321692,0.003080
0.020000,2.042739,7.889905,1.917775,2.794601,2.171788,0.324773,6.281920
0.020000,2.099502,7.889703,1.974539,2.838169,2.178380,0.329633,6.277269
0.020000,2.157137,7.889220,2.032176,2.881868,2.184986,0.330310,6.272304
0.020000,2.215646,7.888430,2.090690,2.925701,2.191646,0.332969,6.267013
0.020000,2.275028,7.887303,2.150084,2.969667,2.198313,0.333384,6.261387
0.020000,2.335285,7.885811,2.210359,3.013767,2.204984,0.333515,6.255414
0.020000,2.396416,7.883921,2.271519,3.057999,2.211603,0.330947,6.249085
0.020000,2.458420,7.881599,2.333566,3.102363,2.218171,0.328436,6.242388
0.020000,2.521295,7.878811,2.396503,3.146855,2.224643,0.323585,6.235314
0.020000,2.585040,7.875520,2.460333,3.191475,2.230972,0.316447,6.227853
0.020000,2.649651,7.871688,2.525057,3.236218,2.237146,0.308676,6.219995
0.020000,2.715124,7.867276,2.590679,3.281079,2.243048,0.295104,6.211730
0.020000,2.781454,7.862240,2.657200,3.326053,2.248714,0.283324,6.203050
0.020000,2.848635,7.856539,2.724622,3.371133,2.254004,0.264503,6.193946
0.020000,2.916660,7.850127,2.792949,3.416313,2.258984,0.248973,6.184412
0.020000,2.985519,7.842958,2.862180,3.461579,2.263325,0.217046,6.174438
0.020000,3.055203,7.834985,2.932319,3.506925,2.267269,0.197217,6.164021
0.020000,3.125699,7.826157,3.003365,3.552335,2.270528,0.162976,6.153153
0.020000,3.196994,7.816425,3.075321,3.597795,2.272981,0.122641,6.141832
0.020000,3.269072,7.805737,3.148187,3.643293,2.274905,0.096171,6.130055
0.020000,3.341914,7.794039,3.221963,3.688805,2.275587,0.034137,6.117820
0.020000,3.415503,7.781280,3.296650,3.734315,2.275514,-0.003646,6.105127
0.020000,3.489814,7.767403,3.372246,3.779801,2.274324,-0.059530,6.091979
0.020000,3.564825,7.752355,3.448750,3.825238,2.271810,-0.125704,6.078378
0.020000,3.640507,7.736081,3.526162,3.870608,2.268523,-0.164364,6.064332
0.020000,3.716831,7.718526,3.604480,3.915871,2.263140,-0.269118,6.049847
0.020000,3.793426,7.699584,3.683382,3.945123,1.462592,-40.027416,6.031282
0.020000,3.871744,7.678625,3.764456,4.053675,5.427593,198.250063,6.012197
0.020000,3.950315,7.656000,3.846220,4.088194,1.725964,-185.081444,5.993520
0.020000,4.028890,7.631797,3.928438,4.110898,1.135221,-29.537181,5.975349
0.020000,4.106832,7.606258,4.010457,4.100952,-0.497336,-81.627831,5.957862
0.020000,4.183553,7.579661,4.091657,4.060025,-2.046353,-77.450859,5.941202
0.020000,4.258879,7.552170,4.171844,4.009315,-2.535482,-24.456421,5.925410
0.020000,4.332829,7.523887,4.251018,3.958706,-2.530439,0.252133,5.910477
0.020000,4.405424,7.494908,4.329183,3.908245,-2.523048,0.369556,5.896391
0.020000,4.476687,7.465326,4.406342,3.857971,-2.513695,0.467636,5.883139
0.020000,4.546645,7.435225,4.482500,3.807916,-2.502759,0.546804,5.870702
0.020000,4.615324,7.404690,4.557662,3.758105,-2.490564,0.609778,5.859061
0.020000,4.682756,7.373797,4.631834,3.708556,-2.477418,0.657263,5.848195
0.020000,4.748967,7.342618,4.705019,3.659285,-2.463560,0.692906,5.838084
0.020000,4.813990,7.311221,4.777225,3.610301,-2.449230,0.716504,5.828703
0.020000,4.877854,7.279670,4.848457,3.561608,-2.434619,0.730546,5.820031
