dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.129100,7.580403,0.000200,0.019984,0.999213,49.960638,0.011825
0.020000,0.129100,7.580403,0.000999,0.059953,1.998426,49.960638,0.011809
0.020000,0.129100,7.580403,0.002598,0.099921,1.998426,0.000000,0.011777
0.020000,0.130864,7.580424,0.004996,0.139890,1.998426,0.000000,0.011729
0.020000,0.134061,7.580461,0.008194,0.179858,1.998426,-0.000000,0.011665
0.020000,0.138058,7.580508,0.012190,0.219827,1.998426,0.000000,0.011586
0.020000,0.142854,7.580563,0.016987,0.259795,1.998426,0.000000,0.011491
0.020000,0.148449,7.580627,0.022582,0.299764,1.998426,-0.000000,0.011381
0.020000,0.154843,7.580699,0.028977,0.339732,1.998426,0.000000,0.011256
0.020000,0.162037,7.580780,0.036172,0.379701,1.998426,-0.000000,0.011116
0.020000,0.170031,7.580868,0.044165,0.419669,1.998426,0.000000,0.010961
0.020000,0.178823,7.580964,0.052958,0.459638,1.998426,0.000000,0.010792
0.020000,0.188415,7.581066,0.062551,0.499606,1.998426,0.000000,0.010610
0.020000,0.198806,7.581176,0.072943,0.539575,1.998426,0.000000,0.010414
0.020000,0.209997,7.581291,0.084134,0.579543,1.998426,-0.000000,0.010204
0.020000,0.221987,7.581412,0.096124,0.619512,1.998426,0.000000,0.009982
0.020000,0.234776,7.581538,0.108914,0.659480,1.998426,0.000000,0.009748
0.020000,0.248365,7.581669,0.122503,0.699449,1.998426,-0.000000,0.009503
0.020000,0.262753,7.581804,0.136892,0.739417,1.998426,0.000000,0.009246
0.020000,0.277940,7.581942,0.152080,0.779386,1.998426,-0.000000,0.008979
0.020000,0.293927,7.582084,0.168068,0.819354,1.998426,0.000000,0.008701
0.020000,0.310713,7.582227,0.184854,0.859323,1.998426,0.000000,0.008415
0.020000,0.328299,7.582373,0.202441,0.899291,1.998426,0.000000,0.008120
0.020000,0.346684,7.582519,0.220826,0.939260,1.998426,-0.000000,0.007817
0.020000,0.365868,7.582666,0.240011,0.979228,1.998426,0.000000,0.007507
0.020000,0.385852,7.582813,0.259995,1.019197,1.998426,-0.000000,0.007190
0.020000,0.406635,7.582959,0.280779,1.059166,1.998426,0.000000,0.006868
0.020000,0.428217,7.583104,0.302362,1.099134,1.998426,0.000000,0.006541
0.020000,0.450599,7.583246,0.324744,1.139103,1.998426,-0.000000,0.006211
0.020000,0.473780,7.583386,0.347926,1.179071,1.998426,0.000000,0.005877
