dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.132031,7.326420,0.000199,0.019851,0.992540,49.626990,0.011537
0.020000,0.132044,7.326420,0.000212,0.000685,-0.958267,-97.540339,0.011591
0.020000,0.132072,7.326420,0.000240,0.001369,0.034179,49.622283,0.011699
0.020000,0.133533,7.326438,0.001701,0.073067,3.584888,177.535451,0.011860
0.020000,0.136763,7.326476,0.004932,0.161529,4.423129,41.912083,0.012075
0.020000,0.140801,7.326526,0.008969,0.201897,2.018406,-120.236164,0.012342
0.020000,0.145646,7.326586,0.013815,0.242256,2.017942,-0.023204,0.012660
0.020000,0.151297,7.326659,0.019467,0.282604,2.017367,-0.028767,0.013030
0.020000,0.157756,7.326744,0.025925,0.322938,2.016719,-0.032404,0.013449
0.020000,0.165020,7.326844,0.033191,0.363257,2.015951,-0.038370,0.013917
0.020000,0.173090,7.326958,0.041262,0.403559,2.015104,-0.042369,0.014432
0.020000,0.181966,7.327089,0.050139,0.443843,2.014177,-0.046358,0.014993
0.020000,0.191647,7.327237,0.059821,0.484105,2.013119,-0.052889,0.015598
0.020000,0.202133,7.327404,0.070308,0.524345,2.012005,-0.055687,0.016246
0.020000,0.213422,7.327591,0.081599,0.564561,2.010776,-0.061478,0.016934
0.020000,0.225516,7.327800,0.093694,0.604750,2.009467,-0.065449,0.017661
0.020000,0.238412,7.328033,0.106592,0.644911,2.008028,-0.071952,0.018423
0.020000,0.252110,7.328291,0.120293,0.685042,2.006552,-0.073760,0.019220
0.020000,0.266610,7.328576,0.134796,0.725140,2.004942,-0.080500,0.020047
0.020000,0.281911,7.328889,0.150100,0.765206,2.003253,-0.084444,0.020904
0.020000,0.298012,7.329233,0.166204,0.805235,2.001475,-0.088938,0.021786
0.020000,0.314912,7.329609,0.183109,0.845227,1.999584,-0.094518,0.022691
0.020000,0.332611,7.330019,0.200813,0.885179,1.997623,-0.098057,0.023615
0.020000,0.351108,7.330464,0.219314,0.925091,1.995568,-0.102763,0.024557
0.020000,0.370401,7.330947,0.238614,0.964958,1.993398,-0.108490,0.025511
0.020000,0.390490,7.331470,0.258709,1.004782,1.991171,-0.111334,0.026475
0.020000,0.411373,7.332033,0.279600,1.044558,1.988816,-0.117777,0.027445
0.020000,0.433051,7.332639,0.301286,1.084286,1.986401,-0.120747,0.028417
0.020000,0.455520,7.333288,0.323765,1.123964,1.983881,-0.125996,0.029387
0.020000,0.478782,7.333983,0.347037,1.163589,1.981247,-0.131701,0.030351
