dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,535.239161,359.765027,0.000235,0.023475,1.173753,58.687663,3.264916
0.020000,535.239322,359.765047,0.000397,0.008133,-0.767094,-97.042345,3.264923
0.020000,535.239685,359.765092,0.000763,0.018300,0.508341,63.771735,3.264937
0.020000,535.240331,359.765172,0.001414,0.032534,0.711724,10.169132,3.264963
0.020000,535.241340,359.765297,0.002431,0.050838,0.915177,10.172676,3.265003
0.020000,535.242793,359.765478,0.003895,0.073213,1.118747,10.178481,3.265061
0.020000,535.244771,359.765723,0.005888,0.099663,1.322489,10.187111,3.265139
0.020000,535.247355,359.766044,0.008492,0.130192,1.526472,10.199135,3.265242
0.020000,535.250626,359.766451,0.011788,0.164808,1.730774,10.215120,3.265371
0.020000,535.254666,359.766954,0.015859,0.203517,1.935487,10.235635,3.265532
0.020000,535.259554,359.767563,0.020785,0.246332,2.140712,10.261255,3.265726
0.020000,535.264089,359.768129,0.025356,0.228517,-0.890720,-151.571621,3.265956
0.020000,535.231547,359.764057,0.058152,1.639831,70.565706,3572.821333,3.266228
0.020000,535.193822,359.759325,0.096172,1.900995,13.058185,-2875.376071,3.266542
0.020000,535.150540,359.753880,0.139796,2.181178,14.009127,47.547089,3.266904
0.020000,535.101287,359.747665,0.189440,2.482189,15.050547,52.071042,3.267316
0.020000,535.045713,359.740628,0.245457,2.800853,15.933234,44.134318,3.267781
0.020000,534.983619,359.732734,0.308051,3.129708,16.442762,25.476435,3.268302
0.020000,534.915019,359.723975,0.377208,3.457853,16.407251,-1.775590,3.268879
0.020000,534.839907,359.714338,0.452936,3.786384,16.426545,0.964716,3.269511
0.020000,534.758316,359.703816,0.535202,4.113321,16.346828,-3.985863,3.270200
0.020000,534.670228,359.692391,0.624028,4.441289,16.398400,2.578598,3.270945
0.020000,534.575664,359.680051,0.719393,4.768281,16.349613,-2.439356,3.271747
0.020000,534.474643,359.666784,0.821283,5.094463,16.309074,-2.026911,3.272607
0.020000,534.367172,359.652572,0.929689,5.420331,16.293433,-0.782087,3.273523
0.020000,534.253261,359.637400,1.044605,5.745802,16.273557,-0.993781,3.274498
0.020000,534.132925,359.621248,1.166021,6.070791,16.249419,-1.206901,3.275531
0.020000,534.006175,359.604099,1.293925,6.395211,16.220991,-1.421408,3.276623
0.020000,533.873030,359.585932,1.428305,6.718976,16.188246,-1.637262,3.277775
0.020000,533.733505,359.566727,1.569145,7.041999,16.151157,-1.854421,3.278986
0.020000,533.587622,359.546462,1.716429,7.364193,16.109700,-2.072839,3.280257
0.020000,533.435402,359.525115,1.870138,7.685470,16.063851,-2.292471,3.281590
0.020000,533.276842,359.502658,2.030281,8.007143,16.083644,0.989671,3.282984
0.020000,533.111980,359.479069,2.196821,8.327022,15.993981,-4.483177,3.284441
0.020000,532.940850,359.454323,2.369732,8.645511,15.924417,-3.478193,3.285960
0.020000,532.763434,359.428388,2.549033,8.965077,15.978315,2.694877,3.287543
0.020000,532.579804,359.401241,2.734659,9.281295,15.810930,-8.369237,3.289190
0.020000,532.389938,359.372846,2.926637,9.598891,15.879769,3.441937,3.290902
0.020000,532.193895,359.343177,3.124912,9.913738,15.742342,-6.871338,3.292680
0.020000,531.991700,359.312203,3.329466,10.227710,15.698618,-2.186172,3.294524
0.020000,531.783350,359.279885,3.540307,10.542064,15.717679,0.953046,3.296436
0.020000,531.568902,359.246194,3.757385,10.853922,15.592912,-6.238376,3.298417
