dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,528.990178,410.179214,0.000235,0.023475,1.173753,58.687663,3.264916
0.020000,528.990016,410.179194,0.000397,0.008133,-0.767094,-97.042345,3.264923
0.020000,528.989653,410.179149,0.000763,0.018300,0.508341,63.771735,3.264937
0.020000,528.989007,410.179068,0.001414,0.032534,0.711724,10.169132,3.264963
0.020000,528.987998,410.178943,0.002431,0.050838,0.915177,10.172676,3.265003
0.020000,528.986545,410.178763,0.003895,0.073213,1.118747,10.178481,3.265061
0.020000,528.984567,410.178518,0.005888,0.099663,1.322489,10.187111,3.265139
0.020000,528.981983,410.178196,0.008492,0.130192,1.526472,10.199135,3.265242
0.020000,528.978712,410.177790,0.011788,0.164808,1.730774,10.215120,3.265371
0.020000,528.974673,410.177287,0.015859,0.203517,1.935487,10.235635,3.265532
0.020000,528.969784,410.176677,0.020785,0.246332,2.140712,10.261255,3.265726
0.020000,528.962679,410.175790,0.027946,0.358019,5.584379,172.183372,3.265956
0.020000,528.916463,410.170006,0.074522,2.328811,98.539567,4647.759396,3.266228
0.020000,528.862874,410.163284,0.128531,2.700453,18.582125,-3997.872100,3.266542
0.020000,528.801370,410.155547,0.190520,3.099460,19.950323,68.409884,3.266904
0.020000,528.731355,410.146713,0.261090,3.528491,21.451596,75.063627,3.267316
0.020000,528.652323,410.136705,0.340753,3.983139,22.732388,64.039618,3.267781
0.020000,528.563976,410.125474,0.429811,4.452894,23.487758,37.768521,3.268302
0.020000,528.466323,410.113005,0.528257,4.922338,23.472201,-0.777842,3.268879
0.020000,528.359337,410.099279,0.636120,5.393108,23.538462,3.313026,3.269511
0.020000,528.243051,410.084281,0.753369,5.862458,23.467523,-3.546953,3.270200
0.020000,528.117419,410.067987,0.880053,6.334209,23.587531,6.000399,3.270945
0.020000,527.982452,410.050375,1.016165,6.805578,23.568454,-0.953824,3.271747
0.020000,527.838154,410.031424,1.161702,7.276878,23.565015,-0.171959,3.272607
0.020000,527.684513,410.011108,1.316680,7.748900,23.601111,1.804810,3.273523
0.020000,527.521520,409.989397,1.481112,8.221605,23.635256,1.707212,3.274498
0.020000,527.349167,409.966264,1.655011,8.694955,23.667452,1.609808,3.275531
0.020000,527.167444,409.941677,1.838389,9.168909,23.697706,1.512685,3.276623
0.020000,526.976347,409.915603,2.031258,9.643429,23.726024,1.415929,3.277775
0.020000,526.775867,409.888008,2.233628,10.118477,23.752417,1.319628,3.278986
0.020000,526.566002,409.858855,2.445508,10.594015,23.776894,1.223875,3.280257
0.020000,526.346748,409.828107,2.666908,11.070005,23.799469,1.128761,3.281590
0.020000,526.118061,409.795718,2.897877,11.548430,23.921268,6.089932,3.282984
0.020000,525.879962,409.761650,3.138401,12.026230,23.889983,-1.564243,3.284441
0.020000,525.632454,409.725860,3.388483,12.504072,23.892135,0.107588,3.285960
0.020000,525.375473,409.688292,3.648195,12.985629,24.077843,9.285377,3.287543
0.020000,525.109077,409.648909,3.917487,13.464591,23.948094,-6.487411,3.289190
0.020000,524.833187,409.607649,4.196445,13.947907,24.165793,10.884953,3.290902
0.020000,524.547842,409.564466,4.485039,14.429693,24.089295,-3.824900,3.292680
0.020000,524.253026,409.519303,4.783294,14.912772,24.153939,3.232173,3.294524
0.020000,523.948684,409.472096,5.091276,15.399088,24.315838,8.094953,3.296436
0.020000,523.634842,409.422789,5.408967,15.884556,24.273366,-2.123594,3.298417
0.020000,523.311484,409.371319,5.736397,16.371463,24.345347,3.599039,3.300467
0.020000,522.978591,409.317620,6.073592,16.859775,24.415599,3.512623,3.302587
0.020000,522.636150,409.261622,6.420581,17.349458,24.484139,3.426981,3.304779
0.020000,522.284147,409.203256,6.777391,17.840477,24.550984,3.342260,3.307042
0.020000,521.922569,409.142447,7.144047,18.332800,24.616156,3.258606,3.309380
0.020000,521.551405,409.079119,7.520575,18.826394,24.679680,3.176174,3.311791
