dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,15.005722,95.399999,0.000235,0.023514,1.175678,58.783903,6.282960
0.020000,15.005696,95.399999,0.000261,0.001285,-1.111413,-114.354529,6.282961
0.020000,15.005639,95.399999,0.000319,0.002892,0.080330,59.587107,6.282963
0.020000,15.005536,95.399999,0.000421,0.005141,0.112455,1.606268,6.282967
0.020000,15.005375,95.399999,0.000582,0.008032,0.144570,1.605770,6.282974
0.020000,15.005144,95.399999,0.000813,0.011566,0.176669,1.604955,6.282983
0.020000,15.004829,95.400000,0.001128,0.015741,0.208744,1.603742,6.282995
0.020000,15.004418,95.400000,0.001539,0.020556,0.240785,1.602054,6.283011
0.020000,15.003898,95.400000,0.002060,0.026012,0.272782,1.599810,6.283032
0.020000,15.003256,95.400000,0.002702,0.032106,0.304720,1.596931,6.283057
0.020000,15.002479,95.400000,0.003479,0.038838,0.336587,1.593338,6.283088
0.020000,15.001555,95.400000,0.004403,0.046205,0.368366,1.588951,6.283124
0.020000,15.000471,95.400000,0.005487,0.054206,0.400040,1.583691,6.283167
0.020000,15.028047,95.400000,0.033063,1.378834,66.231403,3291.568141,0.000031
0.020000,15.079511,95.400003,0.084527,2.573182,59.717360,-325.702126,0.000088
0.020000,15.138066,95.400011,0.143082,2.927752,17.728539,-2099.441058,0.000152
0.020000,15.204170,95.400023,0.209186,3.305214,18.873066,57.226329,0.000225
0.020000,15.278053,95.400043,0.283070,3.694156,19.447135,28.703449,0.000306
0.020000,15.359715,95.400071,0.364732,4.083101,19.447226,0.004567,0.000396
0.020000,15.449157,95.400111,0.454173,4.472084,19.449178,0.097625,0.000495
0.020000,15.546379,95.400164,0.551395,4.861101,19.450843,0.083233,0.000601
0.020000,15.651382,95.400234,0.656398,5.250146,19.452224,0.069064,0.000716
0.020000,15.764167,95.400321,0.769183,5.639235,19.454446,0.111082,0.000840
0.020000,15.884734,95.400431,0.889750,6.028360,19.456262,0.090808,0.000972
0.020000,16.013084,95.400564,1.018100,6.417521,19.458052,0.089483,0.001112
0.020000,16.149219,95.400726,1.154235,6.806747,19.461280,0.161426,0.001260
0.020000,16.293139,95.400918,1.298155,7.196001,19.462737,0.072858,0.001417
0.020000,16.444845,95.401146,1.449862,7.585309,19.465394,0.132806,0.001582
0.020000,16.604338,95.401412,1.609355,7.974681,19.468609,0.160757,0.001755
0.020000,16.771620,95.401721,1.776637,8.364105,19.471180,0.128555,0.001936
0.020000,16.946691,95.402076,1.951709,8.753584,19.473960,0.139027,0.002126
0.020000,17.129553,95.402483,2.134572,9.143126,19.477106,0.157282,0.002323
0.020000,17.320208,95.402946,2.325226,9.532734,19.480375,0.163435,0.002528
0.020000,17.518655,95.403468,2.523674,9.922409,19.483767,0.169624,0.002741
0.020000,17.724897,95.404057,2.729918,10.312155,19.487284,0.175848,0.002962
0.020000,17.938936,95.404715,2.943957,10.701973,19.490926,0.182109,0.003191
0.020000,18.160772,95.405449,3.165794,11.091867,19.494694,0.188407,0.003428
0.020000,18.390407,95.406264,3.395431,11.481839,19.498589,0.194744,0.003672
0.020000,18.627843,95.407166,3.632869,11.871891,19.502612,0.201120,0.003924
0.020000,18.873082,95.408160,3.878109,12.262026,19.506762,0.207535,0.004183
0.020000,19.126125,95.409253,4.131155,12.652258,19.511600,0.241873,0.004450
0.020000,19.386973,95.410449,4.392006,13.042571,19.515635,0.201764,0.004724
0.020000,19.655630,95.411756,4.660666,13.432973,19.520078,0.222142,0.005006
0.020000,19.932095,95.413180,4.937135,13.823475,19.525134,0.252793,0.005295
0.020000,20.216373,95.414728,5.221417,14.214079,19.530167,0.251640,0.005591
0.020000,20.508463,95.416405,5.513512,14.604770,19.534558,0.219549,0.005894
0.020000,20.808370,95.418220,5.813424,14.995584,19.540710,0.307605,0.006205
0.020000,21.116093,95.420178,6.121153,15.386484,19.544973,0.213138,0.006522
0.020000,21.431636,95.422287,6.436704,15.777511,19.551392,0.320967,0.006846
0.020000,21.755001,95.424554,6.760076,16.168633,19.556055,0.233175,0.007177
0.020000,22.086190,95.426987,7.091274,16.559885,19.562649,0.329676,0.007514
0.020000,22.425205,95.429593,7.430299,16.951244,19.567937,0.264423,0.007859
0.020000,22.772048,95.432380,7.777153,17.342722,19.573899,0.298101,0.008209
0.020000,23.126722,95.435355,8.131840,17.734335,19.580630,0.336532,0.008566
0.020000,23.489229,95.438526,8.494361,18.126064,19.586473,0.292159,0.008929
0.020000,23.859572,95.441901,8.864720,18.517922,19.592880,0.320334,0.009299
0.020000,24.237754,95.445489,9.242918,18.909912,19.599497,0.330848,0.009675
0.020000,24.623776,95.449298,9.628959,19.302037,19.606241,0.337185,0.010056
0.020000,25.017641,95.453335,10.022845,19.694299,19.613112,0.343581,0.010444
0.020000,25.419352,95.457610,10.424579,20.086702,19.620157,0.352260,0.010837
0.020000,25.828912,95.462130,10.834164,20.479246,19.627197,0.351972,0.011236
0.020000,26.246324,95.466905,11.251602,20.871935,19.634467,0.363518,0.011640
0.020000,26.671589,95.471942,11.676898,21.264774,19.641943,0.373798,0.012050
0.020000,27.104712,95.477252,12.110053,21.657763,19.649430,0.374340,0.012465
0.020000,27.545695,95.482842,12.551071,22.050905,19.657093,0.383167,0.012886
0.020000,27.994540,95.488721,12.999955,22.444202,19.664892,0.389955,0.013311
0.020000,28.451252,95.494899,13.456708,22.837659,19.672828,0.396795,0.013741
0.020000,28.915832,95.501385,13.921334,23.231279,19.680976,0.407397,0.014177
0.020000,29.388284,95.508187,14.393835,23.625068,19.689476,0.424972,0.014617
0.020000,29.868612,95.515315,14.874216,24.019018,19.697492,0.400838,0.015061
0.020000,30.356817,95.522779,15.362478,24.413140,19.706089,0.429841,0.015510
0.020000,30.852905,95.530586,15.858627,24.807440,19.715036,0.447336,0.015963
0.020000,31.356877,95.538747,16.362665,25.201908,19.723394,0.417927,0.016420
0.020000,31.868737,95.547271,16.874597,25.596565,19.732843,0.472421,0.016881
0.020000,32.388489,95.556167,17.394425,25.991393,19.741412,0.428452,0.017347
0.020000,32.916136,95.565444,17.922153,26.386417,19.751167,0.487737,0.017815
0.020000,33.451681,95.575113,18.457785,26.781618,19.760084,0.445872,0.018288
0.020000,33.995128,95.585182,19.001326,27.177015,19.769831,0.487335,0.018764
0.020000,34.546480,95.595661,19.552778,27.572604,19.779470,0.481969,0.019243
0.020000,35.105742,95.606559,20.112145,27.968387,19.789131,0.483044,0.019725
0.020000,35.672916,95.617885,20.679433,28.364369,19.799098,0.498354,0.020210
0.020000,36.248007,95.629650,21.254644,28.760556,19.809345,0.512327,0.020698
0.020000,36.831018,95.641862,21.837783,29.156943,19.819375,0.501511,0.021188
0.020000,37.421953,95.654531,22.428854,29.553538,19.829741,0.518328,0.021681
0.020000,38.020816,95.667665,23.027860,29.950343,19.840241,0.524991,0.022177
0.020000,38.627611,95.681275,23.634808,30.347361,19.850876,0.531713,0.022674
0.020000,39.242341,95.695370,24.249700,30.744593,19.861645,0.538491,0.023173
0.020000,39.865011,95.709958,24.872540,31.142045,19.872552,0.545320,0.023675
0.020000,40.495625,95.725050,25.503335,31.539716,19.883596,0.552198,0.024177
0.020000,41.134186,95.740653,26.142087,31.937612,19.894778,0.559121,0.024682
0.020000,41.780700,95.756777,26.788802,32.335734,19.906100,0.566087,0.025187
0.020000,42.435170,95.773431,27.443483,32.734085,19.917562,0.573092,0.025694
0.020000,43.097600,95.790624,28.106137,33.132669,19.929197,0.581777,0.026201
0.020000,43.767995,95.808364,28.776766,33.531488,19.940924,0.586314,0.026710
0.020000,44.446359,95.826660,29.455377,33.930543,19.952781,0.592874,0.027218
0.020000,45.132697,95.845521,30.141974,34.329839,19.964809,0.601405,0.027728
0.020000,45.827013,95.864955,30.836562,34.729379,19.977001,0.609590,0.028237
0.020000,46.529311,95.884970,31.539145,35.129165,19.989262,0.613051,0.028746
0.020000,47.239596,95.905575,32.249729,35.529199,20.001715,0.622660,0.029255
0.020000,47.957873,95.926777,32.968319,35.929485,20.014288,0.628641,0.029764
0.020000,48.684146,95.948585,33.694919,36.330025,20.027001,0.635635,0.030272
0.020000,49.418420,95.971006,34.429536,36.730822,20.039858,0.642875,0.030779
0.020000,50.160700,95.994048,35.172173,37.131879,20.052833,0.648748,0.031285
0.020000,50.910991,96.017719,35.922837,37.533199,20.065995,0.658087,0.031789
0.020000,51.669297,96.042024,36.681533,37.934783,20.079215,0.660989,0.032293
0.020000,52.435624,96.066973,37.448266,38.336636,20.092645,0.671528,0.032794
0.020000,53.209976,96.092570,38.223041,38.738760,20.106203,0.677895,0.033294
0.020000,53.992359,96.118824,39.005864,39.141157,20.119881,0.683886,0.033792
0.020000,54.782777,96.145740,39.796740,39.543830,20.133644,0.688150,0.034287
0.020000,55.581237,96.173326,40.595676,39.946783,20.147641,0.699847,0.034780
0.020000,56.387742,96.201585,41.402677,40.350018,20.161737,0.704810,0.035270
0.020000,57.202299,96.230526,42.217747,40.753537,20.175964,0.711353,0.035757
0.020000,58.024912,96.260153,43.040894,41.157344,20.190329,0.718249,0.036241
0.020000,58.855588,96.290471,43.872123,41.561440,20.204832,0.725172,0.036721
0.020000,59.694331,96.321485,44.711440,41.965830,20.219475,0.732117,0.037198
0.020000,60.541148,96.353201,45.558850,42.370515,20.234256,0.739081,0.037671
0.020000,61.396043,96.385622,46.414360,42.775498,20.249178,0.746058,0.038140
0.020000,62.259023,96.418753,47.277975,43.180783,20.264216,0.751909,0.038604
0.020000,63.130093,96.452598,48.149703,43.586370,20.279345,0.756463,0.039064
0.020000,64.009260,96.487160,49.029548,43.992265,20.294753,0.770388,0.039519
0.020000,64.896528,96.522442,49.917518,44.398469,20.310233,0.773996,0.039968
0.020000,65.791904,96.558448,50.813617,44.804985,20.325783,0.777524,0.040413
0.020000,66.695394,96.595180,51.717854,45.211814,20.341463,0.783987,0.040852
0.020000,67.607004,96.632640,52.630233,45.618964,20.357483,0.800990,0.041285
0.020000,68.526740,96.670830,53.550761,46.026430,20.373322,0.791975,0.041712
0.020000,69.454608,96.709751,54.479446,46.434222,20.389601,0.813926,0.042132
0.020000,70.390615,96.749405,55.416293,46.842338,20.405789,0.809417,0.042546
0.020000,71.334768,96.789793,56.361308,47.250784,20.422295,0.825297,0.042953
0.020000,72.287071,96.830914,57.314499,47.659558,20.438719,0.821179,0.043353
0.020000,73.247533,96.872769,58.275873,48.068670,20.455580,0.843050,0.043746
0.020000,74.216160,96.915357,59.245435,48.478115,20.472231,0.832587,0.044131
0.020000,75.192958,96.958678,60.223193,48.887900,20.489280,0.852435,0.044508
0.020000,76.177934,97.002729,61.209154,49.298029,20.506418,0.856921,0.044877
0.020000,77.171095,97.047509,62.203324,49.708501,20.523635,0.860808,0.045237
0.020000,78.172448,97.093015,63.205710,50.119319,20.540882,0.862355,0.045589
0.020000,79.181999,97.139245,64.216320,50.530489,20.558511,0.881462,0.045931
0.020000,80.199757,97.186196,65.235160,50.942012,20.576146,0.881778,0.046265
0.020000,81.225728,97.233864,66.262238,51.353891,20.593921,0.888738,0.046588
0.020000,82.259920,97.282244,67.297561,51.766127,20.611836,0.895731,0.046902
0.020000,83.302339,97.331331,68.341135,52.178725,20.629890,0.902723,0.047206
0.020000,84.352994,97.381121,69.392969,52.591687,20.648085,0.909711,0.047500
0.020000,85.411891,97.431607,70.453069,53.005015,20.666418,0.916689,0.047782
0.020000,86.479039,97.482783,71.521443,53.418713,20.684891,0.923657,0.048054
0.020000,87.554445,97.534642,72.598099,53.832783,20.703504,0.930610,0.048314
0.020000,88.638117,97.587176,73.683044,54.247227,20.722194,0.934535,0.048563
0.020000,89.730063,97.640377,74.776285,54.662049,20.741099,0.945211,0.048800
0.020000,90.830290,97.694236,75.877830,55.077252,20.760165,0.953306,0.049025
0.020000,91.938808,97.748744,76.987686,55.492839,20.779332,0.958382,0.049237
0.020000,93.055623,97.803890,78.105863,55.908809,20.798516,0.959205,0.049437
0.020000,94.180745,97.859664,79.232366,56.325171,20.818066,0.977485,0.049623
0.020000,95.314182,97.916054,80.367204,56.741923,20.837616,0.977493,0.049796
0.020000,96.455942,97.973049,81.510386,57.159069,20.857285,0.983467,0.049955
0.020000,97.606033,98.030635,82.661918,57.576613,20.877211,0.996296,0.050100
0.020000,98.764465,98.088799,83.821809,57.994555,20.897132,0.996029,0.050231
0.020000,99.931246,98.147527,84.990067,58.412902,20.917324,1.009586,0.050348
0.020000,101.106385,98.206804,86.166700,58.831653,20.937578,1.012730,0.050449
