dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,15.000000,70.000000,0.000235,0.023514,1.175678,58.783903,6.282960
0.020000,15.000000,70.000000,0.001176,0.070541,2.351356,58.783903,6.282961
0.020000,15.000000,70.000000,0.003292,0.141081,3.527034,58.783903,6.282963
0.020000,15.000000,70.000000,0.007054,0.235136,4.702712,58.783903,6.282967
0.020000,15.000000,70.000000,0.012932,0.352703,5.878390,58.783903,6.282974
0.020000,15.000000,70.000000,0.021397,0.493785,7.054068,58.783903,6.282983
0.020000,15.000000,70.000000,0.032919,0.658380,8.229746,58.783903,6.282995
0.020000,15.000000,70.000000,0.047968,0.846488,9.405425,58.783903,6.283011
0.020000,15.000000,70.000000,0.067014,1.058110,10.581103,58.783903,6.283032
0.020000,15.000000,70.000000,0.090527,1.293246,11.756781,58.783903,6.283057
0.020000,15.000000,70.000000,0.118979,1.551895,12.932459,58.783903,6.283088
0.020000,15.000000,70.000000,0.152838,1.834058,14.108137,58.783903,6.283124
0.020000,15.000000,70.000000,0.192576,2.139734,15.283815,58.783903,6.283167
0.020000,15.028833,70.000000,0.238663,2.468924,16.459493,58.783903,0.000031
0.020000,15.081739,70.000004,0.291568,2.821627,17.635171,58.783903,0.000088
0.020000,15.141934,70.000011,0.351763,3.197844,18.810849,58.783903,0.000152
0.020000,15.209888,70.000024,0.419717,3.597575,19.986527,58.783903,0.000225
0.020000,15.285837,70.000044,0.495666,3.997305,19.986527,-0.000000,0.000306
0.020000,15.369780,70.000073,0.579609,4.397036,19.986527,0.000000,0.000396
0.020000,15.461718,70.000114,0.671547,4.796767,19.986527,0.000000,0.000495
0.020000,15.561651,70.000169,0.771480,5.196497,19.986527,0.000000,0.000601
0.020000,15.669578,70.000240,0.879407,5.596228,19.986527,-0.000000,0.000716
0.020000,15.785500,70.000330,0.995329,5.995958,19.986527,0.000000,0.000840
0.020000,15.909416,70.000443,1.119246,6.395689,19.986527,0.000000,0.000972
0.020000,16.041327,70.000580,1.251157,6.795419,19.986527,-0.000000,0.001112
0.020000,16.181233,70.000746,1.391062,7.195150,19.986527,0.000000,0.001260
0.020000,16.329133,70.000944,1.538963,7.594880,19.986527,-0.000000,0.001417
0.020000,16.485028,70.001178,1.694858,7.994611,19.986527,0.000000,0.001582
0.020000,16.648917,70.001451,1.858747,8.394341,19.986527,-0.000000,0.001755
0.020000,16.820801,70.001768,2.030631,8.794072,19.986527,0.000000,0.001936
0.020000,17.000679,70.002134,2.210510,9.193803,19.986527,0.000000,0.002126
0.020000,17.188552,70.002552,2.398383,9.593533,19.986527,0.000000,0.002323
