dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,14.994278,44.600001,0.000235,0.023514,1.175678,58.783903,6.282960
0.020000,14.994304,44.600001,0.000261,0.001285,-1.111413,-114.354529,6.282961
0.020000,14.994361,44.600001,0.000319,0.002892,0.080330,59.587107,6.282963
0.020000,14.994464,44.600001,0.000421,0.005141,0.112455,1.606268,6.282967
0.020000,14.994625,44.600001,0.000582,0.008032,0.144570,1.605770,6.282974
0.020000,14.994856,44.600001,0.000813,0.011566,0.176669,1.604955,6.282983
0.020000,14.995171,44.600000,0.001128,0.015741,0.208744,1.603742,6.282995
0.020000,14.995582,44.600000,0.001539,0.020556,0.240785,1.602054,6.283011
0.020000,14.996102,44.600000,0.002060,0.026012,0.272782,1.599810,6.283032
0.020000,14.996744,44.600000,0.002702,0.032106,0.304720,1.596931,6.283057
0.020000,14.997521,44.600000,0.003479,0.038838,0.336587,1.593338,6.283088
0.020000,14.998445,44.600000,0.004403,0.046205,0.368366,1.588951,6.283124
0.020000,14.999529,44.600000,0.005487,0.054206,0.400040,1.583691,6.283167
0.020000,15.029620,44.600000,0.035577,1.504511,72.515223,3605.759172,0.000031
0.020000,15.083967,44.600004,0.089925,2.717378,60.643359,-593.593215,0.000088
0.020000,15.145802,44.600011,0.151759,3.091718,18.717005,-2096.317681,0.000152
0.020000,15.215605,44.600024,0.221563,3.490191,19.923625,60.330998,0.000225
0.020000,15.293620,44.600045,0.299578,3.900740,20.527456,30.191550,0.000306
0.020000,15.379845,44.600075,0.385802,4.311237,20.524872,-0.129213,0.000396
0.020000,15.474279,44.600117,0.480237,4.721717,20.523971,-0.045071,0.000495
0.020000,15.576923,44.600174,0.582880,5.132166,20.522483,-0.074395,0.000601
0.020000,15.687774,44.600247,0.693731,5.542574,20.520413,-0.103481,0.000716
0.020000,15.806833,44.600339,0.812790,5.952953,20.518948,-0.073254,0.000840
0.020000,15.934099,44.600455,0.940056,6.363289,20.516772,-0.108793,0.000972
0.020000,16.069570,44.600596,1.075528,6.773575,20.514286,-0.124329,0.001112
0.020000,16.213247,44.600766,1.219204,7.183835,20.513035,-0.062542,0.001260
0.020000,16.365127,44.600969,1.371085,7.594028,20.509631,-0.170171,0.001417
0.020000,16.525210,44.601210,1.531168,8.004172,20.507210,-0.121052,0.001582
0.020000,16.693496,44.601490,1.699454,8.414274,20.505096,-0.105722,0.001755
0.020000,16.869982,44.601816,1.875940,8.824314,20.502018,-0.153871,0.001936
0.020000,17.054667,44.602191,2.060626,9.234292,20.498879,-0.156989,0.002126
0.020000,17.247551,44.602620,2.253510,9.644209,20.495841,-0.151907,0.002323
0.020000,17.448632,44.603108,2.454591,10.054062,20.492649,-0.159601,0.002528
0.020000,17.657908,44.603659,2.663868,10.463848,20.489303,-0.167264,0.002741
0.020000,17.875378,44.604279,2.881340,10.873564,20.485805,-0.174897,0.002962
0.020000,18.101041,44.604974,3.107004,11.283207,20.482155,-0.182497,0.003191
0.020000,18.334895,44.605748,3.340859,11.692774,20.478354,-0.190065,0.003428
0.020000,18.576939,44.606607,3.582905,12.102262,20.474402,-0.197599,0.003672
0.020000,18.827171,44.607557,3.833138,12.511668,20.470300,-0.205099,0.003924
0.020000,19.085588,44.608605,4.091558,12.920989,20.466049,-0.212565,0.004183
0.020000,19.352191,44.609756,4.358162,13.330234,20.462236,-0.190622,0.004450
0.020000,19.626975,44.611016,4.632950,13.739380,20.457294,-0.247125,0.004724
0.020000,19.909940,44.612393,4.915919,14.148430,20.452496,-0.239896,0.005006
0.020000,20.201084,44.613892,5.207066,14.557391,20.448059,-0.221866,0.005295
0.020000,20.500405,44.615522,5.506392,14.966257,20.443312,-0.237349,0.005591
