dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,528.484524,414.727757,0.000235,0.023501,1.175057,58.752867,3.161521
0.020000,528.484537,414.727757,0.000248,0.000640,-1.143081,-115.906905,3.161522
0.020000,528.484566,414.727758,0.000277,0.001438,0.039935,59.150784,3.161523
0.020000,528.484617,414.727759,0.000328,0.002554,0.055809,0.793694,3.161525
0.020000,528.484696,414.727760,0.000407,0.003985,0.071529,0.786017,3.161528
0.020000,528.484811,414.727763,0.000522,0.005725,0.086998,0.773445,3.161532
0.020000,528.484966,414.727766,0.000677,0.007767,0.102093,0.754757,3.161539
0.020000,528.485168,414.727770,0.000879,0.010100,0.116668,0.728730,3.161546
0.020000,528.485422,414.727775,0.001133,0.012711,0.130551,0.694142,3.161556
0.020000,528.485734,414.727781,0.001445,0.015582,0.143546,0.649771,3.161569
0.020000,528.486108,414.727789,0.001819,0.018691,0.155434,0.594399,3.161583
0.020000,528.465397,414.727374,0.022534,1.035743,50.852622,2534.859420,3.161601
0.020000,528.426198,414.726589,0.061740,1.960323,46.228981,-231.182063,3.161621
0.020000,528.380728,414.725678,0.107220,2.273982,15.682979,-1527.300122,3.161644
0.020000,528.328518,414.724630,0.159440,2.611001,16.850912,58.396646,3.161670
0.020000,528.269101,414.723437,0.218870,2.971486,18.024288,58.668841,3.161699
0.020000,528.202004,414.722086,0.285980,3.355512,19.201273,58.849223,3.161730
0.020000,528.126990,414.720574,0.361009,3.751472,19.797991,29.835896,3.161765
0.020000,528.044050,414.718899,0.443966,4.147845,19.818673,1.034110,3.161802
0.020000,527.953174,414.717061,0.534860,4.544693,19.842406,1.186622,3.161841
0.020000,527.854355,414.715057,0.633700,4.941978,19.864244,1.091927,3.161882
0.020000,527.747581,414.712888,0.740496,5.339809,19.891550,1.365314,3.161925
0.020000,527.632840,414.710553,0.855260,5.738227,19.920883,1.466652,3.161968
0.020000,527.510121,414.708049,0.978005,6.137252,19.951262,1.518911,3.162011
0.020000,527.379409,414.705377,1.108744,6.536930,19.983902,1.632033,3.162055
0.020000,527.240692,414.702535,1.247490,6.937305,20.018769,1.743342,3.162097
0.020000,527.093955,414.699523,1.394259,7.338422,20.055824,1.852741,3.162139
0.020000,526.939181,414.696339,1.549065,7.740323,20.095027,1.960137,3.162179
0.020000,526.776355,414.692984,1.711926,8.143035,20.135606,2.028944,3.162216
0.020000,526.605459,414.689456,1.882858,8.546610,20.178758,2.157608,3.162250
0.020000,526.426475,414.685755,2.061880,8.951114,20.225203,2.322254,3.162280
0.020000,526.239384,414.681882,2.249011,9.356552,20.271909,2.335299,3.162305
0.020000,526.044167,414.677836,2.444271,9.762983,20.321542,2.481663,3.162325
0.020000,525.840801,414.673618,2.647680,10.170453,20.373495,2.597634,3.162338
0.020000,525.629267,414.669228,2.859260,10.578995,20.427109,2.680713,3.162345
0.020000,525.409541,414.664667,3.079033,10.988658,20.483158,2.802473,3.162343
0.020000,525.181601,414.659938,3.307023,11.399482,20.541182,2.901172,3.162333
0.020000,524.945421,414.655041,3.543253,11.811506,20.601223,3.002055,3.162313
0.020000,524.700978,414.649979,3.787748,12.224789,20.664128,3.145257,3.162282
0.020000,524.448245,414.644754,4.040536,12.639360,20.728541,3.220633,3.162239
0.020000,524.187195,414.639371,4.301641,13.055263,20.795149,3.330398,3.162183
0.020000,523.917801,414.633832,4.571092,13.472544,20.864096,3.447379,3.162113
0.020000,523.640034,414.628143,4.848917,13.891248,20.935201,3.555217,3.162028
0.020000,523.353865,414.622308,5.135145,14.311430,21.009076,3.693788,3.161927
0.020000,523.059263,414.616334,5.429808,14.733148,21.085876,3.839955,3.161809
0.020000,522.756196,414.610227,5.732936,15.156396,21.162404,3.826432,3.161671
0.020000,522.444634,414.603995,6.044561,15.581233,21.241863,3.972951,3.161514
0.020000,522.124541,414.597645,6.364717,16.007800,21.328339,4.323785,3.161335
0.020000,521.795884,414.591188,6.693437,16.436011,21.410568,4.111469,3.161134
0.020000,521.458628,414.584634,7.030757,16.866005,21.499682,4.455665,3.160909
0.020000,521.112736,414.577995,7.376713,17.297783,21.588923,4.462064,3.160659
0.020000,520.758170,414.571283,7.731343,17.731485,21.685075,4.807623,3.160381
0.020000,520.394893,414.564511,8.094683,18.166999,21.775733,4.532878,3.160075
0.020000,520.022865,414.557696,8.466773,18.604522,21.876151,5.020885,3.159739
0.020000,519.642043,414.550854,8.847656,19.044155,21.981621,5.273540,3.159372
0.020000,519.252388,414.544003,9.237372,19.485774,22.080960,4.966923,3.158972
0.020000,518.853856,414.537162,9.635962,19.929543,22.188448,5.374391,3.158536
0.020000,518.446402,414.530352,10.043473,20.375518,22.298737,5.514488,3.158065
0.020000,518.029982,414.523598,10.459948,20.823754,22.411805,5.653381,3.157554
0.020000,517.604548,414.516923,10.885434,21.274306,22.527630,5.791227,3.157004
0.020000,517.170052,414.510354,11.319979,21.727274,22.648397,6.038385,3.156411
0.020000,516.726442,414.503920,11.763636,22.182825,22.777523,6.456283,3.155775
0.020000,516.273671,414.497651,12.216451,22.640738,22.895667,5.907189,3.155092
0.020000,515.811687,414.491582,12.678475,23.101214,23.023792,6.406289,3.154361
0.020000,515.340428,414.485747,13.149770,23.564730,23.175832,7.601973,3.153581
0.020000,514.859850,414.480184,13.630380,24.030545,23.290702,5.743528,3.152747
0.020000,514.369883,414.474935,14.120375,24.499725,23.459036,8.416654,3.151859
0.020000,513.870479,414.470041,14.619803,24.971412,23.584316,6.264015,3.150914
0.020000,513.361572,414.465551,15.128730,25.446340,23.746404,8.104431,3.149910
0.020000,512.843097,414.461513,15.647220,25.924516,23.908801,8.119807,3.148844
0.020000,512.314994,414.457980,16.175335,26.405741,24.061250,7.622494,3.147713
0.020000,511.777196,414.455009,16.713142,26.890350,24.230478,8.461394,3.146516
0.020000,511.229632,414.452657,17.260711,27.378444,24.404703,8.711233,3.145249
0.020000,510.672232,414.450991,17.818113,27.870124,24.584007,8.965184,3.143909
0.020000,510.104923,414.450076,18.385423,28.365494,24.768482,9.223755,3.142493
0.020000,509.527629,414.449984,18.962717,28.864659,24.958232,9.487492,3.141000
0.020000,508.940275,414.450792,19.550071,29.367726,25.153371,9.756983,3.139424
0.020000,508.342778,414.452581,20.147571,29.875011,25.364241,10.543466,3.137764
0.020000,507.735051,414.455436,20.755305,30.386680,25.583460,10.960991,3.136016
0.020000,507.117018,414.459448,21.373351,30.902299,25.780961,9.875026,3.134176
0.020000,506.488579,414.464714,22.001812,31.423037,26.036869,12.795411,3.132241
0.020000,505.849655,414.471336,22.640771,31.947948,26.245551,10.434073,3.130206
0.020000,505.200136,414.479422,23.290339,32.478442,26.524725,13.958707,3.128069
0.020000,504.539938,414.489087,23.950608,33.013441,26.749943,11.260916,3.125825
0.020000,503.868957,414.500454,24.621686,33.553881,27.022018,13.603723,3.123470
0.020000,503.187077,414.513651,25.303693,34.100355,27.323677,15.082969,3.121000
0.020000,502.494200,414.528814,25.996736,34.652140,27.589268,13.279531,3.118410
0.020000,501.790213,414.546089,26.700935,35.209963,27.891156,15.094406,3.115695
0.020000,501.074999,414.565628,27.416416,35.774047,28.204180,15.651232,3.112850
0.020000,500.348439,414.587595,28.143308,36.344618,28.528524,16.217205,3.109870
0.020000,499.610407,414.612162,28.881749,36.922041,28.871173,17.132447,3.106751
0.020000,498.860768,414.639510,29.631887,37.506885,29.242210,18.551838,3.103486
