dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,527.978375,440.122713,0.000235,0.023501,1.175057,58.752867,3.161521
0.020000,527.978375,440.122713,0.001175,0.070503,2.350115,58.752867,3.161522
0.020000,527.978375,440.122713,0.003290,0.141007,3.525172,58.752867,3.161523
0.020000,527.978375,440.122713,0.007050,0.235011,4.700229,58.752867,3.161525
0.020000,527.978375,440.122713,0.012926,0.352517,5.875287,58.752867,3.161528
0.020000,527.978375,440.122713,0.021386,0.493524,7.050344,58.752867,3.161532
0.020000,527.978375,440.122713,0.032902,0.658032,8.225401,58.752867,3.161539
0.020000,527.978375,440.122713,0.047942,0.846041,9.400459,58.752867,3.161546
0.020000,527.978375,440.122713,0.066978,1.057552,10.575516,58.752867,3.161556
0.020000,527.978375,440.122713,0.090479,1.292563,11.750573,58.752867,3.161569
0.020000,527.978375,440.122713,0.118916,1.551076,12.925631,58.752867,3.161583
0.020000,527.957224,440.122290,0.152757,1.833089,14.100688,58.752867,3.161601
0.020000,527.917515,440.121495,0.192474,2.138604,15.275745,58.752867,3.161621
0.020000,527.871462,440.120572,0.238537,2.467620,16.450803,58.752867,3.161644
0.020000,527.818595,440.119511,0.291414,2.820138,17.625860,58.752867,3.161670
0.020000,527.758444,440.118303,0.351577,3.196156,18.800917,58.752867,3.161699
0.020000,527.690540,440.116936,0.419495,3.595675,19.975975,58.752867,3.161730
0.020000,527.614646,440.115406,0.495404,3.995195,19.975975,0.000000,3.161765
0.020000,527.530765,440.113712,0.579303,4.394714,19.975975,0.000000,3.161802
0.020000,527.438893,440.111854,0.671193,4.794234,19.975975,-0.000000,3.161841
0.020000,527.339034,440.109829,0.771073,5.193753,19.975975,0.000000,3.161882
0.020000,527.231186,440.107639,0.878943,5.593273,19.975975,0.000000,3.161925
0.020000,527.115350,440.105281,0.994804,5.992792,19.975975,0.000000,3.161968
0.020000,526.991524,440.102755,1.118655,6.392312,19.975975,0.000000,3.162011
0.020000,526.859710,440.100060,1.250496,6.791831,19.975975,0.000000,3.162055
0.020000,526.719908,440.097196,1.390328,7.191351,19.975975,0.000000,3.162097
0.020000,526.572117,440.094162,1.538150,7.590870,19.975975,0.000000,3.162139
0.020000,526.416337,440.090957,1.693963,7.990390,19.975975,0.000000,3.162179
0.020000,526.252568,440.087583,1.857766,8.389909,19.975975,0.000000,3.162216
0.020000,526.080812,440.084037,2.029559,8.789429,19.975975,0.000000,3.162250
0.020000,525.901066,440.080321,2.209343,9.188948,19.975975,-0.000000,3.162280
0.020000,525.713332,440.076434,2.397117,9.588468,19.975975,0.000000,3.162305
0.020000,525.517610,440.072378,2.592882,9.987987,19.975975,0.000000,3.162325
0.020000,525.313899,440.068152,2.796636,10.387507,19.975975,0.000000,3.162338
0.020000,525.102199,440.063759,3.008382,10.787026,19.975975,0.000000,3.162345
0.020000,524.882510,440.059199,3.228118,11.186546,19.975975,0.000000,3.162343
0.020000,524.654833,440.054475,3.455844,11.586065,19.975975,0.000000,3.162333
0.020000,524.419167,440.049589,3.691560,11.985585,19.975975,0.000000,3.162313
0.020000,524.175512,440.044543,3.935267,12.385104,19.975975,0.000000,3.162282
0.020000,523.923869,440.039341,4.186964,12.784624,19.975975,0.000000,3.162239
0.020000,523.664236,440.033987,4.446652,13.184143,19.975975,-0.000000,3.162183
0.020000,523.396615,440.028485,4.714330,13.583663,19.975975,0.000000,3.162113
0.020000,523.121004,440.022840,4.989998,13.983182,19.975975,-0.000000,3.162028
0.020000,522.837404,440.017057,5.273657,14.382702,19.975975,0.000000,3.161927
0.020000,522.545814,440.011144,5.565307,14.782221,19.975975,0.000000,3.161809
0.020000,522.246235,440.005107,5.864946,15.181741,19.975975,0.000000,3.161671
0.020000,521.938667,439.998955,6.172576,15.581260,19.975975,0.000000,3.161514
0.020000,521.623108,439.992695,6.488197,15.980780,19.975975,-0.000000,3.161335
0.020000,521.299560,439.986339,6.811807,16.380299,19.975975,0.000000,3.161134
0.020000,520.968021,439.979896,7.143409,16.779819,19.975975,-0.000000,3.160909
0.020000,520.628492,439.973379,7.483000,17.179338,19.975975,0.000000,3.160659
0.020000,520.280972,439.966800,7.830582,17.578858,19.975975,-0.000000,3.160381
0.020000,519.925462,439.960173,8.186154,17.978377,19.975975,-0.000000,3.160075
0.020000,519.561961,439.953514,8.549717,18.377897,19.975975,0.000000,3.159739
0.020000,519.190467,439.946840,8.921270,18.777416,19.975975,-0.000000,3.159372
0.020000,518.810981,439.940167,9.300814,19.176936,19.975975,0.000000,3.158972
0.020000,518.423504,439.933516,9.688348,19.576455,19.975975,-0.000000,3.158536
0.020000,518.028035,439.926907,10.083872,19.975975,19.975975,0.000000,3.158065
0.020000,517.624573,439.920362,10.487387,20.375494,19.975975,0.000000,3.157554
0.020000,517.213119,439.913907,10.898892,20.775014,19.975975,0.000000,3.157004
0.020000,516.793672,439.907565,11.318387,21.174533,19.975975,0.000000,3.156411
0.020000,516.366230,439.901365,11.745873,21.574053,19.975975,0.000000,3.155775
0.020000,515.930795,439.895337,12.181349,21.973572,19.975975,0.000000,3.155092
0.020000,515.487369,439.889511,12.624816,22.373092,19.975975,0.000000,3.154361
0.020000,515.035944,439.883922,13.076273,22.772611,19.975975,0.000000,3.153581
0.020000,514.576529,439.878604,13.535720,23.172131,19.975975,-0.000000,3.152747
0.020000,514.109116,439.873596,14.003158,23.571650,19.975975,0.000000,3.151859
0.020000,513.633711,439.868938,14.478586,23.971170,19.975975,0.000000,3.150914
0.020000,513.150312,439.864673,14.962005,24.370689,19.975975,-0.000000,3.149910
0.020000,512.658916,439.860846,15.453414,24.770209,19.975975,0.000000,3.148844
0.020000,512.159528,439.857505,15.952813,25.169728,19.975975,-0.000000,3.147713
0.020000,511.652146,439.854701,16.460203,25.569248,19.975975,0.000000,3.146516
0.020000,511.136770,439.852488,16.975583,25.968767,19.975975,-0.000000,3.145249
0.020000,510.613402,439.850923,17.498954,26.368287,19.975975,-0.000000,3.143909
0.020000,510.082041,439.850065,18.030315,26.767806,19.975975,0.000000,3.142493
0.020000,509.542690,439.849980,18.569666,27.167326,19.975975,-0.000000,3.141000
0.020000,508.995350,439.850733,19.117008,27.566845,19.975975,0.000000,3.139424
0.020000,508.440021,439.852395,19.672340,27.966365,19.975975,0.000000,3.137764
0.020000,507.876702,439.855041,20.235662,28.365884,19.975975,0.000000,3.136016
0.020000,507.305404,439.858749,20.806975,28.765404,19.975975,0.000000,3.134176
0.020000,506.726118,439.863603,21.386278,29.164923,19.975975,0.000000,3.132241
0.020000,506.138859,439.869689,21.973572,29.564443,19.975975,-0.000000,3.130206
0.020000,505.543618,439.877099,22.568856,29.963962,19.975975,0.000000,3.128069
0.020000,504.940409,439.885930,23.172131,30.363482,19.975975,0.000000,3.125825
0.020000,504.329236,439.896283,23.783395,30.763001,19.975975,0.000000,3.123470
0.020000,503.710094,439.908265,24.402651,31.162520,19.975975,-0.000000,3.121000
0.020000,503.082997,439.921988,25.029896,31.562040,19.975975,-0.000000,3.118410
0.020000,502.447952,439.937571,25.665132,31.961559,19.975975,0.000000,3.115695
0.020000,501.804966,439.955137,26.308359,32.361079,19.975975,0.000000,3.112850
0.020000,501.154048,439.974816,26.959575,32.760598,19.975975,0.000000,3.109870
0.020000,500.495208,439.996746,27.618783,33.160118,19.975975,-0.000000,3.106751
0.020000,499.828450,440.021070,28.285980,33.559637,19.975975,0.000000,3.103486
0.020000,499.153796,440.047940,28.961168,33.959157,19.975975,0.000000,3.100069
0.020000,498.471263,440.077512,29.644346,34.358676,19.975975,0.000000,3.096495
0.020000,497.780851,440.109956,30.335515,34.758196,19.975975,-0.000000,3.092757
0.020000,497.082598,440.145443,31.034674,35.157715,19.975975,0.000000,3.088848
0.020000,496.376507,440.184160,31.741824,35.557235,19.975975,-0.000000,3.084761
0.020000,495.662608,440.226296,32.456964,35.956754,19.975975,0.000000,3.080490
0.020000,494.940929,440.272055,33.180094,36.356274,19.975975,0.000000,3.076027
0.020000,494.211495,440.321649,33.911215,36.755793,19.975975,-0.000000,3.071363
0.020000,493.474336,440.375300,34.650326,37.155313,19.975975,0.000000,3.066491
0.020000,492.729484,440.433242,35.397427,37.554832,19.975975,-0.000000,3.061401
0.020000,491.976980,440.495719,36.152519,37.954352,19.975975,0.000000,3.056084
0.020000,491.216867,440.562988,36.915601,38.353871,19.975975,-0.000000,3.050532
0.020000,490.449197,440.635319,37.686674,38.753391,19.975975,0.000000,3.044733
0.020000,489.674021,440.712994,38.465737,39.152910,19.975975,0.000000,3.038678
0.020000,488.891386,440.796312,39.252790,39.552430,19.975975,-0.000000,3.032356
0.020000,488.101376,440.885580,40.047834,39.951949,19.975975,0.000000,3.025755
0.020000,487.304044,440.981127,40.850868,40.351469,19.975975,-0.000000,3.018862
0.020000,486.499481,441.083294,41.661893,40.750988,19.975975,0.000000,3.011666
0.020000,485.687775,441.192439,42.480908,41.150508,19.975975,0.000000,3.004154
0.020000,484.869020,441.308937,43.307913,41.550027,19.975975,0.000000,2.996311
0.020000,484.043322,441.433183,44.142909,41.949547,19.975975,0.000000,2.988124
0.020000,483.210799,441.565586,44.985895,42.349066,19.975975,0.000000,2.979577
0.020000,482.371585,441.706580,45.836871,42.748586,19.975975,0.000000,2.970655
0.020000,481.525827,441.856613,46.695838,43.148105,19.975975,0.000000,2.961342
0.020000,480.673684,442.016156,47.562796,43.547625,19.975975,0.000000,2.951622
0.020000,479.815319,442.185705,48.437743,43.947144,19.975975,-0.000000,2.941476
0.020000,478.950946,442.365771,49.320681,44.346664,19.975975,0.000000,2.930887
0.020000,478.080762,442.556891,50.211610,44.746183,19.975975,0.000000,2.919837
0.020000,477.205005,442.759625,51.110529,45.145703,19.975975,0.000000,2.908307
0.020000,476.323937,442.974553,52.017438,45.545222,19.975975,0.000000,2.896277
0.020000,475.437838,443.202279,52.932338,45.944742,19.975975,-0.000000,2.883729
0.020000,474.547019,443.443430,53.855228,46.344261,19.975975,0.000000,2.870642
0.020000,473.651821,443.698656,54.786108,46.743781,19.975975,0.000000,2.856996
0.020000,472.752613,443.968627,55.724979,47.143300,19.975975,0.000000,2.842771
0.020000,471.849796,444.254038,56.671840,47.542820,19.975975,0.000000,2.827949
0.020000,470.943830,444.555596,57.626692,47.942339,19.975975,0.000000,2.812510
0.020000,470.035177,444.874034,58.589534,48.341859,19.975975,-0.000000,2.796436
0.020000,469.124377,445.210095,59.560366,48.741378,19.975975,0.000000,2.779709
0.020000,468.211997,445.564537,60.539189,49.140898,19.975975,0.000000,2.762315
0.020000,467.298650,445.938127,61.526002,49.540417,19.975975,-0.000000,2.744239
0.020000,466.385002,446.331639,62.520806,49.939937,19.975975,0.000000,2.725470
0.020000,465.471768,446.745847,63.523599,50.339456,19.975975,-0.000000,2.705999
0.020000,464.559718,447.181520,64.534384,50.738976,19.975975,0.000000,2.685821
0.020000,463.649670,447.639417,65.553159,51.138495,19.975975,0.000000,2.664934
0.020000,462.742489,448.120284,66.579924,51.538015,19.975975,-0.000000,2.643340
0.020000,461.839108,448.624834,67.614679,51.937534,19.975975,0.000000,2.621048
0.020000,460.940490,449.153756,68.657425,52.337054,19.975975,-0.000000,2.598071
0.020000,460.047659,449.707693,69.708161,52.736573,19.975975,0.000000,2.574427
0.020000,459.161674,450.287239,70.766888,53.136093,19.975975,0.000000,2.550143
0.020000,458.283630,450.892933,71.833605,53.535612,19.975975,-0.000000,2.525250
0.020000,457.414656,451.525243,72.908312,53.935132,19.975975,0.000000,2.499788
0.020000,456.555900,452.184565,73.991010,54.334651,19.975975,0.000000,2.473801
0.020000,455.708521,452.871208,75.081698,54.734171,19.975975,0.000000,2.447344
0.020000,454.873685,453.585397,76.180377,55.133690,19.975975,0.000000,2.420473
0.020000,454.052543,454.327259,77.287046,55.533210,19.975975,0.000000,2.393254
0.020000,453.246227,455.096827,78.401705,55.932729,19.975975,0.000000,2.365756
0.020000,452.455836,455.894034,79.524355,56.332249,19.975975,0.000000,2.338053
0.020000,451.682421,456.718713,80.654995,56.731768,19.975975,0.000000,2.310219
0.020000,450.926981,457.570602,81.793626,57.131288,19.975975,0.000000,2.282333
0.020000,450.190453,458.449336,82.940247,57.530807,19.975975,0.000000,2.254473
0.020000,449.473690,459.354475,84.094858,57.930327,19.975975,0.000000,2.226717
0.020000,448.777460,460.285502,85.257460,58.329846,19.975975,0.000000,2.199138
0.020000,448.102447,461.241824,86.428052,58.729366,19.975975,-0.000000,2.171807
0.020000,447.449240,462.222787,87.606635,59.128885,19.975975,0.000000,2.144793
0.020000,446.818336,463.227689,88.793207,59.528405,19.975975,0.000000,2.118156
0.020000,446.210134,464.255786,89.987771,59.927924,19.975975,0.000000,2.091953
0.020000,445.624940,465.306309,91.190324,60.327444,19.975975,0.000000,2.066232
0.020000,445.062969,466.378473,92.400868,60.726963,19.975975,0.000000,2.041035
0.020000,444.524348,467.471485,93.619403,61.126483,19.975975,0.000000,2.016400
0.020000,444.009147,468.584502,94.845928,61.526002,19.975975,-0.000000,1.992356
0.020000,443.517319,469.716784,96.080443,61.925522,19.975975,0.000000,1.968925
0.020000,443.048779,470.867535,97.322949,62.325041,19.975975,0.000000,1.946124
0.020000,442.603380,472.035993,98.573445,62.724560,19.975975,0.000000,1.923965
0.020000,442.180918,473.221414,99.831931,63.124080,19.975975,-0.000000,1.902455
0.020000,441.781134,474.423119,101.098408,63.523599,19.975975,0.000000,1.881594
0.020000,441.403743,475.640418,102.372875,63.923119,19.975975,0.000000,1.861381
0.020000,441.048426,476.872655,103.655333,64.322638,19.975975,-0.000000,1.841810
0.020000,440.714834,478.119213,104.945781,64.722158,19.975975,0.000000,1.822873
0.020000,440.402596,479.379516,106.244219,65.121677,19.975975,0.000000,1.804558
0.020000,440.111322,480.653029,107.550648,65.521197,19.975975,0.000000,1.786853
0.020000,439.840607,481.939260,108.865067,65.920716,19.975975,-0.000000,1.769742
0.020000,439.590050,483.237706,110.187476,66.320236,19.975975,0.000000,1.753210
0.020000,439.359242,484.547904,111.517876,66.719755,19.975975,0.000000,1.737240
0.020000,439.147761,485.869469,112.856267,67.119275,19.975975,-0.000000,1.721813
0.020000,438.955194,487.202019,114.202647,67.518794,19.975975,0.000000,1.706913
0.020000,438.781140,488.545121,115.557018,67.918314,19.975975,-0.000000,1.692522
0.020000,438.625185,489.898507,116.919380,68.317833,19.975975,0.000000,1.678620
0.020000,438.486930,491.261853,118.289732,68.717353,19.975975,0.000000,1.665189
0.020000,438.365984,492.634868,119.668074,69.116872,19.975975,-0.000000,1.652213
0.020000,438.261962,494.017288,121.054407,69.516392,19.975975,0.000000,1.639673
0.020000,438.174489,495.408875,122.448730,69.915911,19.975975,-0.000000,1.627551
0.020000,438.103202,496.809362,123.851043,70.315431,19.975975,0.000000,1.615833
0.020000,438.047746,498.218544,125.261347,70.714950,19.975975,-0.000000,1.604500
0.020000,438.007772,499.636301,126.679641,71.114470,19.975975,0.000000,1.593538
0.020000,437.981834,500.927311,128.105926,71.513989,19.975975,0.000000,1.589975
0.020000,437.955223,502.361339,129.540201,71.913509,19.975975,-0.000000,1.588732
0.020000,437.930241,503.803388,130.982466,72.313028,19.975975,0.000000,1.587509
0.020000,437.906879,505.253455,132.432722,72.712548,19.975975,-0.000000,1.586307
0.020000,437.885126,506.711539,133.890968,73.112067,19.975975,0.000000,1.585126
0.020000,437.864969,508.177637,135.357204,73.511587,19.975975,0.000000,1.583967
0.020000,437.846394,509.651747,136.831431,73.911106,19.975975,-0.000000,1.582830
0.020000,437.829388,511.133866,138.313649,74.310626,19.975975,0.000000,1.581715
0.020000,437.813934,512.623994,139.803856,74.710145,19.975975,-0.000000,1.580624
0.020000,437.800014,514.122127,141.302054,75.109665,19.975975,0.000000,1.579556
0.020000,437.787609,515.628264,142.808243,75.509184,19.975975,0.000000,1.578513
0.020000,437.776701,517.142404,144.322422,75.908704,19.975975,0.000000,1.577493
0.020000,437.767267,518.664544,145.844591,76.308223,19.975975,0.000000,1.576499
0.020000,437.759286,520.194683,147.374751,76.707743,19.975975,-0.000000,1.575531
0.020000,437.752733,521.732819,148.912901,77.107262,19.975975,0.000000,1.574588
0.020000,437.747582,523.278951,150.459041,77.506782,19.975975,0.000000,1.573672
0.020000,437.743808,524.833077,152.013172,77.906301,19.975975,-0.000000,1.572783
0.020000,437.741382,526.395196,153.575293,78.305821,19.975975,0.000000,1.571921
