dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,527.472225,465.517670,0.000235,0.023501,1.175057,58.752867,3.161521
0.020000,527.472213,465.517670,0.000248,0.000640,-1.143081,-115.906905,3.161522
0.020000,527.472184,465.517669,0.000277,0.001438,0.039935,59.150784,3.161523
0.020000,527.472133,465.517668,0.000328,0.002554,0.055809,0.793694,3.161525
0.020000,527.472053,465.517666,0.000407,0.003985,0.071529,0.786017,3.161528
0.020000,527.471939,465.517664,0.000522,0.005725,0.086998,0.773445,3.161532
0.020000,527.471783,465.517661,0.000677,0.007767,0.102093,0.754757,3.161539
0.020000,527.471581,465.517657,0.000879,0.010100,0.116668,0.728730,3.161546
0.020000,527.471327,465.517652,0.001133,0.012711,0.130551,0.694142,3.161556
0.020000,527.471016,465.517646,0.001445,0.015582,0.143546,0.649771,3.161569
0.020000,527.470642,465.517638,0.001819,0.018691,0.155434,0.594399,3.161583
0.020000,527.449051,465.517206,0.023414,1.079763,53.053610,2644.908781,3.161601
0.020000,527.408832,465.516401,0.063641,2.011337,46.578726,-323.744177,3.161621
0.020000,527.362196,465.515466,0.110286,2.332272,16.046746,-1526.598989,3.161644
0.020000,527.308672,465.514392,0.163821,2.676755,17.224143,58.869844,3.161670
0.020000,527.247788,465.513169,0.224717,3.044794,18.401912,58.888430,3.161699
0.020000,527.179075,465.511786,0.293444,3.436342,19.577426,58.775691,3.161730
0.020000,527.102303,465.510239,0.370232,3.839393,20.152538,28.755612,3.161765
0.020000,527.017479,465.508526,0.455073,4.242052,20.132967,-0.978521,3.161802
0.020000,526.924612,465.506647,0.547959,4.644297,20.112245,-1.036140,3.161841
0.020000,526.823713,465.504601,0.648879,5.046004,20.085323,-1.346078,3.161882
0.020000,526.714792,465.502389,0.757823,5.447198,20.059731,-1.279584,3.161925
0.020000,526.597859,465.500008,0.874780,5.847837,20.031953,-1.388929,3.161968
0.020000,526.472928,465.497460,0.999737,6.247857,20.000992,-1.548042,3.162011
0.020000,526.340011,465.494743,1.132681,6.647219,19.968095,-1.644863,3.162055
0.020000,526.199123,465.491856,1.273599,7.045883,19.933226,-1.743449,3.162097
0.020000,526.050278,465.488801,1.422475,7.443810,19.896347,-1.843935,3.162139
0.020000,525.893492,465.485576,1.579294,7.840959,19.857418,-1.946459,3.162179
0.020000,525.728782,465.482181,1.744040,8.237272,19.815657,-2.088053,3.162216
0.020000,525.556164,465.478618,1.916694,8.632717,19.772275,-2.169075,3.162250
0.020000,525.375657,465.474886,2.097240,9.027277,19.727991,-2.214204,3.162280
0.020000,525.187280,465.470986,2.285657,9.420872,19.679738,-2.412639,3.162305
0.020000,524.991053,465.466919,2.481927,9.813476,19.630202,-2.476817,3.162325
0.020000,524.786996,465.462686,2.686028,10.205051,19.578756,-2.572328,3.162338
0.020000,524.575130,465.458290,2.897939,10.595546,19.524725,-2.701505,3.162345
0.020000,524.355479,465.453731,3.117637,10.984923,19.468873,-2.792640,3.162343
0.020000,524.128065,465.449012,3.345100,11.373137,19.410715,-2.907870,3.162333
0.020000,523.892913,465.444136,3.580303,11.760143,19.350276,-3.021985,3.162313
0.020000,523.650047,465.439107,3.823221,12.145910,19.288368,-3.095360,3.162282
0.020000,523.399493,465.433928,4.073828,12.530383,19.223612,-3.237819,3.162239
0.020000,523.141278,465.428603,4.332099,12.913516,19.156658,-3.347702,3.162183
0.020000,522.875428,465.423137,4.598004,13.295268,19.087608,-3.452473,3.162113
0.020000,522.601974,465.417536,4.871516,13.675593,19.016237,-3.568568,3.162028
0.020000,522.320943,465.411806,5.152605,14.054455,18.943097,-3.657013,3.161927
0.020000,522.032366,465.405954,5.441241,14.431820,18.868273,-3.741184,3.161809
0.020000,521.736274,465.399987,5.737393,14.807592,18.788578,-3.984745,3.161671
0.020000,521.432700,465.393915,6.041028,15.181733,18.707091,-4.074386,3.161514
0.020000,521.121676,465.387745,6.352114,15.554287,18.627691,-3.969975,3.161335
0.020000,520.803236,465.381489,6.670615,15.925074,18.539334,-4.417852,3.161134
0.020000,520.477415,465.375157,6.996498,16.294129,18.452757,-4.328875,3.160909
0.020000,520.144249,465.368762,7.329725,16.661355,18.361297,-4.572960,3.160659
0.020000,519.803774,465.362317,7.670261,17.026783,18.271384,-4.495650,3.160381
0.020000,519.456031,465.355835,8.018065,17.390202,18.170975,-5.020447,3.160075
0.020000,519.101056,465.349332,8.373098,17.751694,18.074597,-4.818931,3.159739
0.020000,518.738890,465.342825,8.735323,18.111245,17.977529,-4.853366,3.159372
0.020000,518.369575,465.336331,9.104696,18.468625,17.868999,-5.426511,3.158972
0.020000,517.993153,465.329870,9.481173,18.823874,17.762453,-5.327295,3.158536
0.020000,517.609668,465.323461,9.864712,19.176926,17.652606,-5.492376,3.158065
0.020000,517.219165,465.317127,10.255266,19.527711,17.539247,-5.667933,3.157554
0.020000,516.821691,465.310890,10.652789,19.876154,17.422159,-5.854399,3.157004
0.020000,516.417292,465.304776,11.057233,20.222217,17.303162,-5.949867,3.156411
0.020000,516.006017,465.298811,11.468552,20.565920,17.185151,-5.900548,3.155775
0.020000,515.587919,465.293023,11.886690,20.906919,17.049960,-6.759539,3.155092
0.020000,515.163051,465.287441,12.311595,21.245256,16.916833,-6.656360,3.154361
0.020000,514.731459,465.282097,12.743220,21.581218,16.798100,-5.936669,3.153581
0.020000,514.293209,465.277024,13.181499,21.913968,16.637478,-8.031061,3.152747
0.020000,513.848348,465.272257,13.626385,22.244319,16.517563,-5.995755,3.151859
0.020000,513.396944,465.267834,14.077812,22.571318,16.349975,-8.379428,3.150914
0.020000,512.939052,465.263794,14.535721,22.895458,16.207001,-7.148701,3.149910
0.020000,512.474735,465.260178,15.000052,23.216558,16.054969,-7.601595,3.148844
0.020000,512.004061,465.257029,15.470737,23.534246,15.884432,-8.526828,3.147713
0.020000,511.527096,465.254393,15.947710,23.848625,15.718913,-8.275958,3.146516
0.020000,511.043909,465.252318,16.430901,24.159571,15.547317,-8.579808,3.145249
0.020000,510.554572,465.250854,16.920240,24.466955,15.369223,-8.904695,3.143909
0.020000,510.059160,465.250055,17.415653,24.770639,15.184193,-9.251484,3.142493
0.020000,509.557750,465.249975,17.917062,25.070475,14.991772,-9.621066,3.141000
0.020000,509.050425,465.250673,18.424388,25.366304,14.791485,-10.014359,3.139424
0.020000,508.537264,465.252209,18.937551,25.658136,14.591584,-9.995033,3.137764
0.020000,508.018353,465.254646,19.456468,25.945834,14.384898,-10.334322,3.136016
0.020000,507.493789,465.258051,19.981043,26.228739,14.145237,-11.983024,3.134176
0.020000,506.963657,465.262492,20.511193,26.507539,13.939997,-10.262008,3.132241
0.020000,506.428064,465.268043,21.046816,26.781115,13.678791,-13.060283,3.130206
0.020000,505.887099,465.274777,21.587822,27.050314,13.459994,-10.939848,3.128069
0.020000,505.340880,465.282773,22.134100,27.313883,13.178419,-14.078782,3.125825
0.020000,504.789515,465.292112,22.685544,27.572232,12.917444,-13.048754,3.123470
0.020000,504.233110,465.302880,23.242053,27.825452,12.661000,-12.822171,3.121000
0.020000,503.671793,465.315163,23.803504,28.072541,12.354477,-15.326139,3.118410
0.020000,503.105691,465.329054,24.369777,28.313664,12.056141,-14.916827,3.115695
0.020000,502.534933,465.344646,24.940748,28.548546,11.744095,-15.602284,3.112850
0.020000,501.959658,465.362037,25.516286,28.776892,11.417296,-16.339944,3.109870
0.020000,501.380009,465.381331,26.096256,28.998491,11.079975,-16.866078,3.106751
0.020000,500.796132,465.402631,26.680521,29.213260,10.738449,-17.076279,3.103486
0.020000,500.208194,465.426045,27.268926,29.420219,10.347908,-19.527043,3.100069
0.020000,499.616361,465.451687,27.861314,29.619395,9.958812,-19.454809,3.096495
0.020000,499.020795,465.479673,28.457536,29.811129,9.586700,-18.605621,3.092757
0.020000,498.421696,465.510120,29.057408,29.993609,9.123999,-23.135022,3.088848
0.020000,497.819242,465.543152,29.660768,30.167971,8.718122,-20.293850,3.084761
0.020000,497.213641,465.578896,30.267423,30.332747,8.238782,-23.967009,3.080490
0.020000,496.605107,465.617479,30.877179,30.487796,7.752441,-24.317042,3.076027
0.020000,495.993861,465.659036,31.489836,30.632857,7.253086,-24.967780,3.071363
0.020000,495.380136,465.703702,32.105184,30.767422,6.728228,-26.242907,3.066491
0.020000,494.764177,465.751615,32.723003,30.890951,6.176433,-27.589747,3.061401
0.020000,494.146246,465.802917,33.343061,31.002876,5.596257,-29.008792,3.056084
0.020000,493.526615,465.857752,33.965113,31.102601,4.986257,-30.499982,3.050532
0.020000,492.905576,465.916265,34.588903,31.189501,4.345005,-32.062586,3.044733
0.020000,492.283429,465.978603,35.214165,31.263104,3.680129,-33.243841,3.038678
0.020000,491.660482,466.044918,35.840631,31.323317,3.010677,-33.472572,3.032356
0.020000,491.037087,466.115356,36.467993,31.368111,2.239715,-38.548107,3.025755
0.020000,490.413577,466.190070,37.095964,31.398524,1.520616,-35.954963,3.018862
0.020000,489.790332,466.269209,37.724213,31.412462,0.696888,-41.186398,3.011666
0.020000,489.167740,466.352921,38.352408,31.409756,-0.135257,-41.607220,3.004154
0.020000,488.546203,466.441353,38.980204,31.389789,-0.998350,-43.154654,2.996311
0.020000,487.926148,466.534650,39.607239,31.351745,-1.902240,-45.194514,2.988124
0.020000,487.308020,466.632951,40.233135,31.294792,-2.847643,-47.270168,2.979577
0.020000,486.692287,466.736393,40.857497,31.218093,-3.834917,-49.363671,2.970655
0.020000,486.079437,466.845102,41.479913,31.120814,-4.863977,-51.453037,2.961342
0.020000,485.469980,466.959202,42.099959,31.002316,-5.924916,-53.046922,2.951622
0.020000,484.864431,467.078806,42.717206,30.862341,-6.998707,-53.689549,2.941476
0.020000,484.263354,467.204014,43.331186,30.698992,-8.167486,-58.438969,2.930887
0.020000,483.667303,467.334917,43.941442,30.512816,-9.308774,-57.064407,2.919837
0.020000,483.076863,467.471592,44.547494,30.302605,-10.510536,-60.088055,2.908307
0.020000,482.492636,467.614097,45.148850,30.067776,-11.741455,-61.545966,2.896277
