dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,13.700364,784.017389,0.000235,0.023463,1.173158,58.657908,6.283135
0.020000,13.700359,784.017389,0.000240,0.000261,-1.160100,-116.662898,6.283135
0.020000,13.700347,784.017389,0.000252,0.000588,0.016322,58.821109,6.283136
0.020000,13.700327,784.017389,0.000272,0.001045,0.022850,0.326366,6.283137
0.020000,13.700294,784.017389,0.000305,0.001632,0.029374,0.326240,6.283138
0.020000,13.700247,784.017389,0.000352,0.002350,0.035895,0.326034,6.283140
0.020000,13.700183,784.017389,0.000416,0.003198,0.042410,0.325728,6.283142
0.020000,13.700099,784.017389,0.000500,0.004177,0.048916,0.325303,6.283146
0.020000,13.699994,784.017389,0.000605,0.005285,0.055411,0.324736,6.283150
0.020000,13.699863,784.017389,0.000736,0.006523,0.061891,0.324010,6.283155
0.020000,13.699705,784.017389,0.000894,0.007890,0.068353,0.323104,6.283161
0.020000,13.699518,784.017389,0.001081,0.009385,0.074793,0.321997,6.283169
0.020000,13.699298,784.017389,0.001301,0.011010,0.081206,0.320670,6.283177
0.020000,13.708318,784.017389,0.010322,0.451046,22.001820,1096.030671,0.000002
0.020000,13.760818,784.017389,0.062822,2.624966,108.695995,4334.708759,0.000014
0.020000,13.820551,784.017390,0.122555,2.986640,18.083714,-4530.614014,0.000027
0.020000,13.887984,784.017393,0.189988,3.371652,19.250617,58.345150,0.000041
0.020000,13.963350,784.017396,0.265354,3.768337,19.834239,29.181090,0.000058
0.020000,14.046651,784.017402,0.348655,4.165029,19.834569,0.016492,0.000076
0.020000,14.137886,784.017410,0.439889,4.561727,19.834934,0.018245,0.000096
0.020000,14.237054,784.017420,0.539058,4.958434,19.835332,0.019920,0.000118
0.020000,14.344157,784.017434,0.646161,5.355149,19.835767,0.021746,0.000141
0.020000,14.459195,784.017452,0.761199,5.751874,19.836235,0.023388,0.000166
0.020000,14.582167,784.017474,0.884171,6.148609,19.836739,0.025219,0.000193
0.020000,14.713074,784.017501,1.015078,6.545354,19.837276,0.026838,0.000221
0.020000,14.851916,784.017534,1.153920,6.942111,19.837851,0.028732,0.000251
0.020000,14.998694,784.017573,1.300698,7.338880,19.838456,0.030268,0.000283
0.020000,15.153407,784.017620,1.455411,7.735662,19.839100,0.032184,0.000316
0.020000,15.316056,784.017674,1.618060,8.132458,19.839777,0.033876,0.000351
0.020000,15.486642,784.017737,1.788645,8.529268,19.840487,0.035503,0.000388
0.020000,15.665163,784.017810,1.967167,8.926092,19.841234,0.037333,0.000426
0.020000,15.851622,784.017893,2.153626,9.322933,19.842016,0.039104,0.000466
0.020000,16.046018,784.017987,2.348022,9.719789,19.842832,0.040787,0.000508
0.020000,16.248351,784.018095,2.550355,10.116663,19.843682,0.042521,0.000551
0.020000,16.458622,784.018215,2.760626,10.513554,19.844567,0.044256,0.000595
0.020000,16.676831,784.018350,2.978835,10.910464,19.845487,0.045992,0.000641
0.020000,16.902979,784.018500,3.204983,11.307393,19.846442,0.047730,0.000689
0.020000,17.137066,784.018667,3.439070,11.704342,19.847431,0.049468,0.000738
0.020000,17.379092,784.018852,3.681096,12.101311,19.848455,0.051208,0.000789
0.020000,17.629058,784.019056,3.931062,12.498301,19.849514,0.052949,0.000841
0.020000,17.886964,784.019280,4.188969,12.895313,19.850608,0.054691,0.000894
0.020000,18.152811,784.019525,4.454816,13.292348,19.851737,0.056434,0.000950
0.020000,18.426599,784.019792,4.728604,13.689406,19.852900,0.058179,0.001006
0.020000,18.708329,784.020084,5.010333,14.086488,19.854099,0.059918,0.001064
0.020000,18.998000,784.020401,5.300005,14.483594,19.855324,0.061283,0.001123
0.020000,19.295615,784.020744,5.597620,14.880726,19.856599,0.063729,0.001184
0.020000,19.601172,784.021115,5.903178,15.277884,19.857902,0.065162,0.001246
0.020000,19.914673,784.021516,6.216679,15.675069,19.859230,0.066400,0.001309
0.020000,20.236119,784.021947,6.538125,16.072281,19.860609,0.068952,0.001374
0.020000,20.565509,784.022410,6.867515,16.469522,19.862014,0.070235,0.001440
0.020000,20.902844,784.022907,7.204851,16.866791,19.863451,0.071833,0.001507
0.020000,21.248125,784.023440,7.550133,17.264089,19.864933,0.074111,0.001575
0.020000,21.601353,784.024008,7.903361,17.661418,19.866436,0.075160,0.001645
