dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,13.699094,758.617389,0.000235,0.023463,1.173158,58.657908,6.283135
0.020000,13.699094,758.617389,0.001173,0.070389,2.346316,58.657908,6.283135
0.020000,13.699094,758.617389,0.003285,0.140779,3.519474,58.657908,6.283136
0.020000,13.699094,758.617389,0.007039,0.234632,4.692633,58.657908,6.283137
0.020000,13.699094,758.617389,0.012905,0.351947,5.865791,58.657908,6.283138
0.020000,13.699094,758.617389,0.021351,0.492726,7.038949,58.657908,6.283140
0.020000,13.699094,758.617389,0.032848,0.656969,8.212107,58.657908,6.283142
0.020000,13.699094,758.617389,0.047865,0.844674,9.385265,58.657908,6.283146
0.020000,13.699094,758.617389,0.066870,1.055842,10.558423,58.657908,6.283150
0.020000,13.699094,758.617389,0.090333,1.290474,11.731582,58.657908,6.283155
0.020000,13.699094,758.617389,0.118724,1.548569,12.904740,58.657908,6.283161
0.020000,13.699094,758.617389,0.152511,1.830127,14.077898,58.657908,6.283169
0.020000,13.699094,758.617389,0.192163,2.135148,15.251056,58.657908,6.283177
0.020000,13.708370,758.617389,0.238151,2.463632,16.424214,58.657908,0.000002
0.020000,13.761162,758.617389,0.290943,2.815580,17.597372,58.657908,0.000014
0.020000,13.821228,758.617390,0.351009,3.190990,18.770531,58.657908,0.000027
0.020000,13.889036,758.617393,0.418817,3.589864,19.943689,58.657908,0.000041
0.020000,13.964822,758.617396,0.494603,3.988738,19.943689,0.000000,0.000058
0.020000,14.048586,758.617402,0.578367,4.387612,19.943689,-0.000000,0.000076
0.020000,14.140327,758.617410,0.670108,4.786485,19.943689,0.000000,0.000096
0.020000,14.240045,758.617421,0.769826,5.185359,19.943689,-0.000000,0.000118
0.020000,14.347741,758.617435,0.877522,5.584233,19.943689,0.000000,0.000141
0.020000,14.463415,758.617452,0.993196,5.983107,19.943689,-0.000000,0.000166
0.020000,14.587065,758.617475,1.116847,6.381980,19.943689,0.000000,0.000193
0.020000,14.718694,758.617502,1.248475,6.780854,19.943689,0.000000,0.000221
0.020000,14.858300,758.617535,1.388081,7.179728,19.943689,-0.000000,0.000251
0.020000,15.005883,758.617574,1.535664,7.578602,19.943689,0.000000,0.000283
0.020000,15.161444,758.617621,1.691225,7.977476,19.943689,0.000000,0.000316
0.020000,15.324982,758.617675,1.854763,8.376349,19.943689,-0.000000,0.000351
0.020000,15.496498,758.617739,2.026279,8.775223,19.943689,-0.000000,0.000388
0.020000,15.675991,758.617812,2.205772,9.174097,19.943689,0.000000,0.000426
0.020000,15.863461,758.617896,2.393243,9.572971,19.943689,0.000000,0.000466
0.020000,16.058910,758.617991,2.588691,9.971844,19.943689,-0.000000,0.000508
0.020000,16.262335,758.618098,2.792116,10.370718,19.943689,-0.000000,0.000551
0.020000,16.473738,758.618219,3.003520,10.769592,19.943689,0.000000,0.000595
0.020000,16.693119,758.618355,3.222900,11.168466,19.943689,-0.000000,0.000641
0.020000,16.920477,758.618506,3.450258,11.567340,19.943689,0.000000,0.000689
0.020000,17.155812,758.618674,3.685594,11.966213,19.943689,0.000000,0.000738
0.020000,17.399125,758.618860,3.928907,12.365087,19.943689,0.000000,0.000789
0.020000,17.650416,758.619065,4.180197,12.763961,19.943689,0.000000,0.000841
0.020000,17.909683,758.619290,4.439465,13.162835,19.943689,0.000000,0.000894
0.020000,18.176929,758.619536,4.706711,13.561708,19.943689,-0.000000,0.000950
0.020000,18.452152,758.619805,4.981933,13.960582,19.943689,0.000000,0.001006
0.020000,18.735352,758.620098,5.265134,14.359456,19.943689,0.000000,0.001064
0.020000,19.026529,758.620417,5.556312,14.758330,19.943689,0.000000,0.001123
0.020000,19.325685,758.620762,5.855467,15.157203,19.943689,-0.000000,0.001184
0.020000,19.632817,758.621135,6.162600,15.556077,19.943689,0.000000,0.001246
0.020000,19.947927,758.621538,6.477710,15.954951,19.943689,0.000000,0.001309
0.020000,20.271015,758.621971,6.800798,16.353825,19.943689,-0.000000,0.001374
0.020000,20.602080,758.622437,7.131863,16.752699,19.943689,0.000000,0.001440
0.020000,20.941122,758.622936,7.470906,17.151572,19.943689,-0.000000,0.001507
0.020000,21.288142,758.623471,7.817926,17.550446,19.943689,0.000000,0.001575
0.020000,21.643139,758.624043,8.172924,17.949320,19.943689,0.000000,0.001645
0.020000,22.006113,758.624653,8.535899,18.348194,19.943689,0.000000,0.001716
0.020000,22.377066,758.625303,8.906851,18.747067,19.943689,0.000000,0.001788
0.020000,22.755995,758.625994,9.285782,19.145941,19.943689,0.000000,0.001861
0.020000,23.142902,758.626729,9.672689,19.544815,19.943689,0.000000,0.001935
0.020000,23.537786,758.627508,10.067574,19.943689,19.943689,-0.000000,0.002011
0.020000,23.940648,758.628333,10.470437,20.342563,19.943689,0.000000,0.002087
0.020000,24.351487,758.629207,10.881277,20.741436,19.943689,0.000000,0.002165
0.020000,24.770303,758.630130,11.300094,21.140310,19.943689,0.000000,0.002243
0.020000,25.197097,758.631104,11.726889,21.539184,19.943689,0.000000,0.002323
0.020000,25.631868,758.632131,12.161661,21.938058,19.943689,-0.000000,0.002403
