dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,13.697823,733.217389,0.000235,0.023463,1.173158,58.657908,6.283135
0.020000,13.697828,733.217389,0.000240,0.000261,-1.160100,-116.662898,6.283135
0.020000,13.697840,733.217389,0.000252,0.000588,0.016322,58.821109,6.283136
0.020000,13.697861,733.217389,0.000272,0.001045,0.022850,0.326366,6.283137
0.020000,13.697894,733.217389,0.000305,0.001632,0.029374,0.326240,6.283138
0.020000,13.697941,733.217389,0.000352,0.002350,0.035895,0.326034,6.283140
0.020000,13.698005,733.217389,0.000416,0.003198,0.042410,0.325728,6.283142
0.020000,13.698088,733.217389,0.000500,0.004177,0.048916,0.325303,6.283146
0.020000,13.698194,733.217389,0.000605,0.005285,0.055411,0.324736,6.283150
0.020000,13.698324,733.217389,0.000736,0.006523,0.061891,0.324010,6.283155
0.020000,13.698482,733.217389,0.000894,0.007890,0.068353,0.323104,6.283161
0.020000,13.698670,733.217389,0.001081,0.009385,0.074793,0.321997,6.283169
0.020000,13.698890,733.217389,0.001301,0.011010,0.081206,0.320670,6.283177
0.020000,13.708421,733.217389,0.010833,0.476569,23.277953,1159.837353,0.000002
0.020000,13.761506,733.217389,0.063918,2.654246,108.883862,4280.295450,0.000014
0.020000,13.821905,733.217390,0.124316,3.019930,18.284189,-4529.983677,0.000027
0.020000,13.890089,733.217393,0.192500,3.409202,19.463602,58.970671,0.000041
0.020000,13.966294,733.217396,0.268706,3.810264,20.053138,29.476802,0.000058
0.020000,14.050521,733.217402,0.352932,4.211321,20.052808,-0.016488,0.000076
0.020000,14.142768,733.217410,0.445179,4.612370,20.052444,-0.018206,0.000096
0.020000,14.243036,733.217421,0.545448,5.013410,20.052044,-0.020003,0.000118
0.020000,14.351325,733.217435,0.653737,5.414443,20.051611,-0.021648,0.000141
0.020000,14.467634,733.217453,0.770046,5.815465,20.051142,-0.023479,0.000166
0.020000,14.591964,733.217475,0.894375,6.216478,20.050639,-0.025119,0.000193
0.020000,14.724314,733.217502,1.026725,6.617480,20.050100,-0.026972,0.000221
0.020000,14.864683,733.217536,1.167094,7.018471,20.049529,-0.028548,0.000251
0.020000,15.013072,733.217575,1.315483,7.419449,20.048919,-0.030486,0.000283
0.020000,15.169480,733.217622,1.471892,7.820415,20.048278,-0.032040,0.000316
0.020000,15.333908,733.217677,1.636319,8.221367,20.047602,-0.033820,0.000351
0.020000,15.506354,733.217741,1.808765,8.622305,20.046889,-0.035666,0.000388
0.020000,15.686818,733.217814,1.989230,9.023227,20.046142,-0.037307,0.000426
0.020000,15.875301,733.217898,2.177712,9.424135,20.045362,-0.039008,0.000466
0.020000,16.071801,733.217994,2.374213,9.825026,20.044546,-0.040797,0.000508
0.020000,16.276319,733.218102,2.578731,10.225900,20.043696,-0.042535,0.000551
0.020000,16.488854,733.218224,2.791266,10.626756,20.042810,-0.044272,0.000595
0.020000,16.709406,733.218360,3.011818,11.027594,20.041890,-0.046007,0.000641
0.020000,16.937974,733.218512,3.240386,11.428412,20.040935,-0.047742,0.000689
0.020000,17.174559,733.218681,3.476970,11.829211,20.039946,-0.049475,0.000738
0.020000,17.419158,733.218868,3.721570,12.229990,20.038922,-0.051207,0.000789
0.020000,17.671773,733.219074,3.974185,12.630747,20.037863,-0.052938,0.000841
0.020000,17.932403,733.219300,4.234815,13.031482,20.036769,-0.054668,0.000894
0.020000,18.201047,733.219548,4.503459,13.432195,20.035642,-0.056397,0.000950
0.020000,18.477704,733.219818,4.780116,13.832885,20.034479,-0.058124,0.001006
0.020000,18.762375,733.220113,5.064787,14.233550,20.033282,-0.059857,0.001064
0.020000,19.055059,733.220433,5.357471,14.634191,20.032043,-0.061968,0.001123
0.020000,19.355755,733.220780,5.658167,15.034807,20.030783,-0.062987,0.001184
0.020000,19.664462,733.221155,5.966875,15.435396,20.029482,-0.065029,0.001246
0.020000,19.981181,733.221559,6.283594,15.835959,20.028137,-0.067268,0.001309
0.020000,20.305911,733.221995,6.608324,16.236495,20.026773,-0.068180,0.001374
0.020000,20.638650,733.222463,6.941064,16.637002,20.025366,-0.070374,0.001440
0.020000,20.979400,733.222965,7.281814,17.037480,20.023921,-0.072249,0.001507
0.020000,21.328158,733.223503,7.630573,17.437929,20.022452,-0.073437,0.001575
0.020000,21.684924,733.224077,7.987339,17.838348,20.020935,-0.075867,0.001645
0.020000,22.049699,733.224690,8.352114,18.238736,20.019395,-0.077009,0.001716
0.020000,22.422480,733.225343,8.724896,18.639092,20.017817,-0.078900,0.001788
0.020000,22.803268,733.226038,9.105684,19.039416,20.016192,-0.081217,0.001861
0.020000,23.192061,733.226776,9.494479,19.439707,20.014555,-0.081860,0.001935
0.020000,23.588859,733.227559,9.891278,19.839965,20.012869,-0.084277,0.002011
0.020000,23.993662,733.228388,10.296082,20.240187,20.011139,-0.086546,0.002087
0.020000,24.406469,733.229266,10.708889,20.640375,20.009397,-0.087074,0.002165
0.020000,24.827278,733.230194,11.129700,21.040528,20.007608,-0.089444,0.002243
0.020000,25.256090,733.231172,11.558512,21.440643,20.005785,-0.091177,0.002323
0.020000,25.692903,733.232205,11.995327,21.840722,20.003926,-0.092909,0.002403
0.020000,26.137717,733.233292,12.440142,22.240762,20.002034,-0.094638,0.002484
0.020000,26.590531,733.234435,12.892957,22.640765,20.000106,-0.096366,0.002566
0.020000,27.051344,733.235637,13.353772,23.040727,19.998145,-0.098093,0.002650
0.020000,27.520156,733.236899,13.822585,23.440650,19.996148,-0.099817,0.002733
0.020000,27.996964,733.238222,14.299396,23.840533,19.994117,-0.101541,0.002818
0.020000,28.481770,733.239609,14.784203,24.240374,19.992052,-0.103263,0.002904
0.020000,28.974571,733.241061,15.277007,24.640173,19.989952,-0.104984,0.002990
0.020000,29.475367,733.242580,15.777805,25.039929,19.987818,-0.106704,0.003077
0.020000,29.984158,733.244168,16.286598,25.439642,19.985650,-0.108423,0.003164
0.020000,30.500941,733.245826,16.803384,25.839311,19.983443,-0.110322,0.003252
0.020000,31.025717,733.247556,17.328163,26.238935,19.981193,-0.112547,0.003341
0.020000,31.558484,733.249360,17.860933,26.638514,19.978935,-0.112867,0.003430
0.020000,32.099242,733.251239,18.401694,27.038046,19.976629,-0.115306,0.003520
0.020000,32.647989,733.253196,18.950445,27.437531,19.974259,-0.118493,0.003610
0.020000,33.204725,733.255231,19.507184,27.836970,19.971911,-0.117402,0.003701
0.020000,33.769448,733.257347,20.071911,28.236359,19.969481,-0.121526,0.003792
0.020000,34.342158,733.259545,20.644625,28.635700,19.967041,-0.121992,0.003884
0.020000,34.922853,733.261827,21.225325,29.034991,19.964554,-0.124323,0.003976
0.020000,35.511533,733.264195,21.814010,29.434232,19.962043,-0.125546,0.004068
0.020000,36.108196,733.266649,22.410678,29.833422,19.959479,-0.128221,0.004160
0.020000,36.712842,733.269193,23.015329,30.232560,19.956914,-0.128274,0.004253
0.020000,37.325470,733.271827,23.627962,30.631645,19.954268,-0.132297,0.004346
0.020000,37.946077,733.274552,24.248576,31.030678,19.951627,-0.132049,0.004438
0.020000,38.574664,733.277372,24.877169,31.429657,19.948940,-0.134306,0.004531
0.020000,39.211229,733.280286,25.513741,31.828581,19.946209,-0.136575,0.004624
0.020000,39.855771,733.283296,26.158290,32.227449,19.943438,-0.138560,0.004717
0.020000,40.508289,733.286405,26.810815,32.626263,19.940658,-0.139007,0.004810
0.020000,41.168781,733.289613,27.471315,33.025019,19.937827,-0.141535,0.004903
0.020000,41.837247,733.292922,28.139790,33.423718,19.934962,-0.143255,0.004996
0.020000,42.513686,733.296333,28.816237,33.822360,19.932062,-0.144975,0.005088
0.020000,43.198096,733.299847,29.500656,34.220942,19.929128,-0.146694,0.005181
0.020000,43.890476,733.303466,30.193045,34.619465,19.926160,-0.148412,0.005273
0.020000,44.590824,733.307191,30.893404,35.017929,19.923158,-0.150130,0.005365
0.020000,45.299141,733.311023,31.601730,35.416331,19.920121,-0.151847,0.005456
0.020000,46.015423,733.314964,32.318024,35.814672,19.917049,-0.153565,0.005547
0.020000,46.739671,733.319014,33.042283,36.212951,19.913944,-0.155282,0.005637
0.020000,47.471882,733.323175,33.774506,36.611167,19.910804,-0.157000,0.005727
0.020000,48.212057,733.327447,34.514692,37.009319,19.907616,-0.159400,0.005817
0.020000,48.960192,733.331832,35.262840,37.407407,19.904411,-0.160259,0.005905
0.020000,49.716287,733.336330,36.018949,37.805431,19.901174,-0.161808,0.005993
0.020000,50.480341,733.340943,36.783017,38.203389,19.897894,-0.164011,0.006081
0.020000,51.252352,733.345671,37.555042,38.601280,19.894555,-0.166968,0.006167
0.020000,52.032319,733.350515,38.335025,38.999105,19.891236,-0.165954,0.006253
0.020000,52.820241,733.355475,39.122962,39.396861,19.887835,-0.170040,0.006338
0.020000,53.616116,733.360553,39.918853,39.794550,19.884418,-0.170828,0.006422
0.020000,54.419942,733.365749,40.722696,40.192169,19.880970,-0.172409,0.006505
0.020000,55.231719,733.371063,41.534491,40.589719,19.877474,-0.174831,0.006587
0.020000,56.051445,733.376495,42.354235,40.987198,19.873956,-0.175896,0.006668
0.020000,56.879119,733.382047,43.181927,41.384606,19.870403,-0.177617,0.006747
0.020000,57.714738,733.387718,44.017565,41.781942,19.866792,-0.180569,0.006826
0.020000,58.558302,733.393509,44.861150,42.179205,19.863187,-0.180225,0.006903
0.020000,59.409810,733.399419,45.712677,42.576396,19.859518,-0.183470,0.006979
0.020000,60.269259,733.405449,46.572148,42.973512,19.855808,-0.185511,0.007053
0.020000,61.136648,733.411599,47.439559,43.370554,19.852093,-0.185722,0.007126
0.020000,62.011976,733.417868,48.314909,43.767520,19.848326,-0.188391,0.007198
0.020000,62.895241,733.424257,49.198197,44.164411,19.844523,-0.190106,0.007268
0.020000,63.786442,733.430765,50.089422,44.561224,19.840687,-0.191821,0.007336
0.020000,64.685577,733.437391,50.988581,44.957961,19.836813,-0.193719,0.007403
0.020000,65.592644,733.444135,51.895674,45.354619,19.832912,-0.195036,0.007468
0.020000,66.507642,733.450998,52.810697,45.751198,19.828974,-0.196883,0.007531
0.020000,67.430570,733.457976,53.733651,46.147698,19.825000,-0.198704,0.007592
0.020000,68.361425,733.465071,54.664534,46.544118,19.820992,-0.200427,0.007651
0.020000,69.300207,733.472282,55.603343,46.940457,19.816944,-0.202385,0.007709
0.020000,70.246913,733.479606,56.550077,47.336715,19.812868,-0.203786,0.007764
0.020000,71.201541,733.487043,57.504735,47.732890,19.808757,-0.205539,0.007817
0.020000,72.164091,733.494592,58.467315,48.128982,19.804611,-0.207329,0.007868
0.020000,73.134561,733.502252,59.437814,48.524991,19.800430,-0.209064,0.007917
0.020000,74.112948,733.510020,60.416233,48.920915,19.796210,-0.210985,0.007963
0.020000,75.099252,733.517896,61.402568,49.316754,19.791953,-0.212859,0.008007
0.020000,76.093470,733.525878,62.396818,49.712507,19.787677,-0.213782,0.008048
0.020000,77.095601,733.533964,63.398981,50.108174,19.783353,-0.216205,0.008087
0.020000,78.105643,733.542151,64.409057,50.503754,19.778990,-0.218140,0.008124
0.020000,79.123594,733.550438,65.427042,50.899246,19.774612,-0.218911,0.008158
0.020000,80.149453,733.558823,66.452934,51.294650,19.770174,-0.221925,0.008189
0.020000,81.183217,733.567303,67.486734,51.689964,19.765726,-0.222365,0.008217
0.020000,82.224886,733.575876,68.528438,52.085189,19.761220,-0.225289,0.008242
0.020000,83.274457,733.584539,69.578044,52.480323,19.756701,-0.225971,0.008264
0.020000,84.331928,733.593289,70.635551,52.875365,19.752129,-0.228619,0.008284
0.020000,85.397297,733.602124,71.700958,53.270316,19.747535,-0.229683,0.008300
0.020000,86.470564,733.611039,72.774261,53.665174,19.742901,-0.231695,0.008313
0.020000,87.551725,733.620033,73.855460,54.059939,19.738229,-0.233584,0.008323
0.020000,88.640780,733.629101,74.944552,54.454609,19.733529,-0.235010,0.008330
0.020000,89.737725,733.638241,76.041536,54.849185,19.728791,-0.236918,0.008333
