Position, Velocity, Delta Time, 
0.000302, 0.012084, 50, 
0.000433, 0.002618, 50, 
0.003063, 0.052596, 50, 
0.007738, 0.093505, 50, 
0.015043, 0.146102, 50, 
0.025563, 0.210387, 50, 
0.039881, 0.286362, 50, 
0.058582, 0.374027, 50, 
0.082251, 0.473383, 50, 
0.111473, 0.584431, 50, 
0.146539, 0.701329, 50, 
0.187451, 0.818233, 50, 
0.234208, 0.935143, 50, 
0.286811, 1.052062, 50, 
0.345261, 1.168990, 50, 
0.409557, 1.285929, 50, 
0.479701, 1.402878, 50, 
0.555693, 1.519840, 50, 
0.637534, 1.636815, 50, 
0.725224, 1.753804, 50, 
0.818764, 1.870809, 50, 
0.918156, 1.987830, 50, 
1.023399, 2.104869, 50, 
1.134496, 2.221926, 50, 
1.251446, 2.339002, 50, 
1.374251, 2.456099, 50, 
1.502912, 2.573218, 50, 
1.637430, 2.690359, 50, 
1.777806, 2.807524, 50, 
1.924041, 2.924714, 50, 
2.076138, 3.041930, 50, 
2.234097, 3.159172, 50, 
2.397919, 3.276443, 50, 
2.567606, 3.393742, 50, 
2.743159, 3.511072, 50, 
2.924581, 3.628433, 50, 
3.111872, 3.745826, 50, 
3.305035, 3.863252, 50, 
3.504071, 3.980713, 50, 
3.708981, 4.098209, 50, 
3.919768, 4.215742, 50, 
4.136434, 4.333312, 50, 
4.358980, 4.450921, 50, 
4.587408, 4.568570, 50, 
4.821721, 4.686260, 50, 
5.061921, 4.803992, 50, 
5.308009, 4.921768, 50, 
5.559989, 5.039587, 50, 
5.817861, 5.157452, 50, 
6.081629, 5.275364, 50, 
6.351296, 5.393323, 50, 
6.626862, 5.511331, 50, 
6.908332, 5.629389, 50, 
7.195707, 5.747498, 50, 
7.488990, 5.865659, 50, 
7.788183, 5.983874, 50, 
8.093290, 6.102143, 50, 
8.404314, 6.220467, 50, 
8.721256, 6.338848, 50, 
9.044121, 6.457287, 50, 
9.372910, 6.575785, 50, 
9.707627, 6.694343, 50, 
10.048275, 6.812963, 50, 
10.394857, 6.931645, 50, 
10.747377, 7.050390, 50, 
11.105837, 7.169200, 50, 
11.470241, 7.288076, 50, 
11.840592, 7.407019, 50, 
12.216893, 7.526030, 50, 
12.599149, 7.645111, 50, 
12.987362, 7.764262, 50, 
13.381536, 7.883485, 50, 
13.781675, 8.002780, 50, 
14.187782, 8.122149, 50, 
14.599862, 8.241593, 50, 
15.017918, 8.361114, 50, 
15.441953, 8.480712, 50, 
15.871973, 8.600388, 50, 
16.307980, 8.720144, 50, 
16.749979, 8.839980, 50, 
17.197974, 8.959899, 50, 
17.651969, 9.079900, 50, 
18.111968, 9.199986, 50, 
18.577976, 9.320157, 50, 
19.049997, 9.440414, 50, 
19.528035, 9.560759, 50, 
20.012094, 9.681193, 50, 
20.502180, 9.801716, 50, 
20.998297, 9.922330, 50, 
21.500448, 10.043036, 50, 
22.008640, 10.163835, 50, 
22.522877, 10.284728, 50, 
23.043163, 10.405717, 50, 
23.569503, 10.526802, 50, 
24.101902, 10.647984, 50, 
24.640365, 10.769265, 50, 
25.184897, 10.890646, 50, 
25.735504, 11.012127, 50, 
26.292189, 11.133710, 50, 
26.854959, 11.255396, 50, 
27.423818, 11.377185, 50, 
27.998772, 11.499080, 50, 
28.579826, 11.621081, 50, 
29.166986, 11.743188, 50, 
29.760256, 11.865404, 50, 
30.359642, 11.987729, 50, 
30.965151, 12.110164, 50, 
31.576786, 12.232711, 50, 
32.194555, 12.355369, 50, 
32.818462, 12.478141, 50, 
33.448513, 12.601027, 50, 
34.084714, 12.724029, 50, 
34.727072, 12.847147, 50, 
35.375591, 12.970382, 50, 
36.030278, 13.093736, 50, 
36.691138, 13.217209, 50, 
37.358178, 13.340803, 50, 
38.031404, 13.464518, 50, 
38.710822, 13.588355, 50, 
39.396438, 13.712316, 50, 
40.088258, 13.836402, 50, 
40.786288, 13.960612, 50, 
41.490536, 14.084950, 50, 
42.201007, 14.209414, 50, 
42.917707, 14.334008, 50, 
43.640644, 14.458730, 50, 
44.369823, 14.583584, 50, 
45.105251, 14.708569, 50, 
45.846935, 14.833686, 50, 
46.594882, 14.958937, 50, 
47.349098, 15.084322, 50, 
48.109591, 15.209843, 50, 
48.876366, 15.335501, 50, 
49.649430, 15.461297, 50, 
50.428792, 15.587231, 50, 
51.214457, 15.713305, 50, 
