Position, Velocity, Delta Time, 
0.000303, 0.012101, 50, 
0.000519, 0.004334, 50, 
0.003349, 0.056587, 50, 
0.008379, 0.100599, 50, 
0.016238, 0.157185, 50, 
0.027555, 0.226346, 50, 
0.042959, 0.308080, 50, 
0.063078, 0.402386, 50, 
0.088542, 0.509264, 50, 
0.119977, 0.628712, 50, 
0.157699, 0.754441, 50, 
0.201707, 0.880164, 50, 
0.252001, 1.005877, 50, 
0.308580, 1.131582, 50, 
0.371444, 1.257275, 50, 
0.440592, 1.382957, 50, 
0.516023, 1.508626, 50, 
0.597737, 1.634280, 50, 
0.685733, 1.759919, 50, 
0.780010, 1.885540, 50, 
0.880567, 2.011144, 50, 
0.987404, 2.136729, 50, 
1.100519, 2.262294, 50, 
1.219910, 2.387836, 50, 
1.345578, 2.513356, 50, 
1.477521, 2.638852, 50, 
1.615737, 2.764323, 50, 
1.760225, 2.889767, 50, 
1.910984, 3.015183, 50, 
2.068013, 3.140570, 50, 
2.231309, 3.265927, 50, 
2.400872, 3.391252, 50, 
2.576699, 3.516544, 50, 
2.758789, 3.641802, 50, 
2.947140, 3.767025, 50, 
3.141751, 3.892211, 50, 
3.342619, 4.017359, 50, 
3.549742, 4.142468, 50, 
3.763119, 4.267536, 50, 
3.982747, 4.392562, 50, 
4.208624, 4.517545, 50, 
4.440749, 4.642484, 50, 
4.679117, 4.767376, 50, 
4.923729, 4.892222, 50, 
5.174579, 5.017019, 50, 
5.431668, 5.141766, 50, 
5.694991, 5.266462, 50, 
5.964546, 5.391106, 50, 
6.240331, 5.515695, 50, 
6.522342, 5.640230, 50, 
6.810578, 5.764707, 50, 
7.105034, 5.889127, 50, 
7.405709, 6.013488, 50, 
7.712598, 6.137787, 50, 
8.025699, 6.262025, 50, 
8.345009, 6.386199, 50, 
8.670524, 6.510308, 50, 
9.002242, 6.634351, 50, 
9.340158, 6.758326, 50, 
9.684270, 6.882232, 50, 
10.034573, 7.006068, 50, 
10.391065, 7.129832, 50, 
10.753741, 7.253522, 50, 
11.122598, 7.377138, 50, 
11.497632, 7.500677, 50, 
11.878839, 7.624140, 50, 
12.266215, 7.747523, 50, 
12.659756, 7.870826, 50, 
13.059458, 7.994047, 50, 
13.465318, 8.117185, 50, 
13.877330, 8.240238, 50, 
14.295490, 8.363206, 50, 
14.719794, 8.486086, 50, 
15.150238, 8.608877, 50, 
15.586817, 8.731578, 50, 
16.029526, 8.854187, 50, 
16.478361, 8.976704, 50, 
16.933318, 9.099126, 50, 
17.394390, 9.221452, 50, 
17.861574, 9.343681, 50, 
18.334865, 9.465811, 50, 
18.814257, 9.587842, 50, 
19.299746, 9.709771, 50, 
19.791325, 9.831597, 50, 
20.288991, 9.953319, 50, 
20.792738, 10.074936, 50, 
21.302560, 10.196446, 50, 
21.818453, 10.317848, 50, 
22.340410, 10.439140, 50, 
22.868426, 10.560321, 50, 
23.402495, 10.681390, 50, 
23.942613, 10.802346, 50, 
24.488772, 10.923187, 50, 
25.040968, 11.043911, 50, 
25.599193, 11.164518, 50, 
26.163444, 11.285006, 50, 
26.733712, 11.405375, 50, 
27.309994, 11.525621, 50, 
27.892281, 11.645746, 50, 
28.480568, 11.765746, 50, 
29.074849, 11.885621, 50, 
29.675118, 12.005370, 50, 
30.281367, 12.124990, 50, 
30.893591, 12.244482, 50, 
31.511784, 12.363844, 50, 
32.135937, 12.483075, 50, 
32.766046, 12.602172, 50, 
33.402103, 12.721136, 50, 
34.044101, 12.839965, 50, 
34.692034, 12.958657, 50, 
35.345894, 13.077213, 50, 
36.005676, 13.195629, 50, 
36.671371, 13.313905, 50, 
37.342973, 13.432041, 50, 
38.020475, 13.550034, 50, 
38.703869, 13.667884, 50, 
39.393148, 13.785589, 50, 
40.088306, 13.903148, 50, 
40.789334, 14.020561, 50, 
41.496225, 14.137825, 50, 
42.208972, 14.254940, 50, 
42.927567, 14.371905, 50, 
43.652003, 14.488718, 50, 
44.382272, 14.605378, 50, 
45.118366, 14.721884, 50, 
45.860278, 14.838235, 50, 
46.608000, 14.954430, 50, 
47.361523, 15.070467, 50, 
48.120840, 15.186346, 50, 
48.885944, 15.302064, 50, 
49.656825, 15.417622, 50, 
50.433475, 15.533017, 50, 
51.215888, 15.648249, 50, 
52.004054, 15.763316, 50, 
52.797965, 15.878217, 50, 
53.597612, 15.992951, 50, 
54.402988, 16.107517, 50, 
55.214084, 16.221913, 50, 
56.030891, 16.336138, 50, 
56.853400, 16.450191, 50, 
57.681604, 16.564070, 50, 
58.515492, 16.677774, 50, 
59.355057, 16.791302, 50, 
60.200290, 16.904653, 50, 
61.050878, 17.011749, 50, 
61.906204, 17.106527, 50, 
62.765654, 17.189011, 50, 
63.628616, 17.259224, 50, 
64.494475, 17.317190, 50, 
65.362622, 17.362934, 50, 
66.232446, 17.396478, 50, 
67.103338, 17.417849, 50, 
