Delta Time, Position, Velocity, 
50, 0.000313, 0.012500, 
50, 0.000615, 0.006050, 
50, 0.003427, 0.056250, 
50, 0.008428, 0.100000, 
50, 0.016240, 0.156250, 
50, 0.027490, 0.225000, 
50, 0.042803, 0.306250, 
50, 0.062802, 0.400000, 
50, 0.088115, 0.506250, 
50, 0.119365, 0.625000, 
50, 0.157177, 0.756250, 
50, 0.202177, 0.900000, 
50, 0.254990, 1.056250, 
50, 0.316240, 1.225000, 
50, 0.386553, 1.406250, 
50, 0.466552, 1.600000, 
50, 0.556553, 1.800000, 
50, 0.656553, 2.000000, 
50, 0.766553, 2.200000, 
50, 0.886553, 2.400000, 
50, 1.016553, 2.600000, 
50, 1.156553, 2.800000, 
50, 1.306553, 3.000000, 
50, 1.466553, 3.200000, 
50, 1.636553, 3.400000, 
50, 1.816553, 3.600000, 
50, 2.006553, 3.800000, 
50, 2.206553, 4.000000, 
50, 2.416553, 4.200000, 
50, 2.636553, 4.400000, 
50, 2.866240, 4.593750, 
50, 3.104990, 4.775000, 
50, 3.352178, 4.943750, 
50, 3.607178, 5.100000, 
50, 3.869365, 5.243750, 
50, 4.138115, 5.375000, 
50, 4.412802, 5.493750, 
50, 4.692802, 5.600000, 
50, 4.977490, 5.693750, 
50, 5.266240, 5.775000, 
50, 5.558427, 5.843750, 
50, 5.853427, 5.900000, 
50, 6.150615, 5.943750, 
50, 6.449365, 5.975000, 
50, 6.749052, 5.993750, 
50, 7.049052, 6.000000, 
50, 7.349052, 6.000000, 
50, 7.649052, 6.000000, 
50, 7.949052, 6.000000, 
50, 8.249052, 6.000000, 
50, 8.549052, 6.000000, 
50, 8.849052, 6.000000, 
50, 9.149052, 6.000000, 
50, 9.449052, 6.000000, 
50, 9.749052, 6.000000, 
50, 10.049052, 6.000000, 
50, 10.349052, 6.000000, 
50, 10.649053, 6.000000, 
50, 10.949053, 6.000000, 
50, 11.249053, 6.000000, 
50, 11.549053, 6.000000, 
50, 11.849053, 6.000000, 
50, 12.149053, 6.000000, 
50, 12.449053, 6.000000, 
50, 12.749053, 6.000000, 
50, 13.049053, 6.000000, 
50, 13.349053, 6.000000, 
50, 13.649053, 6.000000, 
50, 13.949053, 6.000000, 
50, 14.249053, 6.000000, 
50, 14.549053, 6.000000, 
50, 14.849053, 6.000000, 
50, 15.149053, 6.000000, 
50, 15.449053, 6.000000, 
50, 15.749053, 6.000000, 
50, 16.049053, 6.000000, 
50, 16.349053, 6.000000, 
50, 16.649053, 6.000000, 
50, 16.949053, 6.000000, 
50, 17.249053, 6.000000, 
50, 17.549053, 6.000000, 
50, 17.849052, 6.000000, 
50, 18.149052, 6.000000, 
50, 18.449052, 6.000000, 
50, 18.749052, 6.000000, 
50, 19.049052, 6.000000, 
50, 19.349052, 6.000000, 
50, 19.649052, 6.000000, 
50, 19.949052, 6.000000, 
50, 20.249052, 6.000000, 
50, 20.549052, 6.000000, 
50, 20.849052, 6.000000, 
50, 21.149052, 6.000000, 
50, 21.449052, 6.000000, 
50, 21.749052, 6.000000, 
50, 22.049052, 6.000000, 
50, 22.349052, 6.000000, 
50, 22.649052, 6.000000, 
50, 22.949052, 6.000000, 
50, 23.249052, 6.000000, 
50, 23.549052, 6.000000, 
50, 23.849052, 6.000000, 
50, 24.149052, 6.000000, 
50, 24.449052, 6.000000, 
50, 24.749052, 6.000000, 
50, 25.049052, 6.000000, 
50, 25.349052, 6.000000, 
50, 25.649052, 6.000000, 
50, 25.949052, 6.000000, 
50, 26.249052, 6.000000, 
50, 26.549052, 6.000000, 
50, 26.849052, 6.000000, 
50, 27.149052, 6.000000, 
50, 27.449052, 6.000000, 
50, 27.749052, 6.000000, 
50, 28.049052, 6.000000, 
50, 28.349052, 6.000000, 
50, 28.649052, 6.000000, 
50, 28.949052, 6.000000, 
50, 29.249052, 6.000000, 
50, 29.549052, 6.000000, 
50, 29.849052, 6.000000, 
50, 30.149052, 6.000000, 
50, 30.449052, 6.000000, 
50, 30.749052, 6.000000, 
50, 31.049052, 6.000000, 
50, 31.349052, 6.000000, 
50, 31.649052, 6.000000, 
50, 31.949052, 6.000000, 
50, 32.249052, 6.000000, 
50, 32.549052, 6.000000, 
50, 32.849052, 6.000000, 
50, 33.149052, 6.000000, 
50, 33.449052, 6.000000, 
50, 33.749052, 6.000000, 
50, 34.049052, 6.000000, 
50, 34.349052, 6.000000, 
50, 34.649052, 6.000000, 
50, 34.949052, 6.000000, 
50, 35.249052, 6.000000, 
50, 35.549052, 6.000000, 
50, 35.849052, 6.000000, 
50, 36.149052, 6.000000, 
50, 36.449052, 6.000000, 
50, 36.749052, 6.000000, 
50, 37.049052, 6.000000, 
50, 37.349052, 6.000000, 
50, 37.649052, 6.000000, 
50, 37.949052, 6.000000, 
50, 38.249052, 6.000000, 
50, 38.549052, 6.000000, 
50, 38.849052, 6.000000, 
50, 39.149052, 6.000000, 
50, 39.449052, 6.000000, 
50, 39.749052, 6.000000, 
50, 40.049052, 6.000000, 
50, 40.349052, 6.000000, 
50, 40.649052, 6.000000, 
50, 40.949052, 6.000000, 
50, 41.249052, 6.000000, 
50, 41.549052, 6.000000, 
50, 41.849052, 6.000000, 
50, 42.149052, 6.000000, 
50, 42.449052, 6.000000, 
50, 42.749052, 6.000000, 
50, 43.049052, 6.000000, 
50, 43.349052, 6.000000, 
50, 43.649052, 6.000000, 
50, 43.949052, 6.000000, 
50, 44.249052, 6.000000, 
50, 44.549052, 6.000000, 
50, 44.849052, 6.000000, 
50, 45.149052, 6.000000, 
50, 45.449052, 6.000000, 
50, 45.749052, 6.000000, 
50, 46.049052, 6.000000, 
50, 46.349052, 6.000000, 
50, 46.649052, 6.000000, 
50, 46.949052, 6.000000, 
50, 47.249052, 6.000000, 
50, 47.549052, 6.000000, 
50, 47.849052, 6.000000, 
50, 48.149052, 6.000000, 
50, 48.449052, 6.000000, 
50, 48.749052, 6.000000, 
50, 49.049052, 6.000000, 
50, 49.349052, 6.000000, 
50, 49.649052, 6.000000, 
50, 49.949052, 6.000000, 
50, 50.249052, 6.000000, 
50, 50.549052, 6.000000, 
50, 50.849052, 6.000000, 
50, 51.149052, 6.000000, 
50, 51.449052, 6.000000, 
50, 51.749052, 6.000000, 
50, 52.049052, 6.000000, 
50, 52.349052, 6.000000, 
50, 52.649052, 6.000000, 
50, 52.949052, 6.000000, 
50, 53.249052, 6.000000, 
50, 53.549052, 6.000000, 
50, 53.849052, 6.000000, 
50, 54.149052, 6.000000, 
50, 54.449052, 6.000000, 
50, 54.749052, 6.000000, 
