Position, Velocity, Delta Time, 
0.000312, 0.012481, 50, 
0.001323, 0.020227, 50, 
0.003672, 0.046972, 50, 
0.007847, 0.083509, 50, 
0.014372, 0.130492, 50, 
0.023768, 0.187927, 50, 
0.036560, 0.255825, 50, 
0.053270, 0.334201, 50, 
0.074423, 0.423073, 50, 
0.100547, 0.522466, 50, 
0.132167, 0.632412, 50, 
0.169815, 0.752947, 50, 
0.214021, 0.884119, 50, 
0.265320, 1.025981, 50, 
0.324249, 1.178596, 50, 
0.391351, 1.342037, 50, 
0.467171, 1.516390, 50, 
0.552258, 1.701750, 50, 
0.647170, 1.898225, 50, 
0.752467, 2.105940, 50, 
0.868718, 2.325029, 50, 
0.996500, 2.555647, 50, 
1.136398, 2.797961, 50, 
1.288741, 3.046855, 50, 
1.453600, 3.297176, 50, 
1.631052, 3.549045, 50, 
1.821182, 3.802590, 50, 
2.024079, 4.057936, 50, 
2.239839, 4.315211, 50, 
2.468566, 4.574544, 50, 
2.710370, 4.836065, 50, 
2.965365, 5.099903, 50, 
3.233674, 5.366190, 50, 
3.515427, 5.635055, 50, 
3.810758, 5.906629, 50, 
4.119810, 6.181041, 50, 
4.442731, 6.458419, 50, 
4.779676, 6.738890, 50, 
5.130805, 7.022580, 50, 
5.496286, 7.309613, 50, 
5.876291, 7.600110, 50, 
6.271001, 7.894191, 50, 
6.680599, 8.191974, 50, 
7.105278, 8.493574, 50, 
7.545233, 8.799105, 50, 
8.000667, 9.108677, 50, 
8.471787, 9.422401, 50, 
8.958806, 9.740385, 50, 
9.461943, 10.062735, 50, 
9.981421, 10.389559, 50, 
10.517469, 10.720963, 50, 
11.070322, 11.057054, 50, 
11.640219, 11.397941, 50, 
12.227406, 11.743734, 50, 
12.832133, 12.094546, 50, 
13.454658, 12.450492, 50, 
14.095242, 12.811694, 50, 
14.754156, 13.178274, 50, 
15.431674, 13.550362, 50, 
16.128079, 13.928092, 50, 
16.843659, 14.311601, 50, 
17.578710, 14.701033, 50, 
18.333537, 15.096533, 50, 
19.108450, 15.498251, 50, 
19.903766, 15.906333, 50, 
20.719813, 16.320926, 50, 
21.556921, 16.742168, 50, 
22.415430, 17.170188, 50, 
23.295685, 17.605096, 50, 
24.198034, 18.046978, 50, 
25.122828, 18.495886, 50, 
26.070420, 18.951828, 50, 
27.041158, 19.414754, 50, 
28.035385, 19.884541, 50, 
29.053433, 20.360976, 50, 
30.095620, 20.843740, 50, 
31.162240, 21.332382, 50, 
32.253555, 21.826303, 50, 
33.369791, 22.324727, 50, 
53.002810, 392.660386, 50, 
54.189115, 23.726092, 50, 
55.406699, 24.351679, 50, 
56.657685, 25.019729, 50, 
57.944506, 25.736408, 50, 
59.269934, 26.508574, 50, 
60.637116, 27.343641, 50, 
62.049579, 28.249255, 50, 
63.511212, 29.232662, 50, 
65.026193, 30.299613, 50, 
66.598822, 31.452571, 50, 
68.233223, 32.688031, 50, 
69.932865, 33.992837, 50, 
71.699853, 35.339754, 50, 
73.534016, 36.683269, 50, 
75.431900, 37.957670, 50, 
77.385917, 39.080341, 50, 
79.384058, 39.962821, 50, 
81.410519, 40.529217, 50, 
83.447344, 40.736515, 50, 
85.476732, 40.587750, 50, 
87.483283, 40.131025, 50, 
89.455529, 39.444916, 50, 
91.386422, 38.617855, 50, 
93.272941, 37.730381, 50, 
95.115194, 36.845073, 50, 
96.915398, 36.004072, 50, 
98.676971, 35.231465, 50, 
100.403852, 34.537620, 50, 
102.100031, 33.923580, 50, 
103.769262, 33.384619, 50, 
105.414901, 32.912784, 50, 
107.039828, 32.498541, 50, 
108.646416, 32.131750, 50, 
110.236524, 31.802165, 50, 
111.811506, 31.499627, 50, 
113.372208, 31.214053, 50, 
114.918973, 30.935289, 50, 
116.451616, 30.652870, 50, 
117.969401, 30.355694, 50, 
119.487369, 30.359360, 50, 
121.162618, 33.504976, 50, 
122.853008, 33.807798, 50, 
124.558474, 34.109320, 50, 
126.278947, 34.409476, 50, 
128.014357, 34.708199, 50, 
129.764629, 35.005425, 50, 
131.529683, 35.301093, 50, 
133.309441, 35.595146, 50, 
135.103817, 35.887529, 50, 
136.912727, 36.178193, 50, 
