dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,17.789275,11.581817,0.200000,2.000000,10.000000,50.000000,3.145277
0.200000,17.204192,11.575393,0.785118,2.925588,4.627939,-26.860303,3.160166
0.200000,16.234021,11.543684,1.755807,4.853446,9.639288,25.056745,3.189439
0.200000,14.892167,11.445054,3.101281,6.727373,9.369637,-1.348256,3.243799
0.200000,13.223922,11.189222,4.789028,8.438734,8.556804,-4.064168,3.355191
0.200000,11.580225,10.640723,6.521826,8.663992,1.126292,-37.152560,3.617601
0.200000,10.628009,9.760752,7.818386,6.482796,-10.905979,-60.161355,4.295965
0.200000,10.611186,8.451194,9.128051,6.548327,0.327656,56.168176,4.962008
0.200000,11.284149,6.833044,10.880561,8.762548,11.071102,53.717233,5.205338
0.200000,12.276089,5.208880,12.783677,9.515584,3.765180,-36.529614,5.301502
0.200000,13.402509,3.601149,14.746741,9.815319,1.498678,-11.332510,5.338328
0.200000,14.578761,1.983355,16.746948,10.001032,0.928565,-2.850564,5.338122
0.200000,12.623393,1.162369,18.867674,10.603633,3.013004,10.422197,2.321342
0.200000,11.306326,2.235355,20.566486,8.494061,-10.547859,-67.804318,2.616327
0.200000,9.769032,2.788985,22.200433,8.169732,-1.621644,44.631076,2.973470
0.200000,8.046884,2.821270,23.922883,8.612250,2.212588,19.171159,3.245658
0.200000,6.217407,2.481077,25.783721,9.304190,3.459702,6.235574,3.383351
0.200000,4.316391,1.965189,27.753493,9.848862,2.723359,-3.681719,3.413493
0.200000,2.312076,1.460713,29.820320,10.334135,2.426366,-1.484963,3.346265
0.200000,0.635577,3.220885,32.251134,12.154067,9.099661,33.366475,0.070293
0.200000,2.512036,3.454542,34.142084,9.454750,-13.496586,-112.981235,0.178420
0.200000,4.348157,3.892290,36.029665,9.437909,-0.084206,67.061899,0.289860
0.200000,6.125458,4.531593,37.918450,9.443921,0.030059,0.571324,0.400117
0.200000,7.828597,5.360945,39.812785,9.471678,0.138787,0.543641,0.504913
0.200000,9.447168,6.361909,41.715863,9.515387,0.218544,0.398786,0.601101
0.200000,10.976239,7.512279,43.629343,9.567403,0.260081,0.207685,0.687031
0.200000,12.194852,8.670207,45.310360,8.405083,-5.811598,-30.358395,0.990990
0.200000,12.807162,10.229492,46.985559,8.375996,-0.145435,28.330815,1.308934
0.200000,13.342984,12.203583,49.031076,10.227584,9.257937,47.016861,1.248172
0.200000,14.379838,14.103406,51.195422,10.821730,2.970729,-31.436038,0.838719
0.200000,15.896525,15.131111,53.027502,9.160402,-8.306639,-56.386841,0.359012
0.200000,17.077459,15.406864,54.240204,6.063507,-15.484475,-35.889181,0.113720
0.200000,17.746958,15.448106,54.910972,3.353842,-13.548324,9.680756,0.013131
0.200000,17.959531,15.447955,55.123545,1.062866,-11.454882,10.467211,6.268968
0.200000,17.959531,15.447955,55.123545,0.000000,-5.314330,30.702761,6.268968
