dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,17.781907,13.581804,0.200000,2.000000,10.000000,50.000000,3.145277
0.200000,17.167048,13.575048,0.814896,3.074481,5.372405,-23.137973,3.160166
0.200000,16.138365,13.541395,1.844130,5.146167,10.358428,24.930114,3.189439
0.200000,14.688109,13.434616,3.298311,7.270907,10.623702,1.326371,3.243799
0.200000,12.799967,13.143771,5.208722,9.552057,11.405749,3.910234,3.355191
0.200000,10.663755,12.418385,7.464733,11.280054,8.639986,-13.828816,3.617601
0.200000,8.798926,10.569737,10.090582,13.129246,9.245959,3.029864,4.295965
0.200000,8.673173,7.957125,12.706219,13.078184,-0.255308,-47.506331,4.962008
0.200000,9.522267,5.886592,14.944090,11.189354,-9.444150,-45.944212,5.205338
0.200000,10.613221,4.097633,17.039456,10.476827,-3.562638,29.407560,5.301502
0.200000,11.781683,2.429431,19.076169,10.183565,-1.466308,10.481647,5.338328
0.200000,12.957693,0.811972,21.075962,9.998967,-0.922989,2.716597,5.338122
0.200000,14.086026,2.526445,23.128413,10.262255,1.316438,11.197135,2.321342
0.200000,12.309212,3.965736,25.415032,11.433096,5.854204,22.688828,2.616327
0.200000,10.103695,4.760787,27.759475,11.722214,1.445592,-22.043060,2.973470
0.200000,7.839129,4.810450,30.024586,11.325553,-1.983305,-17.144485,3.245658
0.200000,5.738587,4.422914,32.160577,10.679954,-3.227996,-6.223453,3.383351
0.200000,3.779266,3.891713,34.190630,10.150268,-2.648432,2.897820,3.413493
0.200000,1.905584,3.418968,36.123031,9.662003,-2.441325,1.035531,3.346265
0.200000,0.776047,1.225824,38.589959,12.334641,13.363191,79.022582,0.070293
0.200000,2.866986,1.486291,40.697058,10.535495,-8.995727,-111.794588,0.178420
0.200000,4.919793,1.975722,42.807404,10.551729,0.081166,45.384464,0.289860
0.200000,6.904510,2.689562,44.916590,10.545934,-0.028971,-0.550688,0.400117
0.200000,8.796059,3.610512,47.020422,10.519159,-0.133875,-0.524519,0.504913
0.200000,10.578270,4.712483,49.115802,10.476898,-0.211308,-0.387165,0.601101
0.200000,12.244729,5.966014,51.201090,10.426440,-0.252288,-0.204900,0.687031
0.200000,13.867990,7.574484,53.486293,11.426015,4.997875,26.250816,0.990990
0.200000,14.738981,9.711733,55.794205,11.539561,0.567727,-22.150738,1.308934
0.200000,15.239797,11.569470,57.718264,9.620293,-9.596336,-50.820319,1.248172
0.200000,15.867412,12.766573,59.069913,6.758248,-14.310227,-23.569451,0.838719
0.200000,16.599224,13.258622,59.951764,4.409255,-11.744963,12.826317,0.359012
0.200000,17.304408,13.419783,60.675130,3.616826,-3.962147,38.914084,0.113720
0.200000,17.773220,13.448279,61.144807,2.348385,-6.342203,-11.900282,0.013131
0.200000,17.931098,13.448158,61.302685,0.789392,-7.794965,-7.263808,6.268968
0.200000,17.931098,13.448158,61.302685,0.000000,-3.946962,19.240014,6.268968
