dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.239775,0.951783,0.037631,0.376314,1.881571,9.407857,0.027865
0.200000,0.355258,0.954367,0.153143,0.577560,1.006229,-4.376711,0.017428
0.200000,0.545895,0.956597,0.343794,0.953250,1.878452,4.361112,0.007487
0.200000,0.808966,0.958357,0.606870,1.315383,1.810663,-0.338945,0.008855
0.200000,1.140477,0.965118,0.938451,1.657902,1.712595,-0.490337,0.037124
0.200000,1.533611,0.993428,1.332602,1.970758,1.564278,-0.741587,0.115628
0.200000,1.973262,1.078020,1.780318,2.238578,1.339101,-1.125885,0.279046
0.200000,2.426302,1.274894,2.274286,2.469840,1.156312,-0.913946,0.553817
0.200000,2.843479,1.641994,2.829983,2.778485,1.543221,1.934548,0.878895
0.200000,3.030661,2.090611,3.316084,2.430507,-1.739888,-16.415548,1.520794
0.200000,3.009180,2.680856,3.906719,2.953177,2.613350,21.766189,1.587925
0.200000,3.136459,3.320927,4.559323,3.263016,1.549194,-5.320780,1.079381
0.200000,3.560306,3.735073,5.151913,2.962950,-1.500327,-15.247603,0.505960
0.200000,3.959077,3.900419,5.583605,2.158460,-4.022449,-12.610612,0.297022
0.200000,4.289373,3.977596,5.922797,1.695962,-2.312490,8.549797,0.166369
0.200000,4.538126,4.009144,6.173543,1.253729,-2.211168,0.506612,0.088988
0.200000,4.704099,4.020425,6.339899,0.831780,-2.109741,0.507133,0.048194
0.200000,4.789289,4.023771,6.425154,0.426276,-2.027522,0.411097,0.030716
0.200000,4.811967,4.024420,6.447841,0.113435,-1.564203,2.316592,0.026462
0.200000,4.811967,4.024420,6.447841,0.000000,-0.567177,4.985129,0.026462
0.200000,4.811967,4.024420,6.447841,0.000000,0.000000,2.835887,0.026462
