dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.212331,0.700005,0.000199,0.019856,0.992813,49.640662,0.031030
0.020000,0.212331,0.700005,0.000993,0.059569,1.985626,49.640662,0.030535
0.020000,0.213531,0.700041,0.002581,0.099281,1.985626,0.000000,0.029551
0.020000,0.215913,0.700109,0.004964,0.138994,1.985626,0.000000,0.028091
0.020000,0.219089,0.700196,0.008141,0.178706,1.985626,-0.000000,0.026175
0.020000,0.223059,0.700295,0.012112,0.218419,1.985626,0.000000,0.023828
0.020000,0.227823,0.700402,0.016878,0.258131,1.985626,-0.000000,0.021080
0.020000,0.233382,0.700510,0.022438,0.297844,1.985626,0.000000,0.017967
0.020000,0.239735,0.700614,0.028792,0.337556,1.985626,-0.000000,0.014532
0.020000,0.246883,0.700704,0.035940,0.377269,1.985626,0.000000,0.010819
0.020000,0.254825,0.700774,0.043882,0.416982,1.985626,0.000000,0.006878
0.020000,0.263562,0.700816,0.052619,0.456694,1.985626,0.000000,0.002764
0.020000,0.273093,0.700822,0.062150,0.496407,1.985626,-0.000000,6.281719
0.020000,0.283418,0.700785,0.072475,0.536119,1.985626,0.000000,6.277431
0.020000,0.294537,0.700696,0.083595,0.575832,1.985626,-0.000000,6.273148
0.020000,0.306450,0.700551,0.095509,0.615544,1.985626,0.000000,6.268935
0.020000,0.319156,0.700344,0.108217,0.655257,1.985626,-0.000000,6.264859
0.020000,0.332656,0.700070,0.121719,0.694969,1.985626,0.000000,6.260989
0.020000,0.346948,0.699726,0.136015,0.734682,1.985626,-0.000000,6.257396
0.020000,0.362033,0.699312,0.151106,0.774394,1.985626,0.000000,6.254153
0.020000,0.377911,0.698828,0.166991,0.814107,1.985626,-0.000000,6.251338
0.020000,0.394581,0.698276,0.183670,0.853819,1.985626,0.000000,6.249029
0.020000,0.412044,0.697664,0.201144,0.893532,1.985626,0.000000,6.247311
0.020000,0.430299,0.696998,0.219412,0.933244,1.985626,0.000000,6.246272
0.020000,0.449348,0.696291,0.238474,0.972957,1.985626,0.000000,6.246007
0.020000,0.469191,0.695557,0.258330,1.012669,1.985626,-0.000000,6.246620
0.020000,0.489828,0.694817,0.278981,1.052382,1.985626,0.000000,6.248224
0.020000,0.511261,0.694095,0.300425,1.092095,1.985626,-0.000000,6.250944
0.020000,0.533489,0.693420,0.322664,1.131807,1.985626,0.000000,6.254920
0.020000,0.556515,0.692828,0.345698,1.171520,1.985626,0.000000,6.260313
0.020000,0.580338,0.692364,0.369525,1.211232,1.985626,0.000000,6.267306
0.020000,0.604958,0.692078,0.394147,1.250945,1.985626,0.000000,6.276111
0.020000,0.630374,0.692032,0.419563,1.290657,1.985626,-0.000000,0.003791
0.020000,0.656583,0.692300,0.445773,1.330370,1.985626,0.000000,0.017011
0.020000,0.683579,0.692969,0.472778,1.370082,1.985626,-0.000000,0.032932
0.020000,0.711352,0.694142,0.500576,1.409795,1.985626,0.000000,0.051971
0.020000,0.739888,0.695943,0.529169,1.449507,1.985626,-0.000000,0.074624
0.020000,0.769161,0.698518,0.558557,1.489220,1.985626,0.000000,0.101484
0.020000,0.799135,0.702041,0.588738,1.528932,1.985626,0.000000,0.133260
0.020000,0.829754,0.706718,0.619714,1.568645,1.985626,0.000000,0.170784
0.020000,0.860935,0.712792,0.651484,1.608357,1.985626,0.000000,0.215014
0.020000,0.892559,0.720545,0.684048,1.648070,1.985626,-0.000000,0.267007
0.020000,0.924267,0.730235,0.717208,1.667926,0.992813,-49.640662,0.327456
0.020000,0.955350,0.741973,0.750441,1.655314,-0.630613,-81.171293,0.396006
0.020000,0.985098,0.755727,0.783222,1.622845,-1.623426,-49.640662,0.471401
0.020000,1.013052,0.771406,0.815282,1.583133,-1.985626,-18.110030,0.551983
0.020000,1.038963,0.788888,0.846548,1.543420,-1.985626,0.000000,0.635839
0.020000,1.062685,0.807998,0.877019,1.503708,-1.985626,0.000000,0.720800
0.020000,1.084134,0.828495,0.906696,1.463995,-1.985626,0.000000,0.804580
0.020000,1.103299,0.850093,0.935579,1.424283,-1.985626,0.000000,0.885112
0.020000,1.120239,0.872489,0.963667,1.384570,-1.985626,-0.000000,0.960812
0.020000,1.135073,0.895394,0.990962,1.344858,-1.985626,0.000000,1.030684
0.020000,1.147960,0.918545,1.017462,1.305145,-1.985626,0.000000,1.094295
0.020000,1.159081,0.941717,1.043167,1.265433,-1.985626,0.000000,1.151648
0.020000,1.168622,0.964725,1.068079,1.225720,-1.985626,-0.000000,1.203039
0.020000,1.176767,0.987423,1.092196,1.186008,-1.985626,0.000000,1.248929
0.020000,1.183684,1.009695,1.115519,1.146295,-1.985626,0.000000,1.289847
0.020000,1.189529,1.031451,1.138048,1.106583,-1.985626,0.000000,1.326333
0.020000,1.194441,1.052622,1.159782,1.066870,-1.985626,0.000000,1.358896
0.020000,1.198543,1.073156,1.180723,1.027158,-1.985626,-0.000000,1.388005
0.020000,1.201943,1.093013,1.200869,0.987445,-1.985626,0.000000,1.414073
0.020000,1.204737,1.112161,1.220221,0.947732,-1.985626,0.000000,1.437464
0.020000,1.207009,1.130579,1.238778,0.908020,-1.985626,-0.000000,1.458495
0.020000,1.208830,1.148248,1.256541,0.868307,-1.985626,-0.000000,1.477437
0.020000,1.210267,1.165156,1.273510,0.828595,-1.985626,0.000000,1.494526
