dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.553872,1.205551,0.043107,0.431074,2.155369,10.776845,6.281601
0.200000,0.678493,1.205055,0.167729,0.623109,0.960175,-5.975968,6.276901
0.200000,0.887236,1.203012,0.376482,1.043764,2.103275,5.715499,6.270118
0.200000,1.181655,1.198026,0.670944,1.472308,2.142723,0.197241,6.262828
0.200000,1.563931,1.189037,1.053325,1.911907,2.197993,0.276350,6.257244
0.200000,1.958190,1.178403,1.447728,1.972013,0.300529,-9.487321,6.255937
0.200000,2.277469,1.169970,1.767118,1.596954,-1.875295,-10.879121,6.258091
0.200000,2.511788,1.164454,2.001502,1.171918,-2.125182,-1.249434,6.261452
0.200000,2.659442,1.161450,2.149187,0.738424,-2.167468,-0.211432,6.264330
0.200000,2.719358,1.160359,2.209112,0.299628,-2.193977,-0.132546,6.265663
0.200000,2.727283,1.160221,2.217038,0.039630,-1.299989,4.469940,6.265846
0.200000,2.727283,1.160221,2.217038,0.000000,-0.198152,5.509184,6.265846
